label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
"[2.8,3.3)",165,71,0.4303,0.3572,3.1007,0.3229,0.1074,0.0343,1650.0,532.8,32.29,CALIBRATED_EDGE_CONFIRMED,[]
"[3.3,3.5)",53,16,0.3019,0.1952,3.3906,0.295,0.0069,-0.0998,530.0,16.3,3.08,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
