date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-12-20,E1,Luton,Derby,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.326178,0.000817,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|market_shape=clear_favorite",2024-12
2024-12-21,E1,QPR,Preston,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.331392,-0.014296,3.1,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Derby,West Brom,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.327842,0.006139,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Norwich,Millwall,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.326122,0.000638,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02|market_shape=clear_favorite",2024-12
2024-12-29,E1,Sheffield United,West Brom,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.319733,-0.019807,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02|market_shape=clear_favorite",2024-12
2025-03-01,I2,Juve Stabia,Cittadella,draw,away,"[2.8,3.5)",market_non_favorite,heavy_favorite,medium_model_edge,pure_disagrees,0.323848,-0.011217,3.2,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.02",2025-03
2025-03-02,G1,Levadeiakos,Atromitos,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,0.373875,0.030079,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-02,SP1,Leganes,Getafe,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,0.370657,0.023832,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-08,SP2,Zaragoza,Eldense,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.324606,-0.005066,3.2,1.0,False,-1.0,"SP2|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-11,E1,Burnley,West Brom,draw,draw,"[2.8,3.5)",market_non_favorite,heavy_favorite,medium_model_edge,pure_disagrees,0.325421,0.00199,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-11,E1,Middlesbrough,QPR,draw,home,"[2.8,3.5)",market_non_favorite,heavy_favorite,medium_model_edge,pure_disagrees,0.31525,-0.000263,3.3,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-14,I1,Genoa,Lecce,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,strong_model_edge,pure_disagrees,0.389453,0.086166,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-15,I2,Juve Stabia,Modena,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,0.387043,0.071906,2.88,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-15,E1,Coventry,Sunderland,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,0.31918,-0.002637,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-15,E1,Swansea,Burnley,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,0.322171,-0.008412,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.01",2025-03
