month,decision,reason,prior_candidates,candidate_count,probability_validation
2018-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,2634.0,114.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 357, 'market': {'matches': 119, 'log_loss': 0.95345, 'brier': 0.571617}, 'model': {'matches': 119, 'log_loss': 0.958534, 'brier': 0.573409}, 'log_loss_improvement': -0.005084, 'brier_improvement': -0.001792, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2018-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,2748.0,153.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 471, 'market': {'matches': 157, 'log_loss': 0.947131, 'brier': 0.563562}, 'model': {'matches': 157, 'log_loss': 0.95009, 'brier': 0.5645}, 'log_loss_improvement': -0.002959, 'brier_improvement': -0.000938, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2018-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,2901.0,183.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 624, 'market': {'matches': 208, 'log_loss': 0.944281, 'brier': 0.56194}, 'model': {'matches': 208, 'log_loss': 0.948788, 'brier': 0.563795}, 'log_loss_improvement': -0.004507, 'brier_improvement': -0.001855, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2018-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,3084.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 807, 'market': {'matches': 269, 'log_loss': 0.937896, 'brier': 0.557012}, 'model': {'matches': 269, 'log_loss': 0.942853, 'brier': 0.559144}, 'log_loss_improvement': -0.004957, 'brier_improvement': -0.002132, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2018-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,3207.0,180.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2361, 'validation_rows': 846, 'market': {'matches': 282, 'log_loss': 0.936134, 'brier': 0.554923}, 'model': {'matches': 282, 'log_loss': 0.93813, 'brier': 0.555652}, 'log_loss_improvement': -0.001996, 'brier_improvement': -0.000729, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2018-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,3267.0,30.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2391, 'validation_rows': 876, 'market': {'matches': 292, 'log_loss': 0.935125, 'brier': 0.553559}, 'model': {'matches': 292, 'log_loss': 0.937074, 'brier': 0.55398}, 'log_loss_improvement': -0.001949, 'brier_improvement': -0.000421, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-01,ABSTAIN,no_candidates,,,
2019-02,ABSTAIN,no_candidates,,,
2019-03,ABSTAIN,no_candidates,,,
2019-04,ABSTAIN,selected_tail_did_not_show_prior_edge,2607.0,30.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2274, 'validation_rows': 333, 'market': {'matches': 111, 'log_loss': 0.938508, 'brier': 0.553919}, 'model': {'matches': 111, 'log_loss': 0.933422, 'brier': 0.550538}, 'log_loss_improvement': 0.005086, 'brier_improvement': 0.003381, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
