source,columns,key,label,rule_id,rule_description,odds_source,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,discovery_bets,discovery_profit,discovery_roi_pct,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_CLOSE_rulesra9aa4c57_train18_n80_ev0p0_top1_ridge10_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_CLOSE,601,221,18,80,0.0,10.0,606,22.11,3.65,221,-21.5,-0.97,120.9,23,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_CLOSE_rulesrcd870bda_train18_n80_ev0p0_top1_ridge10_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_CLOSE,601,221,18,80,0.0,10.0,606,22.11,3.65,221,-21.5,-0.97,120.9,23,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_CLOSE_rulesr4107da4f_train18_n80_ev0p0_top1_ridge10_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_CLOSE,601,221,18,80,0.0,10.0,606,22.11,3.65,221,-21.5,-0.97,120.9,23,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_CLOSE_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge10_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_CLOSE,601,194,30,80,0.02,10.0,606,22.11,3.65,194,-21.0,-1.08,112.2,20,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_CLOSE_rulesrcd870bda_train30_n80_ev0p02_top1_ridge10_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_CLOSE,601,194,30,80,0.02,10.0,606,22.11,3.65,194,-21.0,-1.08,112.2,20,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_CLOSE_rulesr4107da4f_train30_n80_ev0p02_top1_ridge10_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_CLOSE,601,194,30,80,0.02,10.0,606,22.11,3.65,194,-21.0,-1.08,112.2,20,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_CLOSE_rulesra9aa4c57_train18_n80_ev0p02_top1_ridge10_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_CLOSE,601,196,18,80,0.02,10.0,606,22.11,3.65,196,-21.4,-1.09,120.1,22,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_CLOSE_rulesrcd870bda_train18_n80_ev0p02_top1_ridge10_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_CLOSE,601,196,18,80,0.02,10.0,606,22.11,3.65,196,-21.4,-1.09,120.1,22,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_CLOSE_rulesr4107da4f_train18_n80_ev0p02_top1_ridge10_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_CLOSE,601,196,18,80,0.02,10.0,606,22.11,3.65,196,-21.4,-1.09,120.1,22,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_CLOSE_rulesra9aa4c57_train18_n80_ev0p02_top1_ridge35_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_CLOSE,601,199,18,80,0.02,35.0,606,22.11,3.65,199,-25.9,-1.3,115.0,23,15,6,2,6,2,0.3333,"['profit_or_roi<=0', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
