league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge35_cap0.08,1528,106.0,30.0,120.0,0.02,35.0,106.0,10.7,1.01,230.6,13.0,16.0,11.0,1.0,11.0,1.0,0.0909,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n80_ev0p0_top1_ridge35_cap0.08,1528,121.0,30.0,80.0,0.0,35.0,121.0,-12.0,-0.99,249.7,14.0,18.0,11.0,1.0,11.0,1.0,0.0909,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p0_top1_ridge35_cap0.08,1528,121.0,30.0,120.0,0.0,35.0,121.0,-12.0,-0.99,249.7,14.0,18.0,11.0,1.0,11.0,1.0,0.0909,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n80_ev0p02_top1_ridge10_cap0.08,1528,102.0,30.0,80.0,0.02,10.0,102.0,-85.0,-8.33,312.7,11.0,17.0,11.0,1.0,11.0,1.0,0.0909,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,1528,102.0,30.0,120.0,0.02,10.0,102.0,-85.0,-8.33,312.7,11.0,17.0,11.0,1.0,11.0,1.0,0.0909,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n80_ev0p0_top1_ridge10_cap0.08,1528,113.0,30.0,80.0,0.0,10.0,113.0,-94.3,-8.35,308.7,12.0,20.0,11.0,1.0,11.0,1.0,0.0909,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p0_top1_ridge10_cap0.08,1528,113.0,30.0,120.0,0.0,10.0,113.0,-94.3,-8.35,308.7,12.0,20.0,11.0,1.0,11.0,1.0,0.0909,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge10_cap0.08,474,61.0,18.0,80.0,0.0,10.0,61.0,150.1,24.61,60.0,14.0,11.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge10_cap0.08,474,59.0,18.0,80.0,0.02,10.0,59.0,142.0,24.07,60.0,13.0,11.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge10_cap0.08,474,59.0,18.0,120.0,0.0,10.0,59.0,138.8,23.53,60.0,13.0,11.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge10_cap0.08,474,57.0,18.0,120.0,0.02,10.0,57.0,130.7,22.93,60.0,12.0,11.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge35_cap0.08,474,61.0,18.0,80.0,0.02,35.0,61.0,124.6,20.43,60.0,14.0,10.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge35_cap0.08,474,59.0,18.0,120.0,0.02,35.0,59.0,113.3,19.2,60.0,13.0,10.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge35_cap0.08,474,67.0,18.0,80.0,0.0,35.0,67.0,123.3,18.4,60.0,15.0,11.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge35_cap0.08,474,65.0,18.0,120.0,0.0,35.0,65.0,112.0,17.23,60.0,14.0,11.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge35_cap0.08,579,80.0,18.0,120.0,0.02,35.0,80.0,38.0,4.75,47.4,19.0,12.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge35_cap0.08,579,83.0,18.0,80.0,0.02,35.0,83.0,20.8,2.51,47.4,19.0,13.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n80_ev0p0_top1_ridge10_cap0.08,29,0.0,18.0,80.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n80_ev0p0_top1_ridge35_cap0.08,29,0.0,18.0,80.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n80_ev0p02_top1_ridge10_cap0.08,29,0.0,18.0,80.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
