validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2019-01,2019-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",107,24.98,23.35,39,28,10,2018-12,0.85,59.5793
2019-01,2019-12,"AVG_CLOSE::league|outcome|odds_bucket=ARG|away|[1.8,2.2)",AVG_CLOSE,"league|outcome|odds_bucket=ARG|away|[1.8,2.2)",104,23.91,22.99,34,23,11,2018-12,0.16,47.2203
2019-07,2020-06,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",108,22.09,20.45,39,28,10,2019-05,1.51,56.6582
2019-07,2020-06,"AVG_CLOSE::league|outcome|odds_bucket=ARG|away|[1.8,2.2)",AVG_CLOSE,"league|outcome|odds_bucket=ARG|away|[1.8,2.2)",110,24.24,22.04,34,24,10,2019-04,1.18,50.2567
2020-01,2020-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",102,24.13,23.66,38,30,8,2019-12,0.83,67.8934
2020-01,2020-12,"AVG_CLOSE::league|outcome|odds_bucket=ARG|away|[1.8,2.2)",AVG_CLOSE,"league|outcome|odds_bucket=ARG|away|[1.8,2.2)",114,24.46,21.46,35,24,11,2019-12,3.06,47.6707
2020-07,2021-06,"AVG_CLOSE::league|outcome|odds_bucket=JPN|away|[4.0,5.0)",AVG_CLOSE,"league|outcome|odds_bucket=JPN|away|[4.0,5.0)",132,36.92,27.97,36,23,13,2020-02,3.4,48.2494
2020-07,2021-06,"PS_CLOSE::league|outcome|market_prob_bucket=IRL|home|[0.55,1.00]",PS_CLOSE,"league|outcome|market_prob_bucket=IRL|home|[0.55,1.00]",228,16.79,7.36,33,23,10,2020-03,0.57,33.4377
2021-01,2021-12,"AVG_CLOSE::league|outcome|odds_bucket=JPN|away|[4.0,5.0)",AVG_CLOSE,"league|outcome|odds_bucket=JPN|away|[4.0,5.0)",141,38.66,27.42,37,24,13,2020-12,5.99,49.6926
2021-01,2021-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",130,34.44,26.49,38,23,15,2020-12,2.05,42.7572
