window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2016-01,2016-12,31,310.0,28.4,9.16,59.2,4,6,False
2016-07,2017-06,25,250.0,-81.1,-32.44,108.6,3,6,False
2017-01,2017-12,24,240.0,-3.6,-1.5,90.0,4,5,False
2017-07,2018-06,35,350.0,87.3,24.94,45.5,6,4,True
2018-01,2018-12,52,520.0,206.0,39.62,60.8,7,3,True
2018-07,2019-06,53,530.0,163.2,30.79,83.9,6,4,True
2019-01,2019-12,32,320.0,-56.2,-17.56,103.9,3,6,False
2019-07,2020-06,18,180.0,-15.4,-8.56,50.0,4,4,False
2020-01,2020-12,13,130.0,3.5,2.69,60.0,4,3,False
2020-07,2021-06,28,280.0,146.4,52.29,40.0,6,2,True
2021-01,2021-12,36,360.0,105.5,29.31,67.3,5,3,True
2021-07,2022-06,28,280.0,97.1,34.68,65.3,5,3,True
2022-01,2022-12,24,240.0,135.8,56.58,60.0,6,3,True
2022-07,2023-06,28,280.0,120.8,43.14,60.0,6,3,True
2023-01,2023-12,36,360.0,271.4,75.39,30.0,9,1,True
2023-07,2024-06,26,260.0,73.0,28.08,80.0,5,5,False
2024-01,2024-12,11,110.0,-78.0,-70.91,100.0,1,6,False
2024-07,2025-06,8,80.0,20.9,26.12,20.0,3,3,False
2025-01,2025-12,9,90.0,47.7,53.0,20.0,4,2,False
2025-07,2026-06,4,40.0,28.8,72.0,10.0,2,1,False
