league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge10_cap0.08,474,59,18,80,0.02,10.0,59,142.0,24.07,60.0,13,11,11,0,11,0,0.0,"['bets<150', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge10_cap0.08,474,59,18,120,0.0,10.0,59,138.8,23.53,60.0,13,11,11,0,11,0,0.0,"['bets<150', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge10_cap0.08,474,57,18,120,0.02,10.0,57,130.7,22.93,60.0,12,11,11,0,11,0,0.0,"['bets<150', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge35_cap0.08,474,61,18,80,0.02,35.0,61,124.6,20.43,60.0,14,10,11,0,11,0,0.0,"['bets<150', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge35_cap0.08,474,59,18,120,0.02,35.0,59,113.3,19.2,60.0,13,10,11,0,11,0,0.0,"['bets<150', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge35_cap0.08,474,67,18,80,0.0,35.0,67,123.3,18.4,60.0,15,11,11,0,11,0,0.0,"['bets<150', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge35_cap0.08,474,65,18,120,0.0,35.0,65,112.0,17.23,60.0,14,11,11,0,11,0,0.0,"['bets<150', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge35_cap0.08,579,80,18,120,0.02,35.0,80,38.0,4.75,47.4,19,12,11,0,11,0,0.0,"['bets<150', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge35_cap0.08,579,83,18,80,0.02,35.0,83,20.8,2.51,47.4,19,13,11,0,11,0,0.0,"['bets<150', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge10_cap0.08,579,95,18,120,0.0,10.0,95,-28.1,-2.96,68.9,15,18,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
