window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2016-01,2016-12,29,290.0,10.6,3.66,53.0,5,4,False
2016-07,2017-06,35,350.0,18.6,5.31,57.7,4,6,False
2017-01,2017-12,36,360.0,-32.6,-9.06,86.8,3,8,False
2017-07,2018-06,48,480.0,-23.6,-4.92,70.7,4,6,False
2018-01,2018-12,52,520.0,196.8,37.85,85.8,7,3,True
2018-07,2019-06,44,440.0,111.9,25.43,140.0,6,4,True
2019-01,2019-12,42,420.0,-23.4,-5.57,100.0,6,4,False
2019-07,2020-06,34,340.0,89.6,26.35,40.0,8,2,True
2020-01,2020-12,35,350.0,50.6,14.46,40.0,6,3,True
2020-07,2021-06,42,420.0,106.9,25.45,47.8,6,3,True
2021-01,2021-12,37,370.0,90.1,24.35,62.7,5,4,True
2021-07,2022-06,30,300.0,73.5,24.5,61.4,5,4,True
2022-01,2022-12,23,230.0,109.9,47.78,60.0,6,3,True
2022-07,2023-06,26,260.0,75.8,29.15,60.0,5,4,True
2023-01,2023-12,35,350.0,113.4,32.4,50.0,7,3,True
2023-07,2024-06,37,370.0,23.1,6.24,70.0,6,4,False
2024-01,2024-12,29,290.0,45.3,15.62,80.0,5,5,False
2024-07,2025-06,18,180.0,57.0,31.67,50.0,5,4,False
2025-01,2025-12,29,290.0,16.3,5.62,105.5,4,5,False
2025-07,2026-06,39,390.0,92.3,23.67,80.0,6,4,True
