bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2016-09-20,2016-09-21,DNK,Esbjerg,Silkeborg,draw,draw,3.29,10.0,True,22.9,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-09,2016-17
2016-09-21,2016-09-22,DNK,Aarhus,Midtjylland,draw,draw,3.48,10.0,True,24.8,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-09,2016-17
2016-09-22,2016-09-23,DNK,Aalborg,Viborg,draw,home,3.32,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-09,2016-17
2016-09-25,2016-09-26,DNK,Nordsjaelland,Esbjerg,draw,home,3.43,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-09,2016-17
2016-09-26,2016-09-27,DNK,Silkeborg,Aalborg,draw,home,3.32,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-09,2016-17
2016-09-30,2016-10-01,DNK,Silkeborg,Nordsjaelland,draw,draw,3.43,10.0,True,24.3,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-09,2016-17
2016-10-01,2016-10-02,DNK,Horsens,Esbjerg,draw,home,3.3,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-10,2016-17
2016-10-02,2016-10-03,DNK,Lyngby,Midtjylland,draw,home,3.4,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-10,2016-17
2016-10-21,2016-10-22,DNK,Viborg,Silkeborg,draw,away,3.31,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-10,2016-17
2016-11-20,2016-11-21,DNK,Randers FC,Viborg,draw,home,3.32,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-11,2016-17
2016-11-26,2016-11-27,DNK,Viborg,Sonderjyske,draw,draw,3.2,10.0,True,22.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2016-11,2016-17
2017-02-19,2017-02-20,DNK,FC Copenhagen,Brondby,draw,draw,3.4,10.0,True,24.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-02,2016-17
2017-02-26,2017-02-27,DNK,Sonderjyske,Brondby,draw,away,3.44,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-02,2016-17
2017-02-27,2017-02-28,DNK,Lyngby,Esbjerg,draw,draw,3.41,10.0,True,24.1,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-02,2016-17
2017-03-06,2017-03-07,DNK,Odense,Aalborg,draw,home,3.31,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-03,2016-17
2017-03-11,2017-03-12,DNK,Lyngby,Viborg,draw,home,3.28,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-03,2016-17
2017-03-19,2017-03-20,DNK,Brondby,Lyngby,draw,home,3.47,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-03,2016-17
2017-03-31,2017-04-01,DNK,Horsens,Odense,draw,draw,3.29,10.0,True,22.9,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-03,2016-17
2017-04-01,2017-04-02,DNK,Silkeborg,Aalborg,draw,draw,3.32,10.0,True,23.2,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-04,2016-17
2017-04-02,2017-04-03,DNK,Brondby,Midtjylland,draw,home,3.46,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-04,2016-17
2017-04-09,2017-04-10,DNK,Lyngby,Brondby,draw,away,3.46,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-04,2016-17
2017-04-14,2017-04-15,DNK,Sonderjyske,Nordsjaelland,draw,away,3.24,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-04,2016-17
2017-04-21,2017-04-22,DNK,Silkeborg,Viborg,draw,away,3.34,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-04,2016-17
2017-04-22,2017-04-23,DNK,Horsens,Esbjerg,draw,away,3.36,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-04,2016-17
2017-04-30,2017-05-01,DNK,Viborg,Aalborg,draw,draw,3.23,10.0,True,22.3,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-04,2016-17
2017-05-16,2017-05-17,DNK,Silkeborg,Odense,draw,home,3.4,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-05,2016-17
2017-05-17,2017-05-18,DNK,Randers FC,Aalborg,draw,home,3.26,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-05,2016-17
2017-06-04,2017-06-05,DNK,Vendsyssel,Horsens,draw,away,3.13,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-06,2016-17
2017-07-15,2017-07-16,DNK,Sonderjyske,Randers FC,draw,draw,3.16,10.0,True,21.6,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-07,2017-18
2017-07-16,2017-07-17,DNK,Brondby,Midtjylland,draw,home,3.49,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-07,2017-18
2017-07-22,2017-07-23,DNK,Randers FC,FC Copenhagen,draw,away,3.11,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-07,2017-18
2017-07-23,2017-07-24,DNK,Horsens,Lyngby,draw,home,3.35,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-07,2017-18
2017-07-30,2017-07-31,DNK,Nordsjaelland,Aalborg,draw,home,3.33,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-07,2017-18
2017-07-31,2017-08-01,DNK,Silkeborg,Aarhus,draw,home,3.47,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-07,2017-18
2017-08-06,2017-08-07,DNK,Odense,Aalborg,draw,draw,3.31,10.0,True,23.1,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-08,2017-18
2017-08-07,2017-08-08,DNK,Sonderjyske,Aarhus,draw,home,3.33,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-08,2017-18
2017-08-18,2017-08-19,DNK,Horsens,Aalborg,draw,draw,3.22,10.0,True,22.2,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-08,2017-18
2017-09-10,2017-09-11,DNK,FC Copenhagen,Midtjylland,draw,home,3.42,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-09,2017-18
2017-10-15,2017-10-16,DNK,Odense,FC Copenhagen,draw,home,3.45,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-10,2017-18
2017-10-23,2017-10-24,DNK,Randers FC,Aalborg,draw,draw,3.17,10.0,True,21.7,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-10,2017-18
2017-10-28,2017-10-29,DNK,Helsingor,Silkeborg,draw,home,3.38,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-10,2017-18
2017-11-05,2017-11-06,DNK,Hobro,Aalborg,draw,away,3.19,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-11,2017-18
2017-11-17,2017-11-18,DNK,Helsingor,Hobro,draw,away,3.29,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-11,2017-18
2017-11-19,2017-11-20,DNK,Horsens,Odense,draw,draw,3.23,10.0,True,22.3,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-11,2017-18
2017-11-25,2017-11-26,DNK,Helsingor,Aalborg,draw,away,3.19,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-11,2017-18
2017-12-02,2017-12-03,DNK,Lyngby,Aalborg,draw,away,3.19,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-12,2017-18
2017-12-08,2017-12-09,DNK,Horsens,Sonderjyske,draw,home,3.35,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2017-12,2017-18
2018-02-10,2018-02-11,DNK,Silkeborg,Aalborg,draw,home,3.37,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-02,2017-18
2018-02-12,2018-02-13,DNK,Hobro,Aarhus,draw,away,3.28,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-02,2017-18
2018-02-18,2018-02-19,DNK,Randers FC,Hobro,draw,draw,3.29,10.0,True,22.9,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-02,2017-18
2018-02-23,2018-02-24,DNK,Horsens,Randers FC,draw,draw,3.21,10.0,True,22.1,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-02,2017-18
2018-02-24,2018-02-25,DNK,Lyngby,Aarhus,draw,draw,3.49,10.0,True,24.9,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-02,2017-18
2018-02-27,2018-02-28,DNK,Horsens,Aarhus,draw,draw,3.14,10.0,True,21.4,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-02,2017-18
2018-02-28,2018-03-01,DNK,Hobro,FC Copenhagen,draw,away,3.4,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-02,2017-18
2018-03-01,2018-03-02,DNK,Sonderjyske,Aalborg,draw,away,3.11,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-03,2017-18
2018-03-03,2018-03-04,DNK,Lyngby,Hobro,draw,away,3.26,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-03,2017-18
2018-03-04,2018-03-05,DNK,Aarhus,FC Copenhagen,draw,away,3.35,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-03,2017-18
2018-03-05,2018-03-06,DNK,Aalborg,Horsens,draw,draw,3.1,10.0,True,21.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-03,2017-18
2018-03-09,2018-03-10,DNK,Odense,Aarhus,draw,away,3.31,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-03,2017-18
2018-03-18,2018-03-19,DNK,Aarhus,Aalborg,draw,draw,3.1,10.0,True,21.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-03,2017-18
2018-04-01,2018-04-02,DNK,Hobro,Aarhus,draw,away,3.04,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-02,2018-04-03,DNK,Odense,Sonderjyske,draw,home,3.25,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-08,2018-04-09,DNK,Sonderjyske,Randers FC,draw,home,3.24,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-09,2018-04-10,DNK,Midtjylland,FC Copenhagen,draw,home,3.43,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-15,2018-04-16,DNK,Odense,Randers FC,draw,home,3.47,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-17,2018-04-18,DNK,Helsingor,Aarhus,draw,home,3.49,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-18,2018-04-19,DNK,Horsens,Nordsjaelland,draw,draw,3.42,10.0,True,24.2,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-19,2018-04-20,DNK,Silkeborg,Hobro,draw,home,3.37,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-22,2018-04-23,DNK,Helsingor,Silkeborg,draw,draw,3.37,10.0,True,23.7,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-04-29,2018-04-30,DNK,Sonderjyske,Odense,draw,home,3.38,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-04,2017-18
2018-05-06,2018-05-07,DNK,FC Copenhagen,Brondby,draw,draw,3.43,10.0,True,24.3,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-05,2017-18
2018-05-13,2018-05-14,DNK,Hobro,Sonderjyske,draw,home,3.36,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-05,2017-18
2018-05-17,2018-05-18,DNK,Lyngby,Randers FC,draw,away,3.2,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-05,2017-18
