league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08,1398,364,30,80,0.02,10.0,364,613.6,16.86,140.0,57,43,9,2,2025-26,39,92.3,20,11,20,11,0.55,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,1398,364,30,120,0.02,10.0,364,613.6,16.86,140.0,57,43,9,2,2025-26,39,92.3,20,11,20,11,0.55,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p0_top1_ridge35_cap0.08,869,116,18,120,0.0,35.0,116,275.7,23.77,86.7,18,12,4,1,2019-20,6,5.0,20,4,8,4,0.5,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p02_top1_ridge35_cap0.08,869,114,18,120,0.02,35.0,114,261.4,22.93,86.7,17,12,3,2,2019-20,5,-19.3,20,4,8,4,0.5,"['bets<150', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p02_top1_ridge10_cap0.08,869,112,18,120,0.02,10.0,112,252.6,22.55,96.7,18,12,3,2,2019-20,4,-40.0,20,4,8,4,0.5,"['bets<150', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p0_top1_ridge10_cap0.08,869,114,18,120,0.0,10.0,114,232.6,20.4,106.7,18,12,3,2,2019-20,4,-40.0,20,4,8,4,0.5,"['bets<150', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge35_cap0.08,1398,363,30,80,0.02,35.0,363,700.7,19.3,170.0,59,40,11,0,2025-26,38,102.3,20,10,20,10,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge35_cap0.08,1398,363,30,120,0.02,35.0,363,700.7,19.3,170.0,59,40,11,0,2025-26,38,102.3,20,10,20,10,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p0_top1_ridge35_cap0.08,1398,376,30,80,0.0,35.0,376,672.7,17.89,170.0,59,41,11,0,2025-26,38,102.3,20,10,20,10,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p0_top1_ridge35_cap0.08,1398,376,30,120,0.0,35.0,376,672.7,17.89,170.0,59,41,11,0,2025-26,38,102.3,20,10,20,10,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
