date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2022-09-01,3,1.0,-1.0,999999.0,1.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-02,1,0.27,-0.27,999998.73,1.27,NORMAL,1.0,100.0,0.0,0.0
2022-09-03,17,3.17,0.1,999998.83,1.17,CAUTION,0.75,75.0,0.0,0.0
2022-09-04,7,1.94,2.33,1000001.16,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-05,4,1.36,-1.36,999999.8,1.36,NORMAL,1.0,100.0,0.0,0.0
2022-09-06,0,0,0,999999.8,1.36,NORMAL,1.0,100.0,0.0,0.0
2022-09-07,0,0,0,999999.8,1.36,NORMAL,1.0,100.0,0.0,0.0
2022-09-09,2,0.52,1.88,1000001.68,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-10,3,0.95,1.7,1000003.38,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-11,7,1.51,-0.83,1000002.55,0.83,NORMAL,1.0,100.0,0.0,0.0
2022-09-12,2,0.52,0.53,1000003.08,0.3,NORMAL,1.0,100.0,0.0,0.0
2022-09-13,3,0.77,1.8,1000004.88,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-14,1,0.21,-0.21,1000004.67,0.21,NORMAL,1.0,100.0,0.0,0.0
2022-09-16,3,1.09,0.33,1000005.0,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-17,14,4.13,-3.09,1000001.91,3.09,NORMAL,1.0,100.0,0.0,0.0
2022-09-18,7,1.71,2.03,1000003.94,1.06,NORMAL,1.0,100.0,0.0,0.0
2022-09-19,0,0,0,1000003.94,1.06,NORMAL,1.0,100.0,0.0,0.0
2022-09-23,0,0,0,1000003.94,1.06,NORMAL,1.0,100.0,0.0,0.0
2022-09-24,4,1.34,0.23,1000004.17,0.83,NORMAL,1.0,100.0,0.0,0.0
2022-09-25,0,0,0,1000004.17,0.83,NORMAL,1.0,100.0,0.0,0.0
2022-09-26,0,0,0,1000004.17,0.83,NORMAL,1.0,100.0,0.0,0.0
2022-09-27,0,0,0,1000004.17,0.83,NORMAL,1.0,100.0,0.0,0.0
2022-09-30,0,0,0,1000004.17,0.83,NORMAL,1.0,100.0,0.0,0.0
