month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev
2022-08,ABSTAIN,insufficient_prior_candidates,118.0,6.0,,
2022-09,INVEST,,124.0,12.0,7.0,0.0789
2022-10,INVEST,,136.0,18.0,10.0,0.0852
2022-11,INVEST,,154.0,5.0,2.0,0.0781
2022-12,ABSTAIN,no_positive_feature_edge,159.0,2.0,0.0,0.0
2023-01,INVEST,,161.0,11.0,8.0,0.0846
2023-02,INVEST,,172.0,12.0,5.0,0.0736
2023-03,INVEST,,174.0,8.0,4.0,0.0827
2023-04,INVEST,,167.0,21.0,9.0,0.0812
2023-05,INVEST,,174.0,15.0,7.0,0.0804
2023-06,INVEST,,179.0,1.0,1.0,0.0923
2023-07,ABSTAIN,no_candidates,,,,
2023-08,INVEST,,159.0,6.0,3.0,0.0805
2023-09,INVEST,,153.0,15.0,7.0,0.084
2023-10,INVEST,,159.0,13.0,6.0,0.0844
2023-11,INVEST,,158.0,12.0,7.0,0.0777
2023-12,INVEST,,157.0,14.0,9.0,0.0853
2024-01,INVEST,,171.0,12.0,7.0,0.0839
2024-02,INVEST,,183.0,12.0,9.0,0.0813
2024-03,INVEST,,189.0,10.0,5.0,0.0777
2024-04,INVEST,,187.0,7.0,5.0,0.0782
2024-05,INVEST,,176.0,18.0,10.0,0.0806
2024-06,ABSTAIN,no_candidates,,,,
2024-07,ABSTAIN,no_candidates,,,,
2024-08,INVEST,,176.0,10.0,6.0,0.0828
2024-09,INVEST,,174.0,13.0,8.0,0.0823
2024-10,INVEST,,179.0,8.0,5.0,0.0899
2024-11,INVEST,,166.0,10.0,4.0,0.0783
2024-12,INVEST,,161.0,9.0,2.0,0.0524
2025-01,INVEST,,169.0,9.0,4.0,0.073
2025-02,INVEST,,178.0,16.0,3.0,0.045
2025-03,INVEST,,188.0,12.0,5.0,0.0641
2025-04,INVEST,,185.0,16.0,3.0,0.0624
2025-05,INVEST,,188.0,15.0,4.0,0.067
2025-06,ABSTAIN,no_candidates,,,,
2025-07,ABSTAIN,no_candidates,,,,
2025-08,INVEST,,165.0,8.0,1.0,0.0396
2025-09,INVEST,,161.0,12.0,1.0,0.0728
2025-10,INVEST,,163.0,5.0,1.0,0.0545
2025-11,INVEST,,161.0,12.0,5.0,0.0453
2025-12,INVEST,,155.0,10.0,6.0,0.0526
2026-01,INVEST,,165.0,8.0,4.0,0.0422
2026-02,INVEST,,173.0,13.0,9.0,0.06
2026-03,INVEST,,176.0,11.0,7.0,0.0437
2026-04,INVEST,,174.0,9.0,5.0,0.0481
2026-05,INVEST,,175.0,15.0,5.0,0.0608
