label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
"[2.2,2.8)",68,30,0.4412,0.3295,2.5294,0.397,0.0441,-0.0676,680.0,79.1,11.63,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
"[4.0,+)",66,8,0.1212,0.0627,5.3553,0.1963,-0.0751,-0.1336,660.0,-295.5,-44.77,NO_CALIBRATED_EDGE,"['hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
"[3.5,4.0)",60,25,0.4167,0.3006,3.6953,0.271,0.1457,0.0297,600.0,327.0,54.5,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['bets<minimum']
"[2.8,3.3)",53,20,0.3774,0.2594,3.0243,0.3316,0.0457,-0.0723,530.0,76.1,14.36,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
"[1.8,2.2)",27,14,0.5185,0.3399,2.0737,0.4833,0.0352,-0.1434,270.0,17.5,6.48,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
"[3.3,3.5)",20,8,0.4,0.2188,3.407,0.2936,0.1064,-0.0748,200.0,75.0,37.5,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
"[1.0,1.8)",6,2,0.3333,0.0968,1.6333,0.6215,-0.2881,-0.5247,60.0,-30.4,-50.67,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
