candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
data\historical_csv\football-data\2526\P1.csv:287,data\historical_csv\football-data\2526\P1.csv,287,2026-05-03,P1,Sp Braga,Estoril,away,0.21771262542856376,0.21231887465578225,4.822,4.9,2.380161359018196,0.003393750772781498,6,0.0,BMGM,4.0-5.0,sportsbook,0.20738282870178348,1.0498102798165345,0.005393750772781508,0.01558821297616964,1.5731887797589794,0.04739878727099811,0.34250305953608595,0.16666666666666666,1.6175860638739215,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,4.175646915882313,4.175646915882313,0.11,0.216042403392539,True,0.17876458867065187,5.593949044585987,-13.799715343011664,False,draw,False,-0.11
data\historical_csv\football-data\2526\T1.csv:297,data\historical_csv\football-data\2526\T1.csv,297,2026-05-09,T1,Kocaelispor,Karagumruk,away,0.25452038480756173,0.250273020932567,4.038,4.1,1.0602458525705627,0.0022473638749947364,7,0.0,BMGM,4.0-5.0,sportsbook,0.24764735017335313,1.0277533138529342,0.004247363874994747,0.00882979914042613,1.3957495198906458,0.0647806262825893,0.3552467048975367,0.14285714285714285,1.535413571074784,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,3.4956364186029645,3.4956364186029645,0.12,0.25630420113571806,True,0.26454867169338464,3.780022759513278,6.824753629788716,True,away,True,0.36
data\historical_csv\football-data\2526\G1.csv:225,data\historical_csv\football-data\2526\G1.csv,225,2026-05-13,G1,Volos NFC,Aris,home,0.2624762514124746,0.2533154704705338,4.2634,4.33,7.99851768040738,0.007160780941940779,6,0.0,B365,4.0-5.0,sportsbook,0.23455458085096403,1.1190412502719442,0.009160780941940783,0.027281633684594946,1.450066964016957,0.06889378255554458,0.38060814101223855,0.16666666666666666,1.5621335084674337,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,5.35767376088366,5.35767376088366,0.16,0.24712125008416677,True,0.29107930137240884,3.435489900123792,24.09874934711278,True,away,False,-0.16
data\historical_csv\football-data\2526\SP1.csv:366,data\historical_csv\football-data\2526\SP1.csv,366,2026-05-17,SP1,Osasuna,Espanol,away,0.251450285289587,0.24627474317571527,4.2487,4.4,4.634750133066157,0.0031755421138717427,7,0.025,BFE,4.0-5.0,exchange,0.23536611198719606,1.0683368271098685,0.0051755421138717506,0.012628906386861226,1.4466130537918354,0.0632272459722147,0.3637512650795977,0.14285714285714285,3.561089274366269,away:4.0-5.0,away:exchange,exchange:4.0-5.0,3.720110513491887,3.720110513491887,0.11,0.2441219914644288,True,0.23301417818385203,4.291584348189248,-0.9992661150267756,False,away,True,0.36
data\historical_csv\football-data\2526\T1.csv:307,data\historical_csv\football-data\2526\T1.csv,307,2026-05-17,T1,Trabzonspor,Genclerbirligi,away,0.4353363593042617,0.42395570262182664,2.4210000000000003,2.45,2.6396756047442294,0.009380656682435035,7,0.0,BV,2.0-3.0,sportsbook,0.41305245766212306,1.0539493258756176,0.011380656682435042,0.021548066183644413,0.8841806779559216,0.18951774573228922,0.3849159973085048,0.14285714285714285,1.1978521272201448,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,2.4756507431553048,2.4756507431553048,0.17,0.4232781938998566,True,0.3864233771816443,2.587835154522586,-6.446900384323895,False,away,True,0.24
