window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,20,200.0,-116.8,-58.4,118.5,0,1,False
2017-07,2018-06,20,200.0,-116.8,-58.4,118.5,0,1,False
2018-01,2018-12,0,0.0,0.0,0.0,0.0,0,0,False
2018-07,2019-06,6,60.0,40.3,67.17,50.0,1,1,False
2019-01,2019-12,16,160.0,46.6,29.12,50.0,2,3,False
2019-07,2020-06,10,100.0,6.3,6.3,50.0,1,2,False
2020-01,2020-12,0,0.0,0.0,0.0,0.0,0,0,False
2020-07,2021-06,0,0.0,0.0,0.0,0.0,0,0,False
2021-01,2021-12,5,50.0,-50.0,-100.0,50.0,0,1,False
2021-07,2022-06,20,200.0,-136.3,-68.15,149.6,0,2,False
2022-01,2022-12,15,150.0,-86.3,-57.53,99.6,0,1,False
2022-07,2023-06,0,0.0,0.0,0.0,0.0,0,0,False
2023-01,2023-12,0,0.0,0.0,0.0,0.0,0,0,False
2023-07,2024-06,0,0.0,0.0,0.0,0.0,0,0,False
2024-01,2024-12,14,140.0,-47.0,-33.57,51.4,0,3,False
2024-07,2025-06,17,170.0,-36.8,-21.65,51.4,1,3,False
2025-01,2025-12,52,520.0,35.6,6.85,56.8,4,1,False
