test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability_x,closing_fair_odds_x,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability_y,closing_fair_odds_y,won,profit
2024-11,data\historical_csv\football-data\2425\SP2.csv:142,data\historical_csv\football-data\2425\SP2.csv,142,2024-11-09,SP2,Mirandes,Cadiz,draw,0.3618432943310394,0.3458700687056695,2.96,3.0,2.377540336878181,0.0139732256253699,6,0.0,WH,2.0-3.0,sportsbook,7.619810056125414,5.511610804533646,1.41,0.3564581446099109,True,0.3493856261994927,2.8621669725732177,half_kelly,draw,3.4181453550498286,True,0.3493856261994927,2.8621669725732177,True,2.76
2024-11,data\historical_csv\football-data\2425\G1.csv:72,data\historical_csv\football-data\2425\G1.csv,72,2024-11-09,G1,Panetolikos,Aris,home,0.2618722264057883,0.2534496207578949,3.94,4.0,-0.1408494213894107,0.0064226056478933,6,0.0,BF,3.0-4.0,sportsbook,5.331982779269128,3.223783527677359,0.55,0.2619892982935973,True,0.2862167060016147,3.4938561552530705,half_kelly,home,12.76938216463619,True,0.2862167060016147,3.4938561552530705,True,1.62
2024-11,data\historical_csv\football-data\2425\SP2.csv:144,data\historical_csv\football-data\2425\SP2.csv,144,2024-11-09,SP2,Huesca,Zaragoza,draw,0.3495823578452776,0.3393754583371273,2.96,3.0,0.4551356677896745,0.0082068995081503,6,0.0,WH,2.0-3.0,sportsbook,4.924093795378947,2.8158945437871785,0.72,0.3473509950803621,True,0.3641425639264352,2.74617718186337,half_kelly,draw,7.78619892222483,True,0.3641425639264352,2.74617718186337,True,1.41
2025-01,data\historical_csv\football-data\2425\E0.csv:196,data\historical_csv\football-data\2425\E0.csv,196,2025-01-04,E0,Southampton,Brentford,home,0.346951425215404,0.3367144426061885,2.96,3.0,-0.3325249885681947,0.0082369826092154,6,0.0,B365,2.0-3.0,sportsbook,2.323041258740105,2.323041258740105,0.59,0.3456859501984463,True,0.2880070791520744,3.472136875746643,half_kelly,away,-14.749904570985962,False,0.2880070791520744,3.472136875746643,False,-0.59
2025-01,data\historical_csv\football-data\2425\T1.csv:162,data\historical_csv\football-data\2425\T1.csv,162,2025-01-05,T1,Bodrumspor,Kayserispor,draw,0.2847443584901064,0.2737480785604556,3.5676,3.62,-2.33763549277185,0.0089962799296507,6,0.0,1XB,3.0-4.0,sportsbook,2.626701585006048,2.626701585006048,0.51,0.2876631393233715,True,0.2892372532578242,3.457369300588007,half_kelly,draw,3.1882824722613723,True,0.2892372532578242,3.457369300588007,True,1.31
2025-01,data\historical_csv\football-data\2425\I2.csv:205,data\historical_csv\football-data\2425\I2.csv,205,2025-01-12,I2,Palermo,Modena,away,0.2436929239104459,0.2295626603585276,4.43,4.5,1.696258538827733,0.0121302635519183,6,0.0,B365,4.0-5.0,sportsbook,5.652254325682991,5.652254325682991,0.82,0.2384926734214063,True,0.258024407860914,3.875602344329541,half_kelly,home,14.304812682384904,True,0.258024407860914,3.875602344329541,False,-0.82
2025-01,data\historical_csv\football-data\2425\I1.csv:197,data\historical_csv\football-data\2425\I1.csv,197,2025-01-14,I1,Como,Milan,draw,0.2712682705929208,0.2675395415987964,3.7734,3.83,0.953370626889849,0.0017287289941243,6,0.0,1XB,3.0-4.0,sportsbook,2.742785857728536,2.742785857728536,0.49,0.2722817243274726,True,0.2688192289376924,3.719971982479655,half_kelly,away,1.4362478473488594,True,0.2688192289376924,3.719971982479655,False,-0.49
2025-01,data\historical_csv\football-data\2425\F1.csv:156,data\historical_csv\football-data\2425\F1.csv,156,2025-01-17,F1,Lille,Nice,draw,0.2796527214330315,0.2759070361967595,3.6754,3.73,1.4068720837570048,0.001745685236272,6,0.0,1XB,3.0-4.0,sportsbook,2.9959585458654208,2.9959585458654208,0.56,0.280230610398502,True,0.2804354943235666,3.565882423022385,half_kelly,home,3.071261583683671,True,0.2804354943235666,3.565882423022385,False,-0.56
2025-01,data\historical_csv\football-data\2425\T1.csv:175,data\historical_csv\football-data\2425\T1.csv,175,2025-01-18,T1,Gaziantep,Bodrumspor,draw,0.2872519986814653,0.2787524712021582,3.6558,3.71,1.90632842208498,0.0064995274793071,6,0.0,1XB,3.0-4.0,sportsbook,5.899747569968995,5.899747569968995,1.11,0.2896759876633542,True,0.2935409389693976,3.4066798434008296,half_kelly,draw,7.312696468432378,True,0.2935409389693976,3.4066798434008296,True,2.95
2025-01,data\historical_csv\football-data\2425\F1.csv:157,data\historical_csv\football-data\2425\F1.csv,157,2025-01-18,F1,Lens,Paris SG,draw,0.2363409161776228,0.2275842852825149,4.381,4.45,-0.2953246177301971,0.0067566308951078,6,0.0,1XB,4.0-5.0,sportsbook,3.343630512465213,3.343630512465213,0.49,0.2358905056207834,True,0.2492333202947077,4.012304610063947,half_kelly,away,9.189117621111452,True,0.2492333202947077,4.012304610063947,False,-0.49
