policy,bets,staked,profit,roi_pct,active_months,positive_active_months,maximum_drawdown,profit_to_drawdown,maximum_daily_stake
existing_one_tenth_kelly,109,19.11,5.82,30.46,10,8,1.58,3.6835,1.32
quarter_kelly,109,47.77,14.75,30.88,10,8,3.93,3.7532,3.3
half_kelly,109,95.51,29.54,30.93,10,8,7.87,3.7535,6.59
flat_1,109,109.0,20.11,18.45,10,8,11.34,1.7734,4.0
flat_2,109,218.0,40.23,18.45,10,8,22.68,1.7738,8.0
flat_5,109,545.0,100.59,18.46,10,8,56.68,1.7747,20.0
