columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|market_prob_bucket,"home|[0.34,0.42)",303,9.0,2.97,50,29,21,2026-05,0.55,16.3267
league|outcome|market_prob_bucket,"E0|home|[0.34,0.42)",303,9.0,2.97,50,29,21,2026-05,0.55,16.3267
odds_bucket|market_prob_bucket,"[2.2,2.8)|[0.34,0.42)",554,6.01,1.08,50,29,21,2026-05,-3.05,16.1193
league|odds_bucket|market_prob_bucket,"E0|[2.2,2.8)|[0.34,0.42)",554,6.01,1.08,50,29,21,2026-05,-3.05,16.1193
market_prob_bucket,"[0.34,0.42)",560,5.61,1.0,50,29,21,2026-05,-3.05,16.1102
league|market_prob_bucket,"E0|[0.34,0.42)",560,5.61,1.0,50,29,21,2026-05,-3.05,16.1102
outcome|odds_bucket|favorite_relation,"home|[2.2,2.8)|market_favorite",294,18.6,6.33,50,28,21,2026-05,0.8,14.6959
outcome|market_prob_bucket|favorite_relation,"home|[0.34,0.42)|market_favorite",231,21.65,9.37,50,28,22,2026-05,0.8,13.031
outcome|odds_bucket|market_prob_bucket,"home|[2.2,2.8)|[0.34,0.42)",299,10.2,3.41,50,28,22,2026-05,0.55,12.3753
outcome|odds_bucket,"away|[3.5,4.0)",160,0.7,0.44,48,27,21,2026-05,-4.4,12.0481
league|outcome|odds_bucket,"E0|away|[3.5,4.0)",160,0.7,0.44,48,27,21,2026-05,-4.4,12.0481
outcome|odds_bucket|market_prob_bucket,"away|[3.5,4.0)|[0.20,0.28)",160,0.7,0.44,48,27,21,2026-05,-4.4,12.0481
outcome|odds_bucket|favorite_relation,"away|[3.5,4.0)|market_non_favorite",160,0.7,0.44,48,27,21,2026-05,-4.4,12.0481
outcome|odds_bucket|favorite_relation,"away|[2.2,2.8)|market_favorite",224,6.84,3.05,50,27,23,2026-05,-1.6,8.3359
outcome|odds_bucket,"home|[2.2,2.8)",362,7.15,1.98,50,27,23,2026-05,0.55,8.2173
league|outcome|odds_bucket,"E0|home|[2.2,2.8)",362,7.15,1.98,50,27,23,2026-05,0.55,8.2173
