columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|odds_bucket,"away|[1.0,1.8)",151,24.47,16.21,48,32,15,2026-05,0.13,35.7826
league|outcome|odds_bucket,"T1|away|[1.0,1.8)",151,24.47,16.21,48,32,15,2026-05,0.13,35.7826
outcome|odds_bucket|favorite_relation,"away|[1.0,1.8)|market_favorite",151,24.47,16.21,48,32,15,2026-05,0.13,35.7826
outcome|favorite_relation,away|market_favorite,493,21.06,4.27,52,33,19,2026-05,-1.82,28.4699
league|outcome|favorite_relation,T1|away|market_favorite,493,21.06,4.27,52,33,19,2026-05,-1.82,28.4699
market_prob_bucket,"[0.55,1.00]",489,37.9,7.75,51,32,19,2026-05,0.17,26.8526
league|market_prob_bucket,"T1|[0.55,1.00]",489,37.9,7.75,51,32,19,2026-05,0.17,26.8526
odds_bucket|market_prob_bucket,"[1.0,1.8)|[0.55,1.00]",489,37.9,7.75,51,32,19,2026-05,0.17,26.8526
market_prob_bucket|favorite_relation,"[0.55,1.00]|market_favorite",489,37.9,7.75,51,32,19,2026-05,0.17,26.8526
league|odds_bucket|market_prob_bucket,"T1|[1.0,1.8)|[0.55,1.00]",489,37.9,7.75,51,32,19,2026-05,0.17,26.8526
league|market_prob_bucket|favorite_relation,"T1|[0.55,1.00]|market_favorite",489,37.9,7.75,51,32,19,2026-05,0.17,26.8526
odds_bucket|market_prob_bucket|favorite_relation,"[1.0,1.8)|[0.55,1.00]|market_favorite",489,37.9,7.75,51,32,19,2026-05,0.17,26.8526
odds_bucket,"[1.0,1.8)",599,34.44,5.75,52,30,22,2026-05,-1.13,16.6325
league|odds_bucket,"T1|[1.0,1.8)",599,34.44,5.75,52,30,22,2026-05,-1.13,16.6325
odds_bucket|favorite_relation,"[1.0,1.8)|market_favorite",599,34.44,5.75,52,30,22,2026-05,-1.13,16.6325
league|odds_bucket|favorite_relation,"T1|[1.0,1.8)|market_favorite",599,34.44,5.75,52,30,22,2026-05,-1.13,16.6325
outcome|odds_bucket,"home|[2.2,2.8)",416,33.36,8.02,51,29,22,2026-05,5.84,14.8821
league|outcome|odds_bucket,"T1|home|[2.2,2.8)",416,33.36,8.02,51,29,22,2026-05,5.84,14.8821
outcome|odds_bucket|favorite_relation,"home|[2.2,2.8)|market_favorite",338,22.55,6.67,51,29,22,2026-05,4.18,14.7339
outcome|odds_bucket,"away|[1.8,2.2)",150,6.17,4.11,49,28,21,2026-05,0.05,14.4525
league|outcome|odds_bucket,"T1|away|[1.8,2.2)",150,6.17,4.11,49,28,21,2026-05,0.05,14.4525
outcome|odds_bucket|market_prob_bucket,"away|[1.8,2.2)|[0.42,0.55)",150,6.17,4.11,49,28,21,2026-05,0.05,14.4525
outcome|odds_bucket|favorite_relation,"away|[1.8,2.2)|market_favorite",150,6.17,4.11,49,28,21,2026-05,0.05,14.4525
odds_bucket,"[2.2,2.8)",717,16.76,2.34,51,29,22,2026-05,1.84,14.2571
league|odds_bucket,"T1|[2.2,2.8)",717,16.76,2.34,51,29,22,2026-05,1.84,14.2571
market_prob_bucket,"[0.34,0.42)",625,16.22,2.6,51,28,23,2026-05,2.84,10.2855
league|market_prob_bucket,"T1|[0.34,0.42)",625,16.22,2.6,51,28,23,2026-05,2.84,10.2855
