month,decision,reason,prior_candidates,candidate_count,probability_validation
2022-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,412.0,30.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 231, 'validation_rows': 181, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 33, 'profit_units': -3.9, 'hit_rate': 0.272727, 'average_market_probability': 0.288571, 'edge_vs_market_probability': -0.015844, 'passed': True}}"
2022-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,442.0,35.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 294, 'validation_rows': 148, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 29, 'profit_units': -0.08, 'hit_rate': 0.310345, 'average_market_probability': 0.288994, 'edge_vs_market_probability': 0.021351, 'passed': True}}"
2022-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,477.0,59.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 340, 'validation_rows': 137, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 28, 'profit_units': -1.64, 'hit_rate': 0.285714, 'average_market_probability': 0.283181, 'edge_vs_market_probability': 0.002533, 'passed': True}}"
2022-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,536.0,31.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 396, 'validation_rows': 140, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 27, 'profit_units': -17.24, 'hit_rate': 0.111111, 'average_market_probability': 0.285284, 'edge_vs_market_probability': -0.174173, 'passed': True}}"
2022-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,567.0,46.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 412, 'validation_rows': 155, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 30, 'profit_units': -7.02, 'hit_rate': 0.233333, 'average_market_probability': 0.287305, 'edge_vs_market_probability': -0.053971, 'passed': True}}"
2023-01,ABSTAIN,model_did_not_beat_market_on_prior_validation,613.0,32.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 412, 'validation_rows': 201, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 40, 'profit_units': -13.83, 'hit_rate': 0.2, 'average_market_probability': 0.288604, 'edge_vs_market_probability': -0.088604, 'passed': True}}"
2023-02,ABSTAIN,model_did_not_beat_market_on_prior_validation,645.0,50.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 412, 'validation_rows': 233, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 47, 'profit_units': -14.26, 'hit_rate': 0.212766, 'average_market_probability': 0.289609, 'edge_vs_market_probability': -0.076843, 'passed': True}}"
2023-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,695.0,40.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 442, 'validation_rows': 253, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 35, 'profit_units': 6.45, 'hit_rate': 0.371429, 'average_market_probability': 0.290864, 'edge_vs_market_probability': 0.080564, 'passed': True}}"
2023-04,ABSTAIN,model_did_not_beat_market_on_prior_validation,735.0,56.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 477, 'validation_rows': 258, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 20, 'profit_units': -0.5, 'hit_rate': 0.3, 'average_market_probability': 0.287791, 'edge_vs_market_probability': 0.012209, 'passed': True}}"
2023-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,791.0,42.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 536, 'validation_rows': 255, 'market': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'model': {'matches': 0, 'log_loss': 0.0, 'brier': 0.0}, 'log_loss_improvement': 0.0, 'brier_improvement': 0.0, 'selected_tail': {'bets': 19, 'profit_units': 0.11, 'hit_rate': 0.315789, 'average_market_probability': 0.294841, 'edge_vs_market_probability': 0.020949, 'passed': True}}"
