columns,key,rule,source_count,passing_sources,bets,profit,roi_pct,worst_source_roi_pct,min_latest_profit,active_months,positive_months,negative_months,latest_month,latest_profit,score
league|odds_bucket,"E2|[1.0,1.8)","league|odds_bucket=E2|[1.0,1.8)",6,3,4369,138.64,3.17,1.28,1.0,49,168,126,2026-05,1.0,365.205
league|odds_bucket|favorite_relation,"E2|[1.0,1.8)|market_favorite","league|odds_bucket|favorite_relation=E2|[1.0,1.8)|market_favorite",6,3,4369,138.64,3.17,1.28,1.0,49,168,126,2026-05,1.0,365.205
league|outcome|odds_bucket,"E2|home|[1.0,1.8)","league|outcome|odds_bucket=E2|home|[1.0,1.8)",5,3,3005,117.13,3.9,2.47,-0.03,49,133,112,2026-05,-0.03,355.9368
league|outcome|odds_bucket,"N1|draw|[5.0,7.0)","league|outcome|odds_bucket=N1|draw|[5.0,7.0)",4,3,943,158.75,16.83,4.8,-4.0,48,114,80,2026-05,-4.0,361.0029
league|odds_bucket|market_prob_bucket,"N1|[4.0,5.0)|[0.20,0.28)","league|odds_bucket|market_prob_bucket=N1|[4.0,5.0)|[0.20,0.28)",4,3,2219,146.9,6.62,3.06,-0.03,49,116,80,2026-05,-0.03,352.6863
league|market_prob_bucket|favorite_relation,"G1|[0.28,0.34)|market_non_favorite","league|market_prob_bucket|favorite_relation=G1|[0.28,0.34)|market_non_favorite",4,3,3147,243.47,7.74,1.13,1.37,49,119,77,2026-05,1.37,357.8139
league|market_prob_bucket,"G1|[0.28,0.34)","league|market_prob_bucket=G1|[0.28,0.34)",4,3,3158,244.1,7.73,1.13,1.37,49,120,76,2026-05,1.37,357.8069
league|market_prob_bucket,"F2|[0.55,1.00]","league|market_prob_bucket=F2|[0.55,1.00]",3,3,779,45.31,5.82,3.83,0.03,52,85,72,2026-05,0.03,339.8746
league|market_prob_bucket|favorite_relation,"F2|[0.55,1.00]|market_favorite","league|market_prob_bucket|favorite_relation=F2|[0.55,1.00]|market_favorite",3,3,779,45.31,5.82,3.83,0.03,52,85,72,2026-05,0.03,339.8746
league|outcome|odds_bucket,"SC0|home|[2.8,3.5)","league|outcome|odds_bucket=SC0|home|[2.8,3.5)",3,3,401,41.3,10.3,3.29,0.95,46,80,63,2026-05,0.95,344.4022
league|outcome|odds_bucket,"T1|home|[2.2,2.8)","league|outcome|odds_bucket=T1|home|[2.2,2.8)",3,3,1273,97.97,7.7,3.29,2.11,51,83,70,2026-05,2.11,339.773
