date,opening_equity,positions,staked,unused_daily_budget,settled_profit,ending_equity,drawdown
2026-04-01,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-04-02,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-04-03,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-04-04,0.0,1,15.0,85.0,-15.0,-15.0,15.0
2026-04-05,-15.0,0,0.0,100.0,0.0,-15.0,15.0
2026-04-06,-15.0,1,15.0,85.0,33.08,18.08,0.0
2026-04-07,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-08,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-09,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-10,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-11,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-12,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-13,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-14,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-15,18.08,0,0.0,100.0,0.0,18.08,0.0
2026-04-16,18.08,1,5.6,94.4,19.21,37.29,0.0
2026-04-17,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-18,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-19,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-20,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-21,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-22,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-23,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-24,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-25,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-26,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-27,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-28,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-29,37.29,0,0.0,100.0,0.0,37.29,0.0
2026-04-30,37.29,0,0.0,100.0,0.0,37.29,0.0
