test_month,date,league,match,outcome,probability,conservative_probability,odds,raw_odds,execution_cost_rate,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2025-01,2025-01-04,P1,Moreirense v AVS,away,0.20660968882100203,0.19772239662935095,5.2042,5.4,0.025,0.02898689653846831,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.003887292191651072,0.17,draw,-0.17,False,data\historical_csv\football-data\2425\P1.csv,147
2025-01,2025-01-04,P1,Benfica v Sp Braga,draw,0.20150286451562266,0.18731188497436113,5.3953,5.6,0.025,0.010603813002170615,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.009190979541261525,0.06,away,-0.06,False,data\historical_csv\football-data\2425\P1.csv,148
2025-01,2025-01-19,SP2,Castellon v Cordoba,away,0.2420263991330209,0.23051349299864288,4.4398,4.6,0.025,0.02343380621537472,BFE,"['1XB', 'B365', 'BF', 'BW', 'PS', 'WH']",0.006512906134378034,0.17,away,0.58,True,data\historical_csv\football-data\2425\SP2.csv,250
2025-04,2025-04-06,F1,Lens v St Etienne,home,0.6206788588937535,0.6146990235520163,1.6467999999999998,1.66,0.0,0.012286351985460353,1XB,"['B365', 'BF', 'BFE', 'PS']",0.0009798353417371515,0.47,home,0.3,True,data\historical_csv\football-data\2425\F1.csv,249
2025-10,2025-10-03,F2,Guingamp v Nancy,away,0.3405697924670639,0.33349421099311327,3.4989999999999997,3.55,0.0,0.16689624426490313,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.002075581473950647,1.67,draw,-1.67,False,data\historical_csv\football-data\2526\F2.csv,77
2025-10,2025-10-04,SP2,La Coruna v Almeria,away,0.2693843199429171,0.2597796960519159,3.94,4.0,0.0,0.023532002444548672,B365,"['BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004604623891001197,0.2,draw,-0.2,False,data\historical_csv\football-data\2526\SP2.csv,80
2025-10,2025-10-04,B1,RAAL La Louviere v Waregem,away,0.3271707400962737,0.3166718119861467,3.19765,3.3,0.025,0.01260561959750195,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005498928110127039,0.14,draw,-0.14,False,data\historical_csv\football-data\2526\B1.csv,76
2025-10,2025-10-04,T1,Galatasaray v Besiktas,draw,0.21612902969342968,0.20969559190716636,4.822,5.0,0.025,0.011152144176356238,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.0014334377862633076,0.07,draw,0.27,True,data\historical_csv\football-data\2526\T1.csv,67
2025-10,2025-10-05,SP2,Santander v Malaga,away,0.24060572805840044,0.2276845039050774,4.5573999999999995,4.63,0.0,0.03764935809699965,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.007921224153323036,0.26,home,-0.26,False,data\historical_csv\football-data\2526\SP2.csv,86
2025-10,2025-10-05,P1,Arouca v Famalicao,home,0.26949784214764416,0.2617423018184841,3.962049999999999,4.1,0.025,0.03703608691992488,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.00275554032916002,0.31,draw,-0.31,False,data\historical_csv\football-data\2526\P1.csv,70
2025-10,2025-10-05,G1,PAOK v Olympiakos,draw,0.29799432996681363,0.29012851018075886,3.5185999999999997,3.57,0.0,0.020846175922017984,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0028658197860547906,0.21,home,-0.21,False,data\historical_csv\football-data\2526\G1.csv,41
2025-10,2025-10-18,D2,Paderborn v Bielefeld,away,0.23110652182038943,0.2179985245973972,4.72645,4.9,0.025,0.030359126583367813,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.008107997222992235,0.2,home,-0.2,False,data\historical_csv\football-data\2526\D2.csv,77
