candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons,band_low,band_high
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_OPEN,2022-08,2023-07,94,940.0,198.3,21.1,105.9,35,4,0,4,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 94, 'profit': 198.3, 'roi_pct': 21.1}]",1,True,[],2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_OPEN,2023-02,2024-01,171,1710.0,293.9,17.19,123.9,68,8,1,9,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 171, 'profit': 293.9, 'roi_pct': 17.19}]",1,True,[],2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_OPEN,2023-08,2024-07,147,1470.0,286.3,19.48,123.9,72,8,1,9,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 105, 'profit': 246.2, 'roi_pct': 23.45}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}]",2,True,[],2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_OPEN,2024-02,2025-01,70,700.0,190.7,27.24,30.5,39,4,0,4,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 28, 'profit': 150.6, 'roi_pct': 53.79}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}]",2,True,[],2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_OPEN,2024-08,2025-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_OPEN,2025-02,2026-01,22,220.0,-65.9,-29.95,89.0,9,0,1,1,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 22, 'profit': -65.9, 'roi_pct': -29.95}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_CLOSE,2022-08,2023-07,14,140.0,42.9,30.64,10.0,5,1,0,1,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 14, 'profit': 42.9, 'roi_pct': 30.64}]",1,False,['bets<minimum'],2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_CLOSE,2023-02,2024-01,127,1270.0,121.7,9.58,152.9,47,4,3,7,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 127, 'profit': 121.7, 'roi_pct': 9.58}]",1,True,[],2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_CLOSE,2023-08,2024-07,119,1190.0,62.8,5.28,152.9,46,3,4,7,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 113, 'profit': 78.8, 'roi_pct': 6.97}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 6, 'profit': -16.0, 'roi_pct': -26.67}]",2,False,"['positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_CLOSE,2024-02,2025-01,34,340.0,-88.8,-26.12,90.0,19,0,3,3,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -22.1, 'roi_pct': -18.42}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 22, 'profit': -66.7, 'roi_pct': -30.32}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_CLOSE,2024-08,2025-07,55,550.0,-72.5,-13.18,84.1,30,1,3,4,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 18, 'profit': -7.2, 'roi_pct': -4.0}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 37, 'profit': -65.3, 'roi_pct': -17.65}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.2
market-bias-i2-draw-2.80-3.20-plus-sp1-home-v1,AVG_CLOSE,2025-02,2026-01,121,1210.0,140.4,11.6,120.8,52,4,2,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.20)', 'bets': 109, 'profit': 141.5, 'roi_pct': 12.98}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -1.1, 'roi_pct': -0.92}]",2,True,[],2.8,3.2
market-bias-i2-draw-2.80-3.30-plus-sp1-home-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.3
