candidate_id,band_low,band_high,odds_source,bets,profit,roi_pct,positive_months,negative_months
market-bias-i2-draw-2.90-3.60-plus-sp1-home-v1,2.9,3.6,AVG_CLOSE,178,-82.4,-4.63,3,5
market-bias-i2-draw-3.00-3.20-plus-sp1-home-v1,3.0,3.2,AVG_OPEN,302,386.2,12.79,12,8
market-bias-i2-draw-3.00-3.20-plus-sp1-home-v1,3.0,3.2,AVG_CLOSE,208,76.3,3.67,7,9
market-bias-i2-draw-3.00-3.30-plus-sp1-home-v1,3.0,3.3,AVG_OPEN,216,110.0,5.09,7,7
market-bias-i2-draw-3.00-3.30-plus-sp1-home-v1,3.0,3.3,AVG_CLOSE,92,6.5,0.71,3,4
market-bias-i2-draw-3.00-3.40-plus-sp1-home-v1,3.0,3.4,AVG_OPEN,276,180.2,6.53,8,8
market-bias-i2-draw-3.00-3.40-plus-sp1-home-v1,3.0,3.4,AVG_CLOSE,132,-49.3,-3.73,3,5
market-bias-i2-draw-3.00-3.50-plus-sp1-home-v1,3.0,3.5,AVG_OPEN,331,155.2,4.69,9,8
market-bias-i2-draw-3.00-3.50-plus-sp1-home-v1,3.0,3.5,AVG_CLOSE,138,-36.9,-2.67,3,5
market-bias-i2-draw-3.00-3.60-plus-sp1-home-v1,3.0,3.6,AVG_OPEN,341,55.2,1.62,9,8
market-bias-i2-draw-3.00-3.60-plus-sp1-home-v1,3.0,3.6,AVG_CLOSE,143,-86.9,-6.08,3,5
market-bias-i2-draw-3.10-3.30-plus-sp1-home-v1,3.1,3.3,AVG_OPEN,90,89.0,9.89,5,4
market-bias-i2-draw-3.10-3.30-plus-sp1-home-v1,3.1,3.3,AVG_CLOSE,58,11.6,2.0,4,3
market-bias-i2-draw-3.10-3.40-plus-sp1-home-v1,3.1,3.4,AVG_OPEN,119,22.1,1.86,6,5
market-bias-i2-draw-3.10-3.40-plus-sp1-home-v1,3.1,3.4,AVG_CLOSE,50,-66.2,-13.24,1,4
market-bias-i2-draw-3.10-3.50-plus-sp1-home-v1,3.1,3.5,AVG_OPEN,108,69.0,6.39,5,5
market-bias-i2-draw-3.10-3.50-plus-sp1-home-v1,3.1,3.5,AVG_CLOSE,52,-51.8,-9.96,2,3
market-bias-i2-draw-3.10-3.60-plus-sp1-home-v1,3.1,3.6,AVG_OPEN,110,49.0,4.45,5,5
market-bias-i2-draw-3.10-3.60-plus-sp1-home-v1,3.1,3.6,AVG_CLOSE,54,-71.8,-13.3,1,4
market-bias-i2-draw-3.20-3.40-plus-sp1-home-v1,3.2,3.4,AVG_OPEN,96,95.1,9.91,6,5
market-bias-i2-draw-3.20-3.40-plus-sp1-home-v1,3.2,3.4,AVG_CLOSE,34,-3.5,-1.03,1,3
market-bias-i2-draw-3.20-3.50-plus-sp1-home-v1,3.2,3.5,AVG_OPEN,124,84.9,6.85,6,7
market-bias-i2-draw-3.20-3.50-plus-sp1-home-v1,3.2,3.5,AVG_CLOSE,34,-3.5,-1.03,1,3
market-bias-i2-draw-3.20-3.60-plus-sp1-home-v1,3.2,3.6,AVG_OPEN,104,83.3,8.01,6,5
market-bias-i2-draw-3.20-3.60-plus-sp1-home-v1,3.2,3.6,AVG_CLOSE,34,-3.5,-1.03,1,3
