candidate_id,band_low,band_high,rules,window_count,passed_windows,pass_rate,active_window_count,active_passed_windows,active_pass_rate,min_active_windows,source_count,source_passes,source_pass_rate,total_bets,total_staked,total_profit,combined_roi_pct,worst_window_roi_pct,worst_source_roi_pct,source_summary,decision,combined_portfolio_profit,combined_portfolio_roi_pct
market-bias-i2-draw-3.00-3.40-plus-sp1-home-v1,3.0,3.4,"['league|outcome|custom_i2_draw_band=I2|draw|[3.00,3.40)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,10,0,0.0,12,2,0,0.0,636,6360.0,114.2,1.8,-18.42,-5.83,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -127.1, 'roi_pct': -5.83}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 241.3, 'roi_pct': 5.77}]",REJECT_UNSTABLE,130.9,3.21
market-bias-i2-draw-3.20-3.50-plus-sp1-home-v1,3.2,3.5,"['league|outcome|custom_i2_draw_band=I2|draw|[3.20,3.50)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,8,0,0.0,12,2,0,0.0,199,1990.0,29.4,1.48,-26.67,-9.67,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -46.4, 'roi_pct': -9.67}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 75.8, 'roi_pct': 5.02}]",REJECT_UNSTABLE,81.4,5.15
market-bias-i2-draw-2.80-3.60-plus-sp1-home-v1,2.8,3.6,"['league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.60)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,9,0,0.0,12,2,0,0.0,963,9630.0,126.6,1.31,-26.67,-0.18,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 137.8, 'roi_pct': 4.16}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -11.2, 'roi_pct': -0.18}]",REJECT_UNSTABLE,219.3,3.36
market-bias-i2-draw-3.20-3.40-plus-sp1-home-v1,3.2,3.4,"['league|outcome|custom_i2_draw_band=I2|draw|[3.20,3.40)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,8,0,0.0,12,2,0,0.0,166,1660.0,21.4,1.29,-26.67,-9.67,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -46.4, 'roi_pct': -9.67}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 67.8, 'roi_pct': 5.75}]",REJECT_UNSTABLE,91.6,7.05
market-bias-i2-draw-3.00-3.30-plus-sp1-home-v1,3.0,3.3,"['league|outcome|custom_i2_draw_band=I2|draw|[3.00,3.30)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,9,0,0.0,12,2,0,0.0,493,4930.0,18.8,0.38,-26.67,-1.61,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -26.4, 'roi_pct': -1.61}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 45.2, 'roi_pct': 1.37}]",REJECT_UNSTABLE,116.5,3.78
market-bias-i2-draw-3.20-3.60-plus-sp1-home-v1,3.2,3.6,"['league|outcome|custom_i2_draw_band=I2|draw|[3.20,3.60)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,8,0,0.0,12,2,0,0.0,182,1820.0,-2.2,-0.12,-26.67,-9.67,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -46.4, 'roi_pct': -9.67}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 44.2, 'roi_pct': 3.3}]",REJECT_UNSTABLE,79.8,5.78
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,2.9,3.4,"['league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.40)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,10,0,0.0,12,2,0,0.0,949,9490.0,-97.1,-1.02,-18.42,-7.78,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -312.1, 'roi_pct': -7.78}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 215.0, 'roi_pct': 3.92}]",REJECT_UNSTABLE,19.1,0.32
market-bias-i2-draw-2.90-3.60-plus-sp1-home-v1,2.9,3.6,"['league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.60)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,9,0,0.0,12,2,0,0.0,774,7740.0,-136.5,-1.76,-26.67,-5.76,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -153.3, 'roi_pct': -5.76}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 16.8, 'roi_pct': 0.33}]",REJECT_UNSTABLE,27.3,0.52
market-bias-i2-draw-3.00-3.60-plus-sp1-home-v1,3.0,3.6,"['league|outcome|custom_i2_draw_band=I2|draw|[3.00,3.60)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,9,0,0.0,12,2,0,0.0,726,7260.0,-229.1,-3.16,-26.67,-7.28,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -155.1, 'roi_pct': -7.28}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 5, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -74.0, 'roi_pct': -1.44}]",REJECT_UNSTABLE,-31.7,-0.65
market-bias-i2-draw-3.10-3.50-plus-sp1-home-v1,3.1,3.5,"['league|outcome|custom_i2_draw_band=I2|draw|[3.10,3.50)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,8,0,0.0,12,2,0,0.0,226,2260.0,-127.4,-5.64,-26.67,-17.02,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -143.0, 'roi_pct': -17.02}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': 15.6, 'roi_pct': 1.1}]",REJECT_UNSTABLE,17.2,1.08
market-bias-i2-draw-3.10-3.60-plus-sp1-home-v1,3.1,3.6,"['league|outcome|custom_i2_draw_band=I2|draw|[3.10,3.60)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,8,0,0.0,12,2,0,0.0,234,2340.0,-207.4,-8.86,-26.67,-20.8,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -183.0, 'roi_pct': -20.8}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -24.4, 'roi_pct': -1.67}]",REJECT_UNSTABLE,-22.8,-1.39
market-bias-i2-draw-3.10-3.40-plus-sp1-home-v1,3.1,3.4,"['league|outcome|custom_i2_draw_band=I2|draw|[3.10,3.40)', 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]']",12,0,0.0,8,0,0.0,12,2,0,0.0,244,2440.0,-250.0,-10.25,-26.67,-21.48,"[{'odds_source': 'AVG_CLOSE', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -171.8, 'roi_pct': -21.48}, {'odds_source': 'AVG_OPEN', 'windows': 6, 'active_windows': 4, 'passed_windows': 0, 'active_passed_windows': 0, 'profit': -78.2, 'roi_pct': -4.77}]",REJECT_UNSTABLE,-44.1,-2.61
