outcome,probability,raw_probability,market_probability,model_market_gap,anchored,anchor_max_deviation_before,anchor_max_deviation_after,odds,ev,date,league,home_team,away_team,source_file,lower_bound_ev,stake,actual_result,won,profit
away,0.24281361570737844,0.27893830857393087,0.2160033035799371,0.06293500499399377,True,0.05900019298761061,0.04189013702120353,4.33,0.05138295601294862,2025-04-04,SP2,Castellon,Albacete,SP2.csv,0.03775752743174898,20.0,draw,False,-20.0
away,0.22221709401371817,0.2559483460614293,0.1971830985915493,0.05876524746987999,True,0.039153002164348416,0.027798631536687372,4.75,0.055531196565161256,2025-04-05,SC0,Kilmarnock,Motherwell,SC0.csv,0.04157445029106466,20.0,home,False,-20.0
away,0.24845529091388616,0.27772791742533814,0.22673031026252982,0.05099760716280832,True,0.035638803719525936,0.025303550640863412,4.2,0.04351222183832193,2025-04-05,I1,Milan,Fiorentina,I1.csv,0.03280272433413223,20.0,draw,False,-20.0
away,0.24908373107167098,0.28664109196495563,0.22121014964216004,0.06543094232279559,True,0.06264804853773248,0.04448011446179006,4.2,0.046151670501018094,2025-04-05,E3,Carlisle,Newport County,E3.csv,0.03241117261323101,20.0,home,False,-20.0
away,0.2414292586808857,0.2701640445264696,0.22010344200803078,0.0500606025184388,True,0.03660580468578545,0.025990121326907666,4.33,0.045388690088234984,2025-04-06,F1,Rennes,Auxerre,F1.csv,0.03455056964299308,20.0,away,True,66.6
away,0.2218507947585951,0.2536499445803948,0.19825072886297374,0.05539921571742107,True,0.0441856629175551,0.03137182067146412,4.75,0.05379127510332671,2025-04-07,T1,Goztep,Gaziantep,T1.csv,0.040633961370439176,20.0,draw,False,-20.0
away,0.21219220122402954,0.24517894119664205,0.18771075309104535,0.0574681881055967,True,0.04327651095260632,0.030726322776350484,5.0,0.060961006120147765,2025-04-12,SC0,St Mirren,Ross County,SC0.csv,0.04659395909374853,20.0,home,False,-20.0
away,0.24114505587438906,0.27404449309115897,0.21672840037901628,0.05731609271214269,True,0.03784900827400245,0.02687279587454174,4.33,0.04415809193610465,2025-04-12,E1,Luton,Blackburn,E1.csv,0.03174915786392574,20.0,away,True,66.6
away,0.21020824552275652,0.23820848396827343,0.1894275807530872,0.048780903215186244,True,0.031193012409924337,0.02214703881104628,5.0,0.0510412276137826,2025-04-13,G1,Aris,Atromitos,G1.csv,0.038846001809985875,20.0,home,False,-20.0
away,0.20943065605346103,0.23623807310250328,0.18953525594389314,0.04670281715861013,True,0.0372884360445348,0.026474789591619707,5.0,0.04715328026730514,2025-04-16,E0,Newcastle,Crystal Palace,E0.csv,0.035477575977652664,20.0,home,False,-20.0
away,0.2161818123114877,0.2575856786987764,0.18590522478736332,0.07168045391141309,True,0.07211181389317689,0.05,5.0,0.08090906155743838,2025-04-18,E3,Milton Keynes Dons,Newport County,E3.csv,0.06298894807958533,20.0,draw,False,-20.0
away,0.23578807690819345,0.27415041527744943,0.2073170731707317,0.06683334210671774,True,0.04506525600728278,0.03199633176517078,4.5,0.06104634608687043,2025-04-18,E3,Grimsby,Swindon,E3.csv,0.04600884411285899,20.0,away,True,70.0
away,0.22204933534610288,0.2531252062933267,0.19898605830164767,0.054139147991679015,True,0.06227757486927299,0.04421707815718382,4.75,0.0547343428939886,2025-04-19,F1,Monaco,Strasbourg,F1.csv,0.04187629524596481,20.0,draw,False,-20.0
away,0.2545369990457673,0.29696005157275485,0.2230522945570971,0.07390775701565774,True,0.048267049232135095,0.034269604954815916,4.2,0.06905539599222288,2025-04-23,G1,Athens Kallithea,Levadeiakos,G1.csv,0.05353476701893478,20.0,away,True,64.0
away,0.21252670802732557,0.24365088421374068,0.1894275807530872,0.05422330346065349,True,0.03580503789651568,0.02542157690652613,5.0,0.06263354013662781,2025-04-25,I2,Salernitana,Cosenza,I2.csv,0.049077714271464457,20.0,home,False,-20.0
away,0.21045840260705756,0.2412380645131315,0.187614960147149,0.0536231043659825,True,0.03598652278461878,0.025550431177079332,5.0,0.05229201303528774,2025-04-26,E1,Blackburn,Watford,E1.csv,0.03888623694379212,20.0,home,False,-20.0
away,0.23302579945433594,0.28697088805072624,0.19403611927761447,0.09293476877311177,True,0.06145043355791635,0.04362980782612061,4.75,0.1068725474080956,2025-04-27,SP2,Zaragoza,Huesca,SP2.csv,0.08480053982448155,20.0,draw,False,-20.0
away,0.22026955137838114,0.24566100104138056,0.2014250260187335,0.04423597502264706,True,0.026541585013588248,0.018844525359647656,4.75,0.046280369047310366,2025-04-27,I1,Como,Genoa,I1.csv,0.03577432497943178,20.0,home,False,-20.0
