test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,minimum_lower_clv_staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2023-03,data\historical_csv\football-data\2223\SP2.csv:360,data\historical_csv\football-data\2223\SP2.csv,360,2023-03-26,SP2,Zaragoza,Albacete,home,0.4321031374306404,0.426226849821878,2.3524,2.38,0.2656041520985752,0.0038762876087624,5,0.0,WH,2.0-3.0,sportsbook,0.4250977724876722,1.0164794204918386,0.0058762876087624,0.0089707462709286,0.8554360836036637,0.1867131213774029,0.3696366155965227,0.2,1.1732698520659834,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,1.679771800069954,1.679771800069954,0.4322384449926456,lower_clv,True,1.3844494593004963,1.3844494593004963,0.4309830363003762,1.5321106296852252,0.2953223407694576,1.3844494593004963,0.4309830363003762,0.4309830363003762,0.25,0.16,model_agreement_0.625_kelly,draw,-7.080934054503851,False,0.3949968795506553,2.531665569453588,False,-0.16
2023-05,data\historical_csv\football-data\2223\E0.csv:365,data\historical_csv\football-data\2223\E0.csv,365,2023-05-20,E0,Nott'm Forest,Arsenal,away,0.6026502132493947,0.5987770058497258,1.686,1.7,0.9538031862637686,0.0018732073996689,5,0.0,IW,1.5-2.0,sportsbook,0.5931198102016607,1.0160682595384796,0.0038732073996688,0.0031082829782285,0.5223588595796637,0.3631872795295409,0.3147996781183949,0.2,0.8303677342823335,away:1.5-2.0,away:sportsbook,sportsbook:1.5-2.0,1.182288727150598,1.182288727150598,0.6001321988561721,lower_clv,True,1.6971436273890417,1.6971436273890417,0.6031859052632802,1.43971617726982,0.5148549002384437,1.182288727150598,0.6001321988561721,0.6001321988561721,0.25,0.27,model_agreement_0.625_kelly,home,-1.4492969489315222,False,0.5845237428888996,1.71079449238056,False,-0.27
2023-10,data\historical_csv\football-data\2324\G1.csv:52,data\historical_csv\football-data\2324\G1.csv,52,2023-10-21,G1,Aris,Panserraikos,home,0.6449912687659259,0.6333022337414895,1.6467999999999998,1.66,4.292211852548489,0.0096890350244364,5,0.0,BW,1.5-2.0,sportsbook,0.6072382803011902,1.062171621403727,0.0116890350244364,0.0150219630770733,0.4988340109136124,0.4160137367842789,0.3217435816027666,0.2,0.8015545299975724,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,3.233025096211125,1.0939521597099997,0.613881176583131,lower_clv,True,4.048800430568855,3.1583469406971654,0.6264169719498249,3.64091276338999,0.8157753343577303,1.0939521597099997,0.613881176583131,0.613881176583131,0.25,0.26,model_agreement_0.625_kelly,home,4.7069681464525726,True,0.6358207927280337,1.5727702073243466,True,0.17
2024-08,data\historical_csv\football-data\2425\E3.csv:11,data\historical_csv\football-data\2425\E3.csv,11,2024-08-10,E3,Salford,Port Vale,home,0.4168210661013611,0.4061229136785957,2.35926,2.46,-4.185045467463633,0.0086981524227653,6,0.05,BFE,2.0-3.0,exchange,0.4238617193526784,0.9833892684102972,0.0106981524227653,0.0208678330587307,0.8583480105454818,0.1737398011458752,0.35777753284155,0.1666666666666666,4.269982960758889,home:2.0-3.0,home:exchange,exchange:2.0-3.0,6.292974562679458,6.292974562679458,0.4505352295324782,lower_clv,True,1.520442690210877,1.520442690210877,0.4303062938811783,3.906708626445168,4.772531872468581,1.520442690210877,0.4303062938811783,0.4303062938811783,0.25,0.17,model_agreement_0.625_kelly,away,-15.962551294663829,False,0.3562025749825631,2.807391271803558,False,-0.17
2024-08,data\historical_csv\football-data\2425\E2.csv:29,data\historical_csv\football-data\2425\E2.csv,29,2024-08-24,E2,Cambridge,Blackpool,away,0.4821309882955482,0.4761427440004612,2.04272,2.12,-2.737369397537792,0.0039882442950869,6,0.05,BFE,2.0-3.0,exchange,0.4895433539594266,0.9848586124110822,0.0059882442950869,0.008272117727148,0.7142822530899037,0.232450289874842,0.3443776086042061,0.1666666666666666,3.783191039398459,away:2.0-3.0,away:exchange,exchange:2.0-3.0,6.065356826033568,6.065356826033568,0.5192359051951984,lower_clv,True,1.0408465450155502,1.0408465450155502,0.4946387490454665,3.553101685524559,5.024510281018018,1.0408465450155502,0.4946387490454665,0.4946387490454665,0.25,0.16,model_agreement_0.625_kelly,draw,-9.789278461028683,False,0.441620591852879,2.2643871650195577,False,-0.16
