league,bets,winning_bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,candidate_count,decision
P1,47,44,9.09,19.34,1.0,21,18,3,79,RESEARCH_WATCH
I1,119,86,5.32,4.47,4.02,38,21,17,209,RESEARCH_WATCH
SP1,94,68,2.66,2.83,3.59,32,17,15,203,RESEARCH_WATCH
F2,2,1,0.8,40.0,1.0,2,1,1,19,TOO_FEW_BETS
I2,21,9,5.63,26.81,3.0,12,5,7,63,REJECT_MONTH_BALANCE
B1,9,7,1.51,16.78,2.0,8,6,2,38,TOO_FEW_BETS
SP2,20,9,1.76,8.8,5.29,12,7,5,199,REJECT_DRAWDOWN
E1,33,23,0.36,1.09,4.16,5,2,3,246,REJECT_MONTH_BALANCE
G1,26,20,-0.03,-0.12,2.0,15,9,6,56,REJECT_NEGATIVE
E3,67,41,-1.69,-2.52,12.37,19,9,10,154,REJECT_NEGATIVE
F1,20,12,-2.08,-10.4,4.34,8,5,3,153,REJECT_NEGATIVE
T1,16,10,-1.7,-10.62,3.8,13,8,5,67,TOO_FEW_BETS
E0,45,28,-5.9,-13.11,7.17,10,4,6,250,REJECT_NEGATIVE
SC0,11,7,-1.62,-14.73,3.1,8,4,4,38,TOO_FEW_BETS
N1,9,6,-1.64,-18.22,2.0,1,0,1,141,TOO_FEW_BETS
E2,26,9,-7.48,-28.77,7.48,15,3,12,208,REJECT_NEGATIVE
D1,11,5,-3.81,-34.64,4.17,3,0,3,126,TOO_FEW_BETS
D2,3,0,-3.0,-100.0,3.0,2,0,2,24,TOO_FEW_BETS
