label,stop_after_losing_settlement_days,cooldown_days,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
stop3_cool14,3,14,218,549.1,25.19,127.0,23,17,6,5,6,5,0.8333
stop2_cool3,2,3,284,480.2,16.91,106.0,25,15,6,5,6,5,0.8333
stop4_cool3,4,3,317,460.9,14.54,116.3,22,18,6,3,6,3,0.5
stop3_cool7,3,7,268,376.0,14.03,124.1,23,17,6,3,6,3,0.5
stop2_cool0,2,0,335,439.9,13.13,115.8,21,19,6,3,6,3,0.5
stop3_cool0,3,0,335,439.9,13.13,115.8,21,19,6,3,6,3,0.5
stop4_cool0,4,0,335,439.9,13.13,115.8,21,19,6,3,6,3,0.5
stop999_cool0,999,0,335,439.9,13.13,115.8,21,19,6,3,6,3,0.5
stop2_cool14,2,14,159,195.9,12.32,122.2,21,19,6,3,6,3,0.5
stop4_cool14,4,14,262,322.0,12.29,127.3,22,18,6,3,6,3,0.5
stop4_cool7,4,7,294,346.7,11.79,124.9,22,18,6,3,6,3,0.5
stop3_cool3,3,3,302,278.0,9.21,141.7,20,20,6,3,6,3,0.5
stop2_cool7,2,7,208,43.4,2.09,159.3,19,21,6,1,6,1,0.1667
