window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2022-08,2023-07,47,470.0,-0.4,-0.09,127.0,3,7,False
2023-02,2024-01,53,530.0,124.8,23.55,64.3,6,4,True
2023-08,2024-07,55,550.0,111.4,20.25,74.3,6,4,True
2024-02,2025-01,56,560.0,201.6,36.0,57.1,6,4,True
2024-08,2025-07,57,570.0,212.7,37.32,57.1,6,4,True
2025-02,2026-01,62,620.0,278.9,44.98,47.6,8,2,True
