bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2022-12-17,2022-12-18,I2,Reggina,Bari,draw,draw,3.19,10.0,True,21.9,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-12,2022-23
2022-12-18,2022-12-19,I2,Ternana,Como,draw,away,3.36,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-12,2022-23
2022-12-19,2022-12-20,I2,Perugia,Venezia,draw,home,3.01,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-12,2022-23
2022-12-26,2022-12-27,I2,Ascoli,Reggina,draw,away,2.96,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-12,2022-23
2023-01-14,2023-01-15,I2,Perugia,Palermo,draw,draw,3.15,10.0,True,21.5,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-01,2022-23
2023-01-15,2023-01-16,I2,Ternana,Ascoli,draw,home,3.29,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-01,2022-23
2023-01-20,2023-01-21,I2,Palermo,Bari,draw,home,3.01,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-01,2022-23
2023-01-21,2023-01-22,I2,Venezia,Sudtirol,draw,away,3.2,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-01,2022-23
2023-01-22,2023-01-23,I2,Brescia,Frosinone,draw,away,2.98,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-01,2022-23
2023-01-28,2023-01-29,I2,Genoa,Pisa,draw,draw,3.42,10.0,True,24.2,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-01,2022-23
2023-02-03,2023-02-04,I2,Modena,Cagliari,draw,home,3.08,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-02-04,2023-02-05,I2,Spal,Bari,draw,away,3.1,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-02-05,2023-02-06,I2,Palermo,Reggina,draw,home,3.05,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-02-11,2023-02-12,I2,Reggina,Pisa,draw,away,3.12,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-02-18,2023-02-19,I2,Spal,Como,draw,draw,3.18,10.0,True,21.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-02-19,2023-02-20,I2,Modena,Genoa,draw,draw,3.08,10.0,True,20.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-02-25,2023-02-26,I2,Venezia,Cagliari,draw,draw,3.22,10.0,True,22.2,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-02-28,2023-03-01,I2,Cosenza,Reggina,draw,home,3.19,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-02,2022-23
2023-03-01,2023-03-02,I2,Cagliari,Genoa,draw,draw,3.08,10.0,True,20.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-03,2022-23
2023-03-05,2023-03-06,I2,Ternana,Benevento,draw,draw,3.19,10.0,True,21.9,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-03,2022-23
2023-03-10,2023-03-11,I2,Cagliari,Ascoli,draw,home,3.08,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-03,2022-23
2023-03-11,2023-03-12,I2,Cittadella,Palermo,draw,draw,2.97,10.0,True,19.7,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-03,2022-23
2023-03-12,2023-03-13,I2,Cosenza,Spal,draw,home,3.1,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-03,2022-23
2023-03-17,2023-03-18,I2,Palermo,Modena,draw,home,3.13,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-03,2022-23
2023-03-18,2023-03-19,I2,Cittadella,Perugia,draw,away,2.93,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-03,2022-23
2023-04-01,2023-04-02,I2,Perugia,Frosinone,draw,draw,3.01,10.0,True,20.1,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-02,2023-04-03,I2,Modena,Cittadella,draw,draw,3.16,10.0,True,21.6,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-10,2023-04-11,I2,Perugia,Modena,draw,away,3.2,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-14,2023-04-15,I2,Modena,Parma,draw,draw,3.02,10.0,True,20.2,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-15,2023-04-16,I2,Venezia,Palermo,draw,home,3.15,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-16,2023-04-17,I2,Ternana,Pisa,draw,home,3.18,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-21,2023-04-22,I2,Reggina,Brescia,draw,away,3.21,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-22,2023-04-23,I2,Modena,Spal,draw,draw,3.39,10.0,True,23.9,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-23,2023-04-24,I2,Ternana,Venezia,draw,away,3.22,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-04-30,2023-05-01,I2,Spal,Perugia,draw,draw,3.08,10.0,True,20.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-04,2022-23
2023-05-01,2023-05-02,I2,Como,Palermo,draw,draw,3.28,10.0,True,22.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-05,2022-23
2023-05-05,2023-05-06,I2,Perugia,Cagliari,draw,away,3.07,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-05,2022-23
2023-05-06,2023-05-07,I2,Ternana,Sudtirol,draw,away,3.31,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-05,2022-23
2023-05-13,2023-05-14,I2,Ascoli,Cosenza,draw,draw,3.29,10.0,True,22.9,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-05,2022-23
2023-05-19,2023-05-20,I2,Cittadella,Como,draw,draw,3.41,10.0,True,24.1,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-05,2022-23
2023-08-18,2023-08-19,I2,Bari,Palermo,draw,draw,3.07,10.0,True,20.7,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-08-19,2023-08-20,I2,Cosenza,Ascoli,draw,home,2.96,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-08-20,2023-08-21,I2,Sudtirol,Spezia,draw,draw,3.03,10.0,True,20.3,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-08-25,2023-08-26,I2,Sampdoria,Pisa,draw,away,3.28,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-08-26,2023-08-27,I2,Como,Reggiana,draw,draw,3.28,10.0,True,22.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-08-27,2023-08-28,I2,Catanzaro,Ternana,draw,home,3.24,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-08-29,2023-08-30,I2,Reggiana,Palermo,draw,away,3.2,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-08-30,2023-08-31,I2,Bari,Cittadella,draw,draw,3.08,10.0,True,20.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-08,2023-24
2023-09-02,2023-09-03,I2,Modena,Pisa,draw,home,2.99,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-16,2023-09-17,I2,Pisa,Bari,draw,draw,3.18,10.0,True,21.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-17,2023-09-18,I2,Catanzaro,Parma,draw,away,3.25,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-18,2023-09-19,I2,Sampdoria,Cittadella,draw,away,3.22,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-23,2023-09-24,I2,Spezia,Reggiana,draw,away,3.43,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-24,2023-09-25,I2,Cittadella,Como,draw,away,3.29,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-26,2023-09-27,I2,Cosenza,Cremonese,draw,away,3.13,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-27,2023-09-28,I2,Catanzaro,Cittadella,draw,draw,3.15,10.0,True,21.5,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-09-30,2023-10-01,I2,Pisa,Cosenza,draw,away,3.48,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-09,2023-24
2023-10-01,2023-10-02,I2,Sampdoria,Catanzaro,draw,away,3.38,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-06,2023-10-07,I2,Brescia,FeralpiSalo,draw,draw,3.22,10.0,True,22.2,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-07,2023-10-08,I2,Cittadella,Ternana,draw,draw,3.22,10.0,True,22.2,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-08,2023-10-09,I2,Spezia,Pisa,draw,draw,3.31,10.0,True,23.1,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-21,2023-10-22,I2,Pisa,Cittadella,draw,home,3.1,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-23,2023-10-24,I2,Palermo,Spezia,draw,draw,3.34,10.0,True,23.4,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-24,2023-10-25,I2,Brescia,Modena,draw,away,3.05,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-27,2023-10-28,I2,Cittadella,Cremonese,draw,away,3.25,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-28,2023-10-29,I2,Sudtirol,Sampdoria,draw,home,3.22,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-10-29,2023-10-30,I2,Brescia,Bari,draw,away,3.04,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-10,2023-24
2023-11-04,2023-11-05,I2,Bari,Ascoli,draw,home,3.18,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-11-05,2023-11-06,I2,Cremonese,Spezia,draw,home,3.38,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-11-08,2023-11-09,I2,Lecco,Spezia,draw,draw,3.43,10.0,True,24.3,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-11-10,2023-11-11,I2,Venezia,Catanzaro,draw,home,3.36,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-11-11,2023-11-12,I2,Modena,Sampdoria,draw,away,3.17,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-11-25,2023-11-26,I2,Bari,Venezia,draw,away,3.09,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-11-26,2023-11-27,I2,Catanzaro,Cosenza,draw,home,3.44,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-11-28,2023-11-29,I2,Sudtirol,Brescia,draw,draw,2.94,10.0,True,19.4,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-11,2023-24
2023-12-01,2023-12-02,I2,Palermo,Catanzaro,draw,away,3.47,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-02,2023-12-03,I2,Cosenza,Ternana,draw,away,3.32,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-03,2023-12-04,I2,Lecco,Bari,draw,home,3.24,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-09,2023-12-10,I2,Bari,Sudtirol,draw,home,3.15,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-10,2023-12-11,I2,Como,Modena,draw,home,3.19,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-15,2023-12-16,I2,Spezia,Bari,draw,home,3.05,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-16,2023-12-17,I2,Palermo,Pisa,draw,home,3.39,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-17,2023-12-18,I2,Lecco,Ternana,draw,away,3.27,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-23,2023-12-24,I2,Bari,Cosenza,draw,draw,3.1,10.0,True,21.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2023-12-26,2023-12-27,I2,Lecco,Sudtirol,draw,home,3.08,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2023-12,2023-24
2024-01-12,2024-01-13,I2,Catanzaro,Lecco,draw,home,3.45,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-01,2023-24
2024-01-13,2024-01-14,I2,Como,Spezia,draw,home,3.35,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-01,2023-24
2024-01-14,2024-01-15,I2,Venezia,Sampdoria,draw,home,3.27,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-01,2023-24
2024-01-20,2024-01-21,I2,FeralpiSalo,Catanzaro,draw,home,3.13,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-01,2023-24
2024-01-21,2024-01-22,I2,Ascoli,Bari,draw,draw,2.87,10.0,True,18.7,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-01,2023-24
2024-01-27,2024-01-28,I2,Sudtirol,Cosenza,draw,away,2.97,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-01,2023-24
2024-02-03,2024-02-04,I2,Cosenza,Pisa,draw,draw,2.96,10.0,True,19.6,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-09,2024-02-10,I2,Como,Brescia,draw,home,3.36,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-10,2024-02-11,I2,Sudtirol,Venezia,draw,away,3.1,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-11,2024-02-12,I2,Ternana,Spezia,draw,draw,3.24,10.0,True,22.4,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
