month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev
2022-08,INVEST,,108.0,6.0,4.0,0.0655
2022-09,INVEST,,114.0,11.0,5.0,0.0726
2022-10,INVEST,,125.0,16.0,8.0,0.0849
2022-11,INVEST,,141.0,4.0,2.0,0.0745
2022-12,ABSTAIN,no_positive_feature_edge,145.0,2.0,0.0,0.0
2023-01,INVEST,,147.0,7.0,6.0,0.071
2023-02,INVEST,,154.0,12.0,4.0,0.0768
2023-03,INVEST,,157.0,9.0,4.0,0.0636
2023-04,INVEST,,152.0,20.0,6.0,0.0679
2023-05,INVEST,,159.0,15.0,7.0,0.0588
2023-06,INVEST,,164.0,2.0,1.0,0.0832
2023-07,ABSTAIN,no_candidates,,,,
2023-08,INVEST,,149.0,5.0,1.0,0.0396
2023-09,INVEST,,142.0,15.0,6.0,0.0703
2023-10,INVEST,,150.0,11.0,8.0,0.051
2023-11,INVEST,,147.0,10.0,7.0,0.0663
2023-12,INVEST,,145.0,14.0,9.0,0.0817
2024-01,INVEST,,159.0,11.0,7.0,0.0622
2024-02,INVEST,,170.0,11.0,9.0,0.0745
2024-03,INVEST,,175.0,9.0,4.0,0.0771
2024-04,INVEST,,173.0,6.0,4.0,0.0676
2024-05,INVEST,,163.0,19.0,11.0,0.0745
2024-06,ABSTAIN,no_candidates,,,,
2024-07,ABSTAIN,no_candidates,,,,
2024-08,INVEST,,169.0,10.0,6.0,0.0652
2024-09,INVEST,,167.0,12.0,7.0,0.0611
2024-10,INVEST,,170.0,6.0,4.0,0.0797
2024-11,INVEST,,156.0,10.0,4.0,0.0845
2024-12,INVEST,,151.0,10.0,4.0,0.0528
2025-01,INVEST,,159.0,5.0,3.0,0.0593
2025-02,INVEST,,164.0,13.0,7.0,0.0591
2025-03,INVEST,,172.0,12.0,6.0,0.0654
2025-04,INVEST,,169.0,14.0,7.0,0.0598
2025-05,INVEST,,172.0,15.0,5.0,0.07
2025-06,ABSTAIN,no_candidates,,,,
2025-07,ABSTAIN,no_candidates,,,,
2025-08,INVEST,,152.0,7.0,2.0,0.0415
2025-09,INVEST,,148.0,9.0,1.0,0.0795
2025-10,INVEST,,148.0,5.0,1.0,0.0421
2025-11,INVEST,,147.0,12.0,5.0,0.0464
2025-12,INVEST,,140.0,7.0,5.0,0.0311
2026-01,INVEST,,147.0,6.0,4.0,0.0387
2026-02,INVEST,,153.0,13.0,9.0,0.0628
2026-03,INVEST,,156.0,7.0,6.0,0.0542
2026-04,INVEST,,151.0,5.0,5.0,0.0483
2026-05,INVEST,,150.0,10.0,7.0,0.0585
