date,candidate_id,league,home_team,away_team,outcome,direction_zh,odds,stake,actual_outcome,won,profit,horizon_role,decision_frozen_before_result,closing_probability,closing_edge_pct,positive_clv
2026-05-09,data\historical_csv\football-data\2526\T1.csv:297,T1,Kocaelispor,Karagumruk,away,客胜,4.038,0.35,away,True,1.06,18m9m_satellite,True,0.264474593767361,6.7948409632603735,True
2026-05-10,data\historical_csv\football-data\2526\G1.csv:218,G1,Volos NFC,Levadeiakos,home,主胜,2.813,1.81,away,False,-1.81,9m3m_core,True,0.2930475678648516,-17.565719159617245,False
2026-05-17,data\historical_csv\football-data\2526\T1.csv:306,T1,Kasimpasa,Galatasaray,home,主胜,4.038,0.35,home,True,1.06,18m9m_satellite,True,0.3088814288058807,24.726320951814664,True
2026-05-17,data\historical_csv\football-data\2526\T1.csv:307,T1,Trabzonspor,Genclerbirligi,away,客胜,2.4210000000000003,6.32,away,True,8.98,9m3m_core,True,0.3864233771816443,-6.446900384323895,False
