date,opening_equity,positions,staked,unused_daily_budget,settled_profit,ending_equity,drawdown
2026-05-01,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-02,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-03,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-04,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-05,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-06,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-07,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-08,0.0,0,0.0,100.0,0.0,0.0,0.0
2026-05-09,0.0,1,0.35,99.65,1.06,1.06,0.0
2026-05-10,1.06,1,1.81,98.19,-1.81,-0.75,1.81
2026-05-11,-0.75,0,0.0,100.0,0.0,-0.75,1.81
2026-05-12,-0.75,0,0.0,100.0,0.0,-0.75,1.81
2026-05-13,-0.75,0,0.0,100.0,0.0,-0.75,1.81
2026-05-14,-0.75,0,0.0,100.0,0.0,-0.75,1.81
2026-05-15,-0.75,0,0.0,100.0,0.0,-0.75,1.81
2026-05-16,-0.75,0,0.0,100.0,0.0,-0.75,1.81
2026-05-17,-0.75,2,6.67,93.33,10.04,9.29,0.0
2026-05-18,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-19,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-20,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-21,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-22,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-23,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-24,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-25,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-26,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-27,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-28,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-29,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-30,9.29,0,0.0,100.0,0.0,9.29,0.0
2026-05-31,9.29,0,0.0,100.0,0.0,9.29,0.0
