validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2021-01,2021-12,"AVG_CLOSE::league|odds_bucket=ARG|[1.8,2.2)",AVG_CLOSE,"league|odds_bucket=ARG|[1.8,2.2)",413,22.89,5.54,35,19,16,2020-12,1.12,11.5978
2021-07,2022-06,"PS_CLOSE::league|odds_bucket=AUT|[2.2,2.8)",PS_CLOSE,"league|odds_bucket=AUT|[2.2,2.8)",263,5.57,2.12,39,24,15,2021-05,6.55,20.139
2021-07,2022-06,"PS_CLOSE::league|market_prob_bucket=ROU|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=ROU|[0.42,0.55)",389,9.88,2.54,43,23,20,2021-05,8.13,8.5652
2021-07,2022-06,"PS_CLOSE::league|market_prob_bucket=DNK|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=DNK|[0.42,0.55)",409,13.28,3.25,38,20,18,2021-05,5.49,7.2794
2022-01,2022-12,"PS_CLOSE::league|odds_bucket=RUS|[5.0,7.0)",PS_CLOSE,"league|odds_bucket=RUS|[5.0,7.0)",248,52.32,21.1,38,23,15,2021-12,2.26,37.3077
2022-01,2022-12,"PS_CLOSE::league|odds_bucket=SWZ|[2.8,3.5)",PS_CLOSE,"league|odds_bucket=SWZ|[2.8,3.5)",360,56.79,15.77,41,24,17,2021-12,1.39,29.9327
2022-01,2022-12,"PS_CLOSE::league|market_prob_bucket=USA|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=USA|[0.42,0.55)",713,32.85,4.61,35,21,14,2021-12,0.09,18.6534
2022-07,2023-06,"PS_CLOSE::league|odds_bucket=SWZ|[2.8,3.5)",PS_CLOSE,"league|odds_bucket=SWZ|[2.8,3.5)",363,39.73,10.94,42,23,19,2022-05,1.96,19.0544
2022-07,2023-06,"PS_CLOSE::league|market_prob_bucket=SWE|[0.28,0.34)",PS_CLOSE,"league|market_prob_bucket=SWE|[0.28,0.34)",540,32.47,6.01,32,19,13,2022-06,2.29,18.0731
2022-07,2023-06,"PS_CLOSE::league|odds_bucket=ARG|[5.0,7.0)",PS_CLOSE,"league|odds_bucket=ARG|[5.0,7.0)",267,42.16,15.79,37,19,18,2022-06,11.73,17.9482
2023-01,2023-12,PS_CLOSE::league|outcome=IRL|home,PS_CLOSE,league|outcome=IRL|home,638,29.32,4.6,36,24,12,2022-11,1.65,28.6416
2023-01,2023-12,"PS_CLOSE::league|odds_bucket=ARG|[5.0,7.0)",PS_CLOSE,"league|odds_bucket=ARG|[5.0,7.0)",278,44.43,15.98,36,21,15,2022-10,0.12,28.1418
2023-01,2023-12,"PS_CLOSE::league|odds_bucket=BRA|[2.2,2.8)",PS_CLOSE,"league|odds_bucket=BRA|[2.2,2.8)",533,24.53,4.6,32,20,12,2022-11,4.53,20.6483
2023-07,2024-06,PS_CLOSE::league|outcome=AUT|draw,PS_CLOSE,league|outcome=AUT|draw,782,81.71,10.45,39,26,13,2023-06,3.0,36.5533
2023-07,2024-06,"PS_CLOSE::league|market_prob_bucket=ROU|[0.55,1.00]",PS_CLOSE,"league|market_prob_bucket=ROU|[0.55,1.00]",369,18.92,5.13,44,28,16,2023-06,0.76,29.1786
2023-07,2024-06,"PS_CLOSE::league|odds_bucket=FIN|[1.8,2.2)",PS_CLOSE,"league|odds_bucket=FIN|[1.8,2.2)",196,14.45,7.37,27,18,9,2023-06,1.75,25.4462
2024-01,2024-12,PS_CLOSE::league|outcome=AUT|draw,PS_CLOSE,league|outcome=AUT|draw,776,79.37,10.23,39,27,12,2023-12,2.32,40.3304
2024-01,2024-12,"AVG_CLOSE::league|market_prob_bucket=FIN|[0.55,1.00]",AVG_CLOSE,"league|market_prob_bucket=FIN|[0.55,1.00]",190,13.85,7.29,25,18,7,2023-10,1.3,29.3624
2024-01,2024-12,PS_CLOSE::league|outcome=SWZ|draw,PS_CLOSE,league|outcome=SWZ|draw,743,85.17,11.46,42,24,18,2023-12,2.89,23.5776
2024-07,2025-06,"PS_CLOSE::league|market_prob_bucket=FIN|[0.42,0.55)",PS_CLOSE,"league|market_prob_bucket=FIN|[0.42,0.55)",304,24.42,8.03,30,21,9,2024-06,0.12,32.1132
2024-07,2025-06,"PS_CLOSE::league|odds_bucket=BRA|[7.0,inf)",PS_CLOSE,"league|odds_bucket=BRA|[7.0,inf)",226,57.48,25.43,34,18,16,2024-06,3.52,29.688
2024-07,2025-06,"PS_CLOSE::league|market_prob_bucket=ROU|[0.55,1.00]",PS_CLOSE,"league|market_prob_bucket=ROU|[0.55,1.00]",362,18.04,4.98,46,28,18,2024-05,1.6,25.0333
2025-01,2025-12,"PS_CLOSE::league|odds_bucket=FIN|[1.8,2.2)",PS_CLOSE,"league|odds_bucket=FIN|[1.8,2.2)",211,24.56,11.64,29,19,10,2024-10,1.05,29.7562
2025-01,2025-12,"PS_CLOSE::league|market_prob_bucket=ROU|[0.55,1.00]",PS_CLOSE,"league|market_prob_bucket=ROU|[0.55,1.00]",348,17.46,5.02,46,29,17,2024-12,0.62,29.0674
2025-01,2025-12,"PS_CLOSE::league|odds_bucket=FIN|[2.2,2.8)",PS_CLOSE,"league|odds_bucket=FIN|[2.2,2.8)",262,15.53,5.93,29,16,13,2024-10,2.53,11.9868
