league,bets,winning_bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,candidate_count,decision
P1,65,50,9.46,14.55,3.19,25,18,7,110,RESEARCH_WATCH
I2,54,23,5.29,9.8,6.89,16,7,9,120,REJECT_MONTH_BALANCE
SP2,14,6,0.75,5.36,3.3,11,5,6,307,TOO_FEW_BETS
SP1,84,45,2.99,3.56,7.11,27,11,16,284,REJECT_MONTH_BALANCE
G1,53,40,0.56,1.06,3.0,21,15,6,100,REJECT_DRAWDOWN
F2,0,0,0.0,0.0,0.0,0,0,0,51,TOO_FEW_BETS
SC0,19,14,-0.7,-3.68,2.57,12,7,5,53,TOO_FEW_BETS
F1,76,48,-3.81,-5.01,7.33,29,15,14,191,REJECT_NEGATIVE
I1,141,86,-11.11,-7.88,14.21,35,15,20,291,REJECT_NEGATIVE
D2,19,11,-1.61,-8.47,3.0,12,6,6,68,TOO_FEW_BETS
E0,108,68,-10.22,-9.46,16.48,27,11,16,326,REJECT_NEGATIVE
E3,90,37,-8.94,-9.93,21.59,24,10,14,297,REJECT_NEGATIVE
T1,23,14,-2.41,-10.48,3.7,13,7,6,132,REJECT_NEGATIVE
D1,41,27,-4.41,-10.76,6.65,13,4,9,163,REJECT_NEGATIVE
E2,88,43,-19.83,-22.53,21.94,19,4,15,372,REJECT_NEGATIVE
B1,5,2,-2.33,-46.6,2.5,3,1,2,72,TOO_FEW_BETS
N1,2,0,-2.0,-100.0,2.0,2,0,2,180,TOO_FEW_BETS
E1,4,0,-4.0,-100.0,4.0,3,0,3,396,TOO_FEW_BETS
