label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
2017-18,75,32,0.4267,0.321,2.5331,0.4084,0.0183,-0.0874,750.0,19.4,2.59,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
2021-22,48,15,0.3125,0.1995,3.4158,0.3022,0.0103,-0.1027,480.0,41.1,8.56,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2024-25,41,9,0.2195,0.12,2.8995,0.3615,-0.142,-0.2415,410.0,-156.0,-38.05,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
2016-17,37,19,0.5135,0.3589,2.4968,0.4165,0.097,-0.0576,370.0,82.8,22.38,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2023-24,35,9,0.2571,0.1416,4.3051,0.2397,0.0175,-0.098,350.0,8.0,2.29,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2025-26,32,16,0.5,0.3363,2.1241,0.4781,0.0219,-0.1418,320.0,18.7,5.84,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2020-21,28,10,0.3571,0.2071,3.8679,0.2861,0.071,-0.0791,280.0,91.4,32.64,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2022-23,14,6,0.4286,0.2138,3.7286,0.2843,0.1443,-0.0705,140.0,57.2,40.86,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2019-20,4,2,0.5,0.15,1.685,0.6904,-0.1904,-0.5404,40.0,-15.2,-38.0,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
2018-19,1,1,1.0,0.2065,1.3,0.7692,0.2308,-0.5627,10.0,3.0,30.0,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
