month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,4,0,0,0.0,0.0,0.0,3100.0,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,337,0,0,0.0,0.0,0.0,3000.0,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,759,0,0,0.0,0.0,0.0,3100.0,,,,,,,
2024-11,2024-05-01..2024-10-31,FROZEN_MODEL_EVALUATED,1162,23,9,3.19,0.67,21.0,3000.0,394.0,10.0,0.0,8.4328,2.1404,0.6522,"{'draw': 14, 'away': 6, 'home': 3}"
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2007,6,6,0.81,-0.19,-23.46,3100.0,432.0,10.0,0.25,8.1939,12.7505,0.8333,"{'draw': 4, 'away': 2}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2435,8,6,1.14,1.99,174.56,2800.0,463.0,10.0,0.25,8.1442,4.8013,0.875,"{'away': 1, 'draw': 5, 'home': 2}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2565,14,11,1.79,-1.35,-75.42,3100.0,438.0,100.0,0.0,7.6169,4.4391,0.8571,"{'draw': 9, 'away': 5}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,2581,6,6,0.78,-0.47,-60.26,3000.0,443.0,1.0,0.25,7.4382,5.9368,0.8333,{'draw': 6}
2025-05,2024-11-01..2025-04-30,FROZEN_MODEL_EVALUATED,2621,25,11,5.58,0.51,9.14,3100.0,314.0,10.0,0.0,7.333,5.2114,0.52,"{'draw': 15, 'away': 6, 'home': 4}"
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1666,0,0,0.0,0.0,0.0,3100.0,,,,,,,
2025-09,2025-03-01..2025-08-31,FROZEN_MODEL_EVALUATED,1617,4,4,0.58,0.59,101.72,3000.0,414.0,1.0,0.25,8.9367,12.0626,1.0,"{'away': 2, 'home': 1, 'draw': 1}"
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1593,16,10,2.83,0.47,16.61,3100.0,416.0,100.0,0.0,8.8084,3.2726,0.5625,"{'away': 10, 'home': 4, 'draw': 2}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1566,9,6,2.11,0.49,23.22,3000.0,441.0,100.0,0.25,8.2248,12.3283,0.7778,"{'away': 6, 'home': 2, 'draw': 1}"
2026-01,2025-07-01..2025-12-31,FROZEN_MODEL_EVALUATED,2093,5,5,0.69,-0.3,-43.48,3100.0,431.0,1.0,0.5,8.1422,9.3722,1.0,"{'draw': 1, 'away': 4}"
2026-02,2025-08-01..2026-01-31,FROZEN_MODEL_EVALUATED,2520,0,0,0.0,0.0,0.0,2800.0,391.0,100.0,0.5,8.1841,,,{}
2026-03,2025-09-01..2026-02-28,FROZEN_MODEL_EVALUATED,2497,10,6,1.26,0.6,47.62,3100.0,350.0,1.0,0.25,8.0343,2.1468,0.6,"{'home': 2, 'away': 8}"
