month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,7,6,2.4,0.85,35.42,3100.0,507.0,10.0,0.25,5.0,0.0204,0.192227,0.192227,0.0,5.5626,0.7143,"{'home': 4, 'draw': 2, 'away': 1}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,2429,4,4,1.23,0.85,69.11,3100.0,451.0,1.0,0.25,5.0,0.0204,0.191414,0.191414,0.0,12.9222,0.75,"{'away': 2, 'home': 2}"
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,2880,22,11,7.92,2.48,31.31,2800.0,645.0,100.0,0.0,5.0,0.0218,0.191923,0.191923,0.0,2.2866,0.6818,"{'draw': 7, 'home': 9, 'away': 6}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,3525,16,9,4.96,-1.65,-33.27,3100.0,489.0,100.0,0.25,5.0,0.0221,0.186171,0.186171,0.0,6.91,0.75,"{'home': 11, 'away': 4, 'draw': 1}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,4014,10,6,5.42,3.49,64.39,3000.0,677.0,1.0,0.25,5.0,0.0225,0.187266,0.187266,0.0,7.4629,0.8,"{'home': 6, 'away': 4}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,4654,5,3,2.88,-0.73,-25.35,3100.0,345.0,10.0,0.5,5.0,0.023,0.186154,0.186154,0.0,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,3630,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,3747,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
