columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
odds_bucket|market_prob_bucket,"[1.0,1.8)|[0.42,0.55)",228,25.07,11.0,116,66,50,2026-05,-1.0,33.2095
league|odds_bucket|market_prob_bucket,"SWZ|[1.0,1.8)|[0.42,0.55)",228,25.07,11.0,116,66,50,2026-05,-1.0,33.2095
odds_bucket|market_prob_bucket|favorite_relation,"[1.0,1.8)|[0.42,0.55)|market_favorite",228,25.07,11.0,116,66,50,2026-05,-1.0,33.2095
outcome|market_prob_bucket,"away|[0.42,0.55)",405,14.37,3.55,138,76,61,2026-05,2.14,30.3903
league|outcome|market_prob_bucket,"SWZ|away|[0.42,0.55)",405,14.37,3.55,138,76,61,2026-05,2.14,30.3903
outcome|market_prob_bucket|favorite_relation,"away|[0.42,0.55)|market_favorite",405,14.37,3.55,138,76,61,2026-05,2.14,30.3903
outcome|odds_bucket,"away|[1.8,2.2)",314,4.1,1.31,126,69,56,2026-05,2.14,26.1436
league|outcome|odds_bucket,"SWZ|away|[1.8,2.2)",314,4.1,1.31,126,69,56,2026-05,2.14,26.1436
outcome|odds_bucket|market_prob_bucket,"away|[1.8,2.2)|[0.42,0.55)",314,4.1,1.31,126,69,56,2026-05,2.14,26.1436
outcome|odds_bucket|favorite_relation,"away|[1.8,2.2)|market_favorite",314,4.1,1.31,126,69,56,2026-05,2.14,26.1436
outcome|odds_bucket|market_prob_bucket,"home|[1.0,1.8)|[0.42,0.55)",166,19.0,11.45,101,54,47,2026-05,-1.0,15.259
