rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|outcome|odds_bucket=DNK|draw|[2.8,3.5)",PS_CLOSE,46,0.55,1.2,46,460.0,5.5,1.2,88.0,3,3,1,1,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=DNK|[2.8,3.5)|[0.20,0.28)",PS_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket|market_prob_bucket=DNK|[2.8,3.5)|[0.20,0.28)",MAX_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=DNK|draw|[2.8,3.5)",MAX_CLOSE,9,-2.3,-25.56,9,90.0,-23.0,-25.56,37.0,1,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=DNK|[2.8,3.5)|[0.20,0.28)",AVG_CLOSE,24,-6.96,-29.0,24,240.0,-69.6,-29.0,69.6,1,3,0,3,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=DNK|draw|[2.8,3.5)",AVG_CLOSE,6,-2.75,-45.83,6,60.0,-27.5,-45.83,40.0,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
