date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,won,unit_profit
2021-07-24,2021-07,F2,Dunkerque,Quevilly Rouen,away,draw,3.4,"[2.8,3.5)",0.2771653543307087,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,F2,Caen,Rodez,home,home,2.37,"[2.2,2.8)",0.3954081632653061,"[0.34,0.42)",market_favorite,True,1.37
2021-07-24,2021-07,F2,Caen,Rodez,draw,home,3.1,"[2.8,3.5)",0.3022959183673469,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-24,2021-07,F2,Caen,Rodez,away,home,3.1,"[2.8,3.5)",0.3022959183673469,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-24,2021-07,F2,Bastia,Nimes,home,draw,3.0,"[2.8,3.5)",0.3137254901960784,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-24,2021-07,F2,Bastia,Nimes,draw,draw,3.2,"[2.8,3.5)",0.29411764705882354,"[0.28,0.34)",market_non_favorite,True,2.2
2021-07-24,2021-07,F2,Bastia,Nimes,away,draw,2.4,"[2.2,2.8)",0.39215686274509803,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-24,2021-07,F2,Amiens,Auxerre,home,away,2.7,"[2.2,2.8)",0.3527021535960991,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-24,2021-07,F2,Amiens,Auxerre,draw,away,3.1,"[2.8,3.5)",0.30719219829337663,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-24,2021-07,F2,Amiens,Auxerre,away,away,2.8,"[2.8,3.5)",0.34010564811052413,"[0.34,0.42)",market_non_favorite,True,1.7999999999999998
2021-07-24,2021-07,F2,Grenoble,Paris FC,home,away,2.7,"[2.2,2.8)",0.35053453947368424,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-24,2021-07,F2,Grenoble,Paris FC,draw,away,3.1,"[2.8,3.5)",0.3053042763157895,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-24,2021-07,F2,Grenoble,Paris FC,away,away,2.75,"[2.2,2.8)",0.3441611842105263,"[0.34,0.42)",market_non_favorite,True,1.75
2021-07-24,2021-07,D2,Heidenheim,Paderborn,home,draw,2.2,"[2.2,2.8)",0.4276704769412692,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-24,2021-07,D2,Heidenheim,Paderborn,draw,draw,3.5,"[3.5,4.0)",0.26882144264879776,"[0.20,0.28)",market_non_favorite,True,2.5
2021-07-24,2021-07,D2,Heidenheim,Paderborn,away,draw,3.1,"[2.8,3.5)",0.303508080409933,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-24,2021-07,D2,Hansa Rostock,Karlsruhe,home,away,2.7,"[2.2,2.8)",0.34793286942284074,"[0.34,0.42)",market_non_favorite,False,-1.0
2021-07-24,2021-07,D2,Hansa Rostock,Karlsruhe,draw,away,3.4,"[2.8,3.5)",0.2762996316004912,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,D2,Hansa Rostock,Karlsruhe,away,away,2.5,"[2.2,2.8)",0.375767498976668,"[0.34,0.42)",market_favorite,True,1.5
2021-07-24,2021-07,D2,Dresden,Ingolstadt,home,home,2.3,"[2.2,2.8)",0.4049281314168378,"[0.34,0.42)",market_favorite,True,1.2999999999999998
2021-07-24,2021-07,D2,Dresden,Ingolstadt,draw,home,3.4,"[2.8,3.5)",0.27392197125256673,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,D2,Dresden,Ingolstadt,away,home,2.9,"[2.8,3.5)",0.3211498973305955,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-24,2021-07,D2,Darmstadt,Regensburg,home,away,2.05,"[1.8,2.2)",0.4603234298608499,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-24,2021-07,D2,Darmstadt,Regensburg,draw,away,3.6,"[3.5,4.0)",0.26212861978187285,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,D2,Darmstadt,Regensburg,away,away,3.4,"[2.8,3.5)",0.27754795035727714,"[0.20,0.28)",market_non_favorite,True,2.4
2021-07-24,2021-07,B1,Oud-Heverlee Leuven,Waregem,home,draw,1.95,"[1.8,2.2)",0.48143053645116923,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-24,2021-07,B1,Oud-Heverlee Leuven,Waregem,draw,draw,3.75,"[3.5,4.0)",0.25034387895460797,"[0.20,0.28)",market_non_favorite,True,2.75
2021-07-24,2021-07,B1,Oud-Heverlee Leuven,Waregem,away,draw,3.5,"[3.5,4.0)",0.2682255845942228,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,B1,Oostende,Charleroi,home,away,2.3,"[2.2,2.8)",0.40812223562525135,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-24,2021-07,B1,Oostende,Charleroi,draw,away,3.5,"[3.5,4.0)",0.268194611982308,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,B1,Oostende,Charleroi,away,away,2.9,"[2.8,3.5)",0.3236831523924407,"[0.28,0.34)",market_non_favorite,True,1.9
2021-07-24,2021-07,B1,Kortrijk,Seraing,home,home,1.75,"[1.0,1.8)",0.5407114624505929,"[0.42,0.55)",market_favorite,True,0.75
2021-07-24,2021-07,B1,Kortrijk,Seraing,draw,home,3.8,"[3.5,4.0)",0.24901185770750986,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,B1,Kortrijk,Seraing,away,home,4.5,"[4.0,5.0)",0.2102766798418972,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-24,2021-07,D2,Werder Bremen,Hannover,home,draw,1.95,"[1.8,2.2)",0.48,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-24,2021-07,D2,Werder Bremen,Hannover,draw,draw,3.6,"[3.5,4.0)",0.25999999999999995,"[0.20,0.28)",market_non_favorite,True,2.6
2021-07-24,2021-07,D2,Werder Bremen,Hannover,away,draw,3.6,"[3.5,4.0)",0.25999999999999995,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-25,2021-07,D2,St Pauli,Holstein Kiel,home,home,2.45,"[2.2,2.8)",0.38352272727272724,"[0.34,0.42)",market_favorite,True,1.4500000000000002
2021-07-25,2021-07,D2,St Pauli,Holstein Kiel,draw,home,3.5,"[3.5,4.0)",0.26846590909090906,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-25,2021-07,D2,St Pauli,Holstein Kiel,away,home,2.7,"[2.2,2.8)",0.34801136363636365,"[0.34,0.42)",market_non_favorite,False,-1.0
2021-07-25,2021-07,D2,Sandhausen,Fortuna Dusseldorf,home,away,3.4,"[2.8,3.5)",0.2792207792207792,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-25,2021-07,D2,Sandhausen,Fortuna Dusseldorf,draw,away,3.4,"[2.8,3.5)",0.2792207792207792,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-25,2021-07,D2,Sandhausen,Fortuna Dusseldorf,away,away,2.15,"[1.8,2.2)",0.44155844155844154,"[0.42,0.55)",market_favorite,True,1.15
2021-07-25,2021-07,D2,Nurnberg,Erzgebirge Aue,home,draw,1.65,"[1.0,1.8)",0.5668257756563246,"[0.55,1.00]",market_favorite,False,-1.0
2021-07-25,2021-07,D2,Nurnberg,Erzgebirge Aue,draw,draw,3.8,"[3.5,4.0)",0.2461217183770883,"[0.20,0.28)",market_non_favorite,True,2.8
2021-07-25,2021-07,D2,Nurnberg,Erzgebirge Aue,away,draw,5.0,"[5.0,7.0)",0.18705250596658712,"[0.00,0.20)",market_non_favorite,False,-1.0
2021-07-25,2021-07,B1,Anderlecht,St. Gilloise,home,away,1.5,"[1.0,1.8)",0.6176089211618258,"[0.55,1.00]",market_favorite,False,-1.0
2021-07-25,2021-07,B1,Anderlecht,St. Gilloise,draw,away,4.33,"[4.0,5.0)",0.21395228215767634,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-25,2021-07,B1,Anderlecht,St. Gilloise,away,away,5.5,"[5.0,7.0)",0.16843879668049794,"[0.00,0.20)",market_non_favorite,True,4.5
2021-07-25,2021-07,B1,Mechelen,Antwerp,home,home,2.7,"[2.2,2.8)",0.34801136363636365,"[0.34,0.42)",market_non_favorite,True,1.7000000000000002
2021-07-25,2021-07,B1,Mechelen,Antwerp,draw,home,3.5,"[3.5,4.0)",0.26846590909090906,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-25,2021-07,B1,Mechelen,Antwerp,away,home,2.45,"[2.2,2.8)",0.38352272727272724,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-25,2021-07,B1,Club Brugge,Eupen,home,draw,1.18,"[1.0,1.8)",0.7935216082037927,"[0.55,1.00]",market_favorite,False,-1.0
2021-07-25,2021-07,B1,Club Brugge,Eupen,draw,draw,6.5,"[5.0,7.0)",0.14405469195084236,"[0.00,0.20)",market_non_favorite,True,5.5
2021-07-25,2021-07,B1,Club Brugge,Eupen,away,draw,15.0,"[7.0,inf)",0.06242369984536501,"[0.00,0.20)",market_non_favorite,False,-1.0
2021-07-25,2021-07,B1,St Truiden,Gent,home,home,4.75,"[4.0,5.0)",0.19759783029833397,"[0.00,0.20)",market_non_favorite,True,3.75
2021-07-25,2021-07,B1,St Truiden,Gent,draw,home,3.75,"[3.5,4.0)",0.25029058504455637,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-25,2021-07,B1,St Truiden,Gent,away,home,1.7,"[1.0,1.8)",0.5521115846571096,"[0.55,1.00]",market_favorite,False,-1.0
2021-07-26,2021-07,F2,Dijon,Sochaux,home,away,2.15,"[1.8,2.2)",0.4359404280501035,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-26,2021-07,F2,Dijon,Sochaux,draw,away,3.4,"[2.8,3.5)",0.27566821185521256,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-26,2021-07,F2,Dijon,Sochaux,away,away,3.25,"[2.8,3.5)",0.2883913600946839,"[0.28,0.34)",market_non_favorite,True,2.25
2021-07-27,2021-07,B1,Beerschot VA,Cercle Brugge,home,away,2.2,"[2.2,2.8)",0.43088803088803085,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-27,2021-07,B1,Beerschot VA,Cercle Brugge,draw,away,3.6,"[3.5,4.0)",0.2633204633204633,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-27,2021-07,B1,Beerschot VA,Cercle Brugge,away,away,3.1,"[2.8,3.5)",0.30579150579150577,"[0.28,0.34)",market_non_favorite,True,2.1
2021-07-30,2021-07,D2,Karlsruhe,Darmstadt,home,home,1.33,"[1.0,1.8)",0.6840855106888362,"[0.55,1.00]",market_favorite,True,0.33000000000000007
2021-07-30,2021-07,D2,Karlsruhe,Darmstadt,draw,home,4.5,"[4.0,5.0)",0.20218527315914492,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-30,2021-07,D2,Karlsruhe,Darmstadt,away,home,8.0,"[7.0,inf)",0.11372921615201902,"[0.00,0.20)",market_non_favorite,False,-1.0
2021-07-30,2021-07,D2,Paderborn,Nurnberg,home,draw,2.45,"[2.2,2.8)",0.38596491228070173,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-30,2021-07,D2,Paderborn,Nurnberg,draw,draw,3.5,"[3.5,4.0)",0.27017543859649124,"[0.20,0.28)",market_non_favorite,True,2.5
2021-07-30,2021-07,D2,Paderborn,Nurnberg,away,draw,2.75,"[2.2,2.8)",0.34385964912280703,"[0.34,0.42)",market_non_favorite,False,-1.0
2021-07-30,2021-07,B1,Genk,Oostende,home,away,1.53,"[1.0,1.8)",0.6180910495661476,"[0.55,1.00]",market_favorite,False,-1.0
2021-07-30,2021-07,B1,Genk,Oostende,draw,away,4.0,"[4.0,5.0)",0.23641982645905146,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-30,2021-07,B1,Genk,Oostende,away,away,6.5,"[5.0,7.0)",0.1454891239748009,"[0.00,0.20)",market_non_favorite,True,5.5
2021-07-31,2021-07,F2,Rodez,Pau FC,home,home,2.5,"[2.2,2.8)",0.3783122706889523,"[0.34,0.42)",market_favorite,True,1.5
2021-07-31,2021-07,F2,Rodez,Pau FC,draw,home,3.2,"[2.8,3.5)",0.29555646147574394,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Rodez,Pau FC,away,home,2.9,"[2.8,3.5)",0.32613126783530366,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,SC0,Ross County,St Johnstone,home,draw,3.8,"[3.5,4.0)",0.24682124158563945,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,SC0,Ross County,St Johnstone,draw,draw,3.3,"[2.8,3.5)",0.28421839940164545,"[0.28,0.34)",market_non_favorite,True,2.3
2021-07-31,2021-07,SC0,Ross County,St Johnstone,away,draw,2.0,"[1.8,2.2)",0.468960359012715,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-31,2021-07,SC0,Rangers,Livingston,home,home,1.18,"[1.0,1.8)",0.7993923171525718,"[0.55,1.00]",market_favorite,True,0.17999999999999994
2021-07-31,2021-07,SC0,Rangers,Livingston,draw,home,6.5,"[5.0,7.0)",0.1451204514215438,"[0.00,0.20)",market_non_favorite,False,-1.0
2021-07-31,2021-07,SC0,Rangers,Livingston,away,home,17.0,"[7.0,inf)",0.05548723142588439,"[0.00,0.20)",market_non_favorite,False,-1.0
