validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2019-07,2020-06,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",200,33.71,16.86,36,24,12,2019-05,4.67,41.0236
2020-01,2020-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",102,24.13,23.66,38,30,8,2019-12,0.83,67.8934
2020-01,2020-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",122,38.44,31.51,40,25,15,2019-12,2.29,51.8233
2020-01,2020-12,"AVG_CLOSE::league|outcome|odds_bucket=ARG|away|[1.8,2.2)",AVG_CLOSE,"league|outcome|odds_bucket=ARG|away|[1.8,2.2)",114,24.46,21.46,35,24,11,2019-12,3.06,47.6707
2020-07,2021-06,"PS_CLOSE::league|outcome|odds_bucket=JPN|away|[4.0,5.0)",PS_CLOSE,"league|outcome|odds_bucket=JPN|away|[4.0,5.0)",137,37.19,27.15,36,26,10,2020-02,2.49,59.4174
2020-07,2021-06,"PS_CLOSE::league|outcome|odds_bucket=IRL|home|[1.0,1.8)",PS_CLOSE,"league|outcome|odds_bucket=IRL|home|[1.0,1.8)",237,13.1,5.53,33,25,8,2020-03,0.57,39.5827
2020-07,2021-06,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",200,22.61,11.31,36,24,12,2020-06,3.06,35.4181
2021-01,2021-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",101,15.74,15.58,38,26,12,2020-12,3.88,43.74
2021-01,2021-12,"PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=FIN|away|[2.2,2.8)",114,20.81,18.25,26,19,7,2020-11,0.35,42.4369
2021-01,2021-12,"PS_CLOSE::league|odds_bucket|market_prob_bucket=JPN|[2.2,2.8)|[0.42,0.55)",PS_CLOSE,"league|odds_bucket|market_prob_bucket=JPN|[2.2,2.8)|[0.42,0.55)",114,16.47,14.45,34,22,12,2020-12,1.55,34.5918
2021-07,2022-06,"AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.42,0.55)",AVG_CLOSE,"league|outcome|market_prob_bucket=AUT|away|[0.42,0.55)",122,20.42,16.74,37,22,14,2021-05,0.05,32.9051
2021-07,2022-06,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",290,40.18,13.86,39,24,15,2021-06,3.3,31.9937
2021-07,2022-06,"AVG_CLOSE::league|outcome|market_prob_bucket=ROU|home|[0.42,0.55)",AVG_CLOSE,"league|outcome|market_prob_bucket=ROU|home|[0.42,0.55)",256,5.91,2.31,43,27,16,2021-05,1.95,24.3317
2022-01,2022-12,"PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)",109,27.15,24.91,24,18,6,2021-10,5.92,49.1573
2022-01,2022-12,"PS_CLOSE::league|outcome|market_prob_bucket=MEX|home|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=MEX|home|[0.42,0.55)",423,43.44,10.27,41,28,13,2021-12,2.53,40.3722
2022-01,2022-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",146,31.79,21.77,39,23,16,2021-12,0.95,35.9917
2022-07,2023-06,"AVG_CLOSE::league|odds_bucket|market_prob_bucket=IRL|[4.0,5.0)|[0.20,0.28)",AVG_CLOSE,"league|odds_bucket|market_prob_bucket=IRL|[4.0,5.0)|[0.20,0.28)",167,36.77,22.02,31,19,12,2022-05,19.2,36.2381
2022-07,2023-06,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",197,14.76,7.49,36,23,13,2022-05,2.47,27.5673
2022-07,2023-06,"AVG_CLOSE::league|outcome|market_prob_bucket=CHN|draw|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=CHN|draw|[0.28,0.34)",147,25.48,17.33,22,13,9,2022-06,7.98,25.5067
2023-01,2023-12,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",130,27.83,21.41,37,25,12,2022-11,3.1,47.6218
2023-01,2023-12,"AVG_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)",102,26.08,25.57,24,17,7,2022-10,2.41,45.8243
2023-01,2023-12,"PS_CLOSE::league|market_prob_bucket=ROU|[0.55,1.00]",PS_CLOSE,"league|market_prob_bucket=ROU|[0.55,1.00]",369,22.41,6.07,43,28,15,2022-12,0.04,32.1339
2023-07,2024-06,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",118,33.66,28.53,36,25,11,2023-05,2.06,56.8107
2023-07,2024-06,"PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",110,23.64,21.49,30,22,8,2023-06,2.41,49.7058
2023-07,2024-06,"PS_CLOSE::league|outcome|market_prob_bucket=DNK|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=DNK|away|[0.34,0.42)",146,30.96,21.21,35,23,12,2023-06,0.6,43.4175
2024-01,2024-12,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",124,30.63,24.7,36,24,12,2023-12,1.11,48.9486
2024-01,2024-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|draw|[0.20,0.28)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|draw|[0.20,0.28)",611,95.12,15.57,42,29,13,2023-12,3.89,47.7236
2024-01,2024-12,PS_CLOSE::league|outcome|favorite_relation=FIN|away|market_favorite,PS_CLOSE,league|outcome|favorite_relation=FIN|away|market_favorite,246,40.51,16.47,28,20,8,2023-11,1.82,40.6322
2024-07,2025-06,"AVG_CLOSE::league|outcome|market_prob_bucket=SWE|home|[0.20,0.28)",AVG_CLOSE,"league|outcome|market_prob_bucket=SWE|home|[0.20,0.28)",127,42.6,33.54,31,21,10,2024-06,2.76,55.8787
2024-07,2025-06,"PS_CLOSE::league|outcome|odds_bucket=DNK|away|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=DNK|away|[2.2,2.8)",171,29.64,17.33,38,23,15,2024-05,0.71,33.5067
2024-07,2025-06,"PS_CLOSE::league|odds_bucket=BRA|[7.0,inf)",PS_CLOSE,"league|odds_bucket=BRA|[7.0,inf)",226,57.48,25.43,34,18,16,2024-06,3.52,29.688
2025-01,2025-12,"PS_CLOSE::outcome|odds_bucket|market_prob_bucket=home|[4.0,5.0)|[0.00,0.20)",PS_CLOSE,"outcome|odds_bucket|market_prob_bucket=home|[4.0,5.0)|[0.00,0.20)",101,45.85,45.4,41,23,18,2024-12,2.88,55.85
2025-01,2025-12,"AVG_CLOSE::league|outcome|market_prob_bucket=CHN|draw|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=CHN|draw|[0.28,0.34)",252,47.98,19.04,28,20,8,2024-10,2.27,43.2301
2025-01,2025-12,PS_CLOSE::league|outcome|favorite_relation=USA|home|market_non_favorite,PS_CLOSE,league|outcome|favorite_relation=USA|home|market_non_favorite,230,44.29,19.26,37,24,13,2024-11,1.47,41.4491
