date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,strength_gap,goal_env,league_draw_rate_bucket,draw_market_prob_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2018-10-06,FIN,TPS,Rovaniemi,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,mid_draw_prob,0.345671,0.020595,3.12,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2018-10
2018-10-31,FIN,KPV Kokkola,TPS,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.532223,0.494767,2.91,1.0,True,1.91,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2018-10
2019-04-13,FIN,Inter Turku,SJK,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.324415,0.003853,3.28,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.01|draw_market_prob=mid_draw_prob",2019-04
2019-04-15,FIN,HIFK,Lahti,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.40283,0.130335,2.94,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2019-04
2019-04-22,FIN,SJK,Ilves,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.391265,0.107523,2.97,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2019-04
2019-04-26,FIN,VPS,SJK,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.356873,0.005377,2.97,1.0,True,1.97,"FIN|draw|[2.8,3.5)|ev>=-0.01|draw_market_prob=mid_draw_prob",2019-04
2019-04-26,FIN,Ilves,Lahti,draw,home,"[2.8,3.5)",market_non_favorite,heavy_favorite,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.332184,-0.008322,3.16,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.01|draw_market_prob=mid_draw_prob",2019-04
2019-07-06,FIN,Rovaniemi,Mariehamn,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.359376,0.038733,3.05,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2019-07
2019-07-06,FIN,KPV Kokkola,VPS,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.35491,0.011668,3.01,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2019-07
2019-07-20,FIN,Ilves,HJK,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.413119,0.182935,3.0,1.0,True,2.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2019-07
2019-07-20,FIN,KPV Kokkola,SJK,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.413278,0.179466,2.99,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2019-07
2019-07-21,FIN,HIFK,Rovaniemi,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.540484,0.497211,2.87,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|draw_market_prob=mid_draw_prob",2019-07
2022-10-09,FIN,Haka,HJK,away,away,"[1.8,2.2)",market_favorite,heavy_favorite,strong_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,low_draw_prob,0.589801,0.066571,1.87,1.0,True,0.87,"FIN|away|[1.8,2.2)|ev>=-0.01",2022-10
2023-04-30,FIN,Mariehamn,KuPS,away,away,"[1.8,2.2)",market_favorite,heavy_favorite,strong_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,low_draw_prob,0.54884,0.021599,1.93,1.0,True,0.93,"FIN|away|[1.8,2.2)|ev>=-0.01",2023-04
2023-11-01,FIN,Honka,VPS,away,away,"[2.2,2.8)",market_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.384778,-0.018802,2.69,1.0,True,1.69,"FIN|away|[2.2,2.8)|ev>=-0.02",2023-11
2024-04-06,FIN,Gnistan,Inter Turku,away,home,"[2.2,2.8)",market_favorite,clear_favorite,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,low_draw_prob,0.487074,0.032158,2.21,1.0,False,-1.0,"FIN|away|[2.2,2.8)|ev>=-0.02",2024-04
2024-04-12,FIN,VPS,SJK,away,draw,"[2.2,2.8)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,low_draw_prob,0.379686,-0.000168,2.78,1.0,False,-1.0,"FIN|away|[2.2,2.8)|ev>=-0.02",2024-04
2024-04-19,FIN,SJK,Ilves,away,home,"[2.2,2.8)",market_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,low_draw_prob,0.4429,0.044479,2.47,1.0,False,-1.0,"FIN|away|[2.2,2.8)|ev>=-0.02",2024-04
2024-04-20,FIN,Lahti,Haka,away,draw,"[2.2,2.8)",market_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.434204,-0.018418,2.37,1.0,False,-1.0,"FIN|away|[2.2,2.8)|ev>=-0.02",2024-04
