odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,404,17.05,4.22,19.74,12,6,6,2,1,2025-26,138,12.54,candidate_positive_but_unstable,False,"['positive_months<=negative_months', 'drawdown>profit']"
AVG_OPEN,lookback18,18,6,50,0.02,237,9.32,3.93,15.62,7,4,3,1,1,2025-26,171,13.96,candidate_positive_but_unstable,False,"['active_months<12', 'drawdown>profit', 'positive_seasons<=negative_seasons']"
AVG_OPEN,stricter_selection,12,8,80,0.04,404,17.05,4.22,19.74,12,6,6,2,1,2025-26,138,12.54,candidate_positive_but_unstable,False,"['positive_months<=negative_months', 'drawdown>profit']"
AVG_CLOSE,default,12,6,50,0.02,340,10.98,3.23,23.28,11,6,5,2,1,2025-26,151,12.71,candidate_positive_but_unstable,False,"['active_months<12', 'drawdown>profit']"
AVG_CLOSE,lookback18,18,6,50,0.02,192,9.48,4.94,16.15,7,4,3,1,0,2025-26,192,9.48,candidate_positive_but_unstable,False,"['active_months<12', 'drawdown>profit']"
AVG_CLOSE,stricter_selection,12,8,80,0.04,340,10.98,3.23,23.28,11,6,5,2,1,2025-26,151,12.71,candidate_positive_but_unstable,False,"['active_months<12', 'drawdown>profit']"
MAX_OPEN,default,12,6,50,0.02,554,64.61,11.66,19.85,20,11,9,4,0,2025-26,196,29.0,candidate_positive_but_unstable,True,[]
MAX_OPEN,lookback18,18,6,50,0.02,517,40.7,7.87,19.79,20,10,10,3,1,2025-26,202,26.4,candidate_positive_but_unstable,False,['positive_months<=negative_months']
MAX_OPEN,stricter_selection,12,8,80,0.04,554,64.61,11.66,19.85,20,11,9,4,0,2025-26,196,29.0,candidate_positive_but_unstable,True,[]
MAX_CLOSE,default,12,6,50,0.02,373,28.82,7.73,15.17,13,8,5,3,0,2025-26,110,12.51,candidate_positive_but_unstable,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,248,18.0,7.26,15.79,10,7,3,3,0,2025-26,135,12.96,candidate_positive_but_unstable,False,['active_months<12']
MAX_CLOSE,stricter_selection,12,8,80,0.04,373,28.82,7.73,15.17,13,8,5,3,0,2025-26,110,12.51,candidate_positive_but_unstable,True,[]
B365_OPEN,default,12,6,50,0.02,279,4.33,1.55,18.95,9,3,6,2,1,2025-26,98,2.85,candidate_positive_but_unstable,False,"['roi<3%', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit']"
B365_OPEN,lookback18,18,6,50,0.02,206,24.22,11.76,10.63,8,5,3,3,0,2025-26,160,7.72,candidate_positive_but_unstable,False,['active_months<12']
B365_OPEN,stricter_selection,12,8,80,0.04,279,4.33,1.55,18.95,9,3,6,2,1,2025-26,98,2.85,candidate_positive_but_unstable,False,"['roi<3%', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit']"
B365_CLOSE,default,12,6,50,0.02,288,-3.8,-1.32,21.7,9,3,6,1,2,2025-26,66,-4.95,rejected_negative_edge,False,"['roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
B365_CLOSE,lookback18,18,6,50,0.02,94,-5.55,-5.9,14.3,3,1,2,0,2,2025-26,66,-4.95,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
B365_CLOSE,stricter_selection,12,8,80,0.04,288,-3.8,-1.32,21.7,9,3,6,1,2,2025-26,66,-4.95,rejected_negative_edge,False,"['roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
PS_OPEN,default,12,6,50,0.02,306,39.14,12.79,13.57,10,7,3,3,0,2025-26,60,15.57,candidate_positive_but_unstable,False,['active_months<12']
PS_OPEN,lookback18,18,6,50,0.02,120,16.14,13.45,11.75,4,3,1,2,1,2025-26,60,15.57,candidate_positive_but_unstable,False,['active_months<12']
PS_OPEN,stricter_selection,12,8,80,0.04,306,39.14,12.79,13.57,10,7,3,3,0,2025-26,60,15.57,candidate_positive_but_unstable,False,['active_months<12']
PS_CLOSE,default,12,6,50,0.02,178,4.98,2.8,17.73,6,3,3,2,1,2025-26,30,7.63,candidate_positive_but_unstable,False,"['roi<3%', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit']"
PS_CLOSE,lookback18,18,6,50,0.02,30,7.63,25.43,5.51,1,1,0,1,0,2025-26,30,7.63,not_enough_sample,False,"['bets<100', 'active_months<12']"
PS_CLOSE,stricter_selection,12,8,80,0.04,178,4.98,2.8,17.73,6,3,3,2,1,2025-26,30,7.63,candidate_positive_but_unstable,False,"['roi<3%', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit']"
