month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev,probability_validation
2022-08,INVEST,,412.0,30.0,7.0,0.1879,"{'passed': True, 'reason': 'disabled'}"
2022-09,INVEST,,442.0,35.0,5.0,0.107,"{'passed': True, 'reason': 'disabled'}"
2022-10,INVEST,,477.0,59.0,7.0,0.1097,"{'passed': True, 'reason': 'disabled'}"
2022-11,INVEST,,536.0,31.0,4.0,0.0631,"{'passed': True, 'reason': 'disabled'}"
2022-12,INVEST,,567.0,46.0,9.0,0.1272,"{'passed': True, 'reason': 'disabled'}"
2023-01,INVEST,,613.0,32.0,7.0,0.1707,"{'passed': True, 'reason': 'disabled'}"
2023-02,INVEST,,645.0,50.0,9.0,0.141,"{'passed': True, 'reason': 'disabled'}"
2023-03,INVEST,,695.0,40.0,8.0,0.1583,"{'passed': True, 'reason': 'disabled'}"
2023-04,INVEST,,735.0,56.0,9.0,0.1489,"{'passed': True, 'reason': 'disabled'}"
2023-05,INVEST,,791.0,42.0,5.0,0.18,"{'passed': True, 'reason': 'disabled'}"
2023-06,ABSTAIN,no_positive_feature_edge,833.0,1.0,0.0,0.0,"{'passed': True, 'reason': 'disabled'}"
2023-07,ABSTAIN,no_candidates,,,,,
2023-08,INVEST,,834.0,26.0,7.0,0.182,"{'passed': True, 'reason': 'disabled'}"
2023-09,INVEST,,860.0,52.0,10.0,0.1731,"{'passed': True, 'reason': 'disabled'}"
2023-10,INVEST,,912.0,42.0,11.0,0.1625,"{'passed': True, 'reason': 'disabled'}"
2023-11,INVEST,,954.0,35.0,10.0,0.1737,"{'passed': True, 'reason': 'disabled'}"
2023-12,INVEST,,989.0,56.0,10.0,0.1923,"{'passed': True, 'reason': 'disabled'}"
2024-01,INVEST,,1045.0,38.0,6.0,0.1879,"{'passed': True, 'reason': 'disabled'}"
2024-02,INVEST,,1083.0,51.0,11.0,0.1511,"{'passed': True, 'reason': 'disabled'}"
2024-03,INVEST,,1111.0,35.0,6.0,0.1501,"{'passed': True, 'reason': 'disabled'}"
2024-04,INVEST,,1094.0,43.0,8.0,0.1201,"{'passed': True, 'reason': 'disabled'}"
2024-05,INVEST,,1087.0,38.0,3.0,0.1958,"{'passed': True, 'reason': 'disabled'}"
2024-06,ABSTAIN,no_candidates,,,,,
2024-07,ABSTAIN,no_candidates,,,,,
2024-08,INVEST,,1019.0,39.0,9.0,0.1731,"{'passed': True, 'reason': 'disabled'}"
2024-09,INVEST,,995.0,45.0,10.0,0.1845,"{'passed': True, 'reason': 'disabled'}"
2024-10,INVEST,,994.0,41.0,11.0,0.1647,"{'passed': True, 'reason': 'disabled'}"
2024-11,INVEST,,979.0,39.0,9.0,0.183,"{'passed': True, 'reason': 'disabled'}"
2024-12,INVEST,,1002.0,50.0,11.0,0.1967,"{'passed': True, 'reason': 'disabled'}"
2025-01,INVEST,,1052.0,34.0,9.0,0.1784,"{'passed': True, 'reason': 'disabled'}"
2025-02,INVEST,,1086.0,49.0,12.0,0.1834,"{'passed': True, 'reason': 'disabled'}"
2025-03,INVEST,,1105.0,44.0,10.0,0.1872,"{'passed': True, 'reason': 'disabled'}"
2025-04,INVEST,,1114.0,37.0,8.0,0.1905,"{'passed': True, 'reason': 'disabled'}"
2025-05,INVEST,,1092.0,47.0,4.0,0.2016,"{'passed': True, 'reason': 'disabled'}"
2025-06,ABSTAIN,no_candidates,,,,,
2025-07,ABSTAIN,no_candidates,,,,,
2025-08,INVEST,,1030.0,25.0,6.0,0.1598,"{'passed': True, 'reason': 'disabled'}"
2025-09,INVEST,,1005.0,43.0,9.0,0.1583,"{'passed': True, 'reason': 'disabled'}"
2025-10,INVEST,,1008.0,44.0,10.0,0.178,"{'passed': True, 'reason': 'disabled'}"
2025-11,INVEST,,996.0,48.0,12.0,0.1661,"{'passed': True, 'reason': 'disabled'}"
2025-12,INVEST,,1002.0,39.0,10.0,0.1568,"{'passed': True, 'reason': 'disabled'}"
2026-01,INVEST,,1040.0,36.0,9.0,0.1725,"{'passed': True, 'reason': 'disabled'}"
2026-02,INVEST,,1076.0,51.0,10.0,0.181,"{'passed': True, 'reason': 'disabled'}"
2026-03,INVEST,,1101.0,49.0,11.0,0.1734,"{'passed': True, 'reason': 'disabled'}"
2026-04,INVEST,,1098.0,37.0,10.0,0.1434,"{'passed': True, 'reason': 'disabled'}"
2026-05,INVEST,,1093.0,16.0,2.0,0.182,"{'passed': True, 'reason': 'disabled'}"
