candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons
t1-market-prob-0p55-1p00,B365_OPEN,2022-08,2023-07,6,60.0,-0.8,-1.33,10.0,5,0,1,1,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 6, 'profit': -0.8, 'roi_pct': -1.33}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,B365_OPEN,2022-11,2023-10,6,60.0,-0.8,-1.33,10.0,5,0,1,1,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 6, 'profit': -0.8, 'roi_pct': -1.33}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,B365_OPEN,2023-02,2024-01,6,60.0,-0.8,-1.33,10.0,5,0,1,1,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 6, 'profit': -0.8, 'roi_pct': -1.33}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,B365_OPEN,2023-05,2024-04,13,130.0,10.1,7.77,16.0,11,1,0,1,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 13, 'profit': 10.1, 'roi_pct': 7.77}]",1,False,"['bets<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,B365_OPEN,2023-08,2024-07,23,230.0,1.5,0.65,21.9,18,1,1,2,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 23, 'profit': 1.5, 'roi_pct': 0.65}]",1,False,"['roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,B365_OPEN,2023-11,2024-10,48,480.0,19.6,4.08,21.9,40,3,1,5,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 48, 'profit': 19.6, 'roi_pct': 4.08}]",1,True,[]
t1-market-prob-0p55-1p00,B365_OPEN,2024-02,2025-01,48,480.0,19.6,4.08,21.9,40,3,1,5,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 48, 'profit': 19.6, 'roi_pct': 4.08}]",1,True,[]
t1-market-prob-0p55-1p00,B365_OPEN,2024-05,2025-04,72,720.0,77.2,10.72,21.9,59,5,1,7,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 72, 'profit': 77.2, 'roi_pct': 10.72}]",1,True,[]
t1-market-prob-0p55-1p00,B365_OPEN,2024-08,2025-07,77,770.0,55.1,7.16,43.4,60,5,1,7,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 77, 'profit': 55.1, 'roi_pct': 7.16}]",1,True,[]
t1-market-prob-0p55-1p00,B365_OPEN,2024-11,2025-10,52,520.0,37.0,7.12,43.4,38,3,1,4,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 52, 'profit': 37.0, 'roi_pct': 7.12}]",1,True,[]
t1-market-prob-0p55-1p00,B365_OPEN,2025-02,2026-01,52,520.0,37.0,7.12,43.4,38,3,1,4,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 52, 'profit': 37.0, 'roi_pct': 7.12}]",1,True,[]
t1-market-prob-0p55-1p00,B365_OPEN,2025-05,2026-04,15,150.0,-30.7,-20.47,43.4,8,0,1,1,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 15, 'profit': -30.7, 'roi_pct': -20.47}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2022-08,2023-07,5,50.0,-3.7,-7.4,15.3,3,0,1,1,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 5, 'profit': -3.7, 'roi_pct': -7.4}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2022-11,2023-10,5,50.0,-3.7,-7.4,15.3,3,0,1,1,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 5, 'profit': -3.7, 'roi_pct': -7.4}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2023-02,2024-01,39,390.0,-31.4,-8.05,43.2,30,1,3,4,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 39, 'profit': -31.4, 'roi_pct': -8.05}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2023-05,2024-04,59,590.0,-7.8,-1.32,49.9,46,3,3,6,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 59, 'profit': -7.8, 'roi_pct': -1.32}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2023-08,2024-07,64,640.0,-13.6,-2.12,44.0,50,3,3,6,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 64, 'profit': -13.6, 'roi_pct': -2.12}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2023-11,2024-10,73,730.0,-6.3,-0.86,44.0,59,4,3,7,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 73, 'profit': -6.3, 'roi_pct': -0.86}]",1,False,"['profit<=0', 'roi<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2024-02,2025-01,39,390.0,21.4,5.49,22.3,32,3,1,4,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 39, 'profit': 21.4, 'roi_pct': 5.49}]",1,True,[]
t1-market-prob-0p55-1p00,AVG_OPEN,2024-05,2025-04,42,420.0,40.5,9.64,22.3,34,2,2,4,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 42, 'profit': 40.5, 'roi_pct': 9.64}]",1,False,['positive_month_edge<minimum']
t1-market-prob-0p55-1p00,AVG_OPEN,2024-08,2025-07,47,470.0,19.0,4.04,43.2,35,2,2,4,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 47, 'profit': 19.0, 'roi_pct': 4.04}]",1,False,"['positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2024-11,2025-10,38,380.0,11.7,3.08,43.2,26,1,2,3,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 38, 'profit': 11.7, 'roi_pct': 3.08}]",1,False,"['positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
t1-market-prob-0p55-1p00,AVG_OPEN,2025-02,2026-01,38,380.0,11.7,3.08,43.2,26,1,2,3,"[{'rule_label': 'league|market_prob_bucket=T1|[0.55,1.00]', 'bets': 38, 'profit': 11.7, 'roi_pct': 3.08}]",1,False,"['positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
