odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,750,41.06,5.47,22.31,29,16,13,4,0,2025-26,223,6.8,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,lookback18,18,6,50,0.02,862,98.43,11.42,19.98,34,21,13,4,0,2025-26,246,9.13,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,stricter_selection,12,8,80,0.04,681,41.75,6.13,19.14,26,14,12,4,0,2025-26,218,11.8,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,default,12,6,50,0.02,752,28.77,3.83,33.69,29,18,11,3,1,2025-26,248,4.25,candidate_positive_but_unstable,False,['drawdown>profit']
AVG_CLOSE,lookback18,18,6,50,0.02,872,94.6,10.85,24.21,34,23,11,4,0,2025-26,248,4.25,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,stricter_selection,12,8,80,0.04,630,18.94,3.01,33.69,25,15,10,2,2,2025-26,192,-1.74,not_enough_recent_evidence,False,"['drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
MAX_OPEN,default,12,6,50,0.02,509,85.77,16.85,23.75,33,23,10,4,0,2025-26,170,37.9,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,lookback18,18,6,50,0.02,525,88.68,16.89,23.75,34,24,10,4,0,2025-26,170,37.9,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,stricter_selection,12,8,80,0.04,463,74.33,16.05,23.75,30,20,10,4,0,2025-26,161,27.85,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,default,12,6,50,0.02,608,110.49,18.17,20.35,31,22,9,4,0,2025-26,174,11.86,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,628,106.69,16.99,20.35,33,23,10,4,0,2025-26,194,8.06,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,stricter_selection,12,8,80,0.04,585,108.44,18.54,20.35,30,21,9,4,0,2025-26,174,11.86,research_candidate_requires_live_shadow,True,[]
B365_OPEN,default,12,6,50,0.02,696,86.33,12.4,18.7,32,22,10,4,0,2025-26,214,19.79,research_candidate_requires_live_shadow,True,[]
B365_OPEN,lookback18,18,6,50,0.02,728,106.96,14.69,18.7,34,24,10,4,0,2025-26,214,19.79,research_candidate_requires_live_shadow,True,[]
B365_OPEN,stricter_selection,12,8,80,0.04,651,80.48,12.36,18.7,30,20,10,4,0,2025-26,214,19.79,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,default,12,6,50,0.02,756,100.98,13.36,22.8,34,24,10,4,0,2025-26,206,7.15,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,lookback18,18,6,50,0.02,756,100.98,13.36,22.8,34,24,10,4,0,2025-26,206,7.15,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,stricter_selection,12,8,80,0.04,695,94.34,13.57,22.8,32,22,10,4,0,2025-26,206,7.15,research_candidate_requires_live_shadow,True,[]
PS_OPEN,default,12,6,50,0.02,560,85.8,15.32,19.82,25,17,8,4,0,2025-26,24,3.87,research_candidate_requires_live_shadow,True,[]
PS_OPEN,lookback18,18,6,50,0.02,600,104.52,17.42,19.82,27,19,8,4,0,2025-26,64,22.59,research_candidate_requires_live_shadow,True,[]
PS_OPEN,stricter_selection,12,8,80,0.04,499,81.05,16.24,19.82,23,15,8,4,0,2025-26,24,3.87,candidate_positive_but_unstable,True,[]
PS_CLOSE,default,12,6,50,0.02,446,25.52,5.72,23.93,19,11,8,3,1,2025-26,67,18.42,candidate_positive_but_unstable,True,[]
PS_CLOSE,lookback18,18,6,50,0.02,483,73.46,15.21,19.98,21,14,7,4,0,2025-26,67,18.42,candidate_positive_but_unstable,True,[]
PS_CLOSE,stricter_selection,12,8,80,0.04,367,21.71,5.92,22.91,15,9,6,2,1,2025-26,67,18.42,candidate_positive_but_unstable,False,['drawdown>profit']
