validation_start,validation_end,train_start,train_end,candidate_rule_count,selected_rules,max_pairwise_monthly_profit_corr,train_bets,train_profit,train_roi_pct,train_positive_months,train_negative_months,train_window_count,train_active_window_count,train_active_passed_windows,train_active_pass_rate,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,2011-01,2016-12,22,"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|market_prob_bucket=POL|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.42,0.55)']",0.1759,821,154.76,18.85,38,16,8,8,8,1.0,2017-01,2017-12,203,203.0,4.9,2.41,16.27,5,6,False
2017-07,2018-06,2011-07,2017-06,31,"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|draw|[2.8,3.5)', 'PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.42,0.55)']",0.0887,1580,153.57,9.72,39,16,9,9,9,1.0,2017-07,2018-06,273,273.0,2.83,1.04,13.97,7,4,False
2018-01,2018-12,2012-01,2017-12,32,"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|draw|[4.0,5.0)', 'PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)']",0.1915,934,132.46,14.18,45,19,10,10,10,1.0,2018-01,2018-12,152,152.0,-4.98,-3.28,16.46,5,6,False
2018-07,2019-06,2012-07,2018-06,33,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|draw|[4.0,5.0)']",0.0924,610,110.89,18.18,45,21,11,11,11,1.0,2018-07,2019-06,104,104.0,13.59,13.07,15.89,9,2,True
2019-01,2019-12,2013-01,2018-12,31,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.8,3.5)']",0.2281,663,115.92,17.48,43,20,10,10,9,0.9,2019-01,2019-12,113,113.0,-2.72,-2.41,15.18,4,7,False
2019-07,2020-06,2013-07,2019-06,30,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|draw|[4.0,5.0)']",0.0843,618,109.16,17.66,47,19,11,11,10,0.9091,2019-07,2020-06,72,72.0,-6.8,-9.44,15.53,5,5,False
2020-01,2020-12,2014-01,2019-12,34,"['AVG_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.2,2.8)']",0.1943,788,115.58,14.67,44,22,10,10,9,0.9,2020-01,2020-12,121,121.0,8.93,7.38,11.89,6,4,False
2020-07,2021-06,2014-07,2020-06,33,"['PS_CLOSE::league|outcome|market_prob_bucket=BRA|home|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=DNK|home|[0.42,0.55)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[4.0,5.0)']",0.0734,1233,83.43,6.77,41,23,11,11,9,0.8182,2020-07,2021-06,220,220.0,-6.68,-3.04,21.36,5,7,False
2021-01,2021-12,2015-01,2020-12,36,"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",0.1469,839,139.33,16.61,45,18,10,10,10,1.0,2021-01,2021-12,159,159.0,-12.72,-8.0,24.03,6,6,False
2021-07,2022-06,2015-07,2021-06,32,"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)', 'PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|draw|[2.8,3.5)']",0.2194,990,148.2,14.97,44,18,11,11,9,0.8182,2021-07,2022-06,183,183.0,-13.96,-7.63,20.68,4,7,False
2022-01,2022-12,2016-01,2021-12,35,"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)']",0.1086,660,99.33,15.05,46,17,10,10,8,0.8,2022-01,2022-12,103,103.0,-10.19,-9.89,15.86,4,6,False
