validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2017-01,2017-12,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",198,38.76,19.58,41,25,16,2016-12,1.77,37.7715
2017-01,2017-12,"PS_CLOSE::league|outcome|market_prob_bucket=POL|away|[0.20,0.28)",PS_CLOSE,"league|outcome|market_prob_bucket=POL|away|[0.20,0.28)",409,92.98,22.73,48,27,21,2016-12,0.63,34.9608
2017-01,2017-12,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.42,0.55)",214,23.02,10.76,44,28,16,2016-11,1.27,34.8646
2017-07,2018-06,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",363,34.35,9.46,52,33,19,2017-06,1.37,37.5574
2017-07,2018-06,"PS_CLOSE::league|outcome|odds_bucket=SWE|draw|[2.8,3.5)",PS_CLOSE,"league|outcome|odds_bucket=SWE|draw|[2.8,3.5)",314,48.18,15.34,41,25,16,2017-05,5.8,33.4974
2017-07,2018-06,"PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=USA|home|[0.42,0.55)",903,71.04,7.87,52,32,20,2017-06,1.07,31.9458
2018-01,2018-12,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",260,47.01,18.08,50,31,19,2017-12,2.16,42.2616
2018-01,2018-12,"PS_CLOSE::league|outcome|odds_bucket=AUT|draw|[4.0,5.0)",PS_CLOSE,"league|outcome|odds_bucket=AUT|draw|[4.0,5.0)",217,60.28,27.78,56,31,25,2017-12,4.71,40.0566
2018-01,2018-12,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",457,25.17,5.51,52,32,20,2017-11,0.49,29.5627
2018-07,2019-06,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",157,32.88,20.94,59,40,18,2018-05,1.09,65.1521
2018-07,2019-06,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",272,49.47,18.19,53,33,20,2018-05,0.39,44.3694
2018-07,2019-06,"PS_CLOSE::league|outcome|odds_bucket=FIN|draw|[4.0,5.0)",PS_CLOSE,"league|outcome|odds_bucket=FIN|draw|[4.0,5.0)",181,28.54,15.77,40,24,16,2018-06,0.09,31.9256
2019-01,2019-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",156,39.05,25.03,59,43,15,2018-12,0.85,81.2824
2019-01,2019-12,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",283,37.03,13.08,54,33,21,2018-12,2.01,37.2157
2019-01,2019-12,"PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.8,3.5)",PS_CLOSE,"league|outcome|odds_bucket=SWE|away|[2.8,3.5)",224,39.84,17.79,46,26,20,2018-11,4.68,29.9636
2019-07,2020-06,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",156,39.79,25.51,59,43,15,2019-05,1.51,81.7615
2019-07,2020-06,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.2,2.8)",290,39.99,13.79,53,33,20,2019-05,4.67,39.9276
2019-07,2020-06,"PS_CLOSE::league|outcome|odds_bucket=FIN|draw|[4.0,5.0)",PS_CLOSE,"league|outcome|odds_bucket=FIN|draw|[4.0,5.0)",172,29.38,17.08,40,24,16,2019-06,5.22,33.2522
2020-01,2020-12,"AVG_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",AVG_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",159,30.4,19.12,57,39,17,2019-12,0.78,63.3107
2020-01,2020-12,"PS_CLOSE::league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)",192,36.51,19.02,52,34,18,2019-12,2.18,51.2058
