date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,strength_gap,goal_env,league_draw_rate_bucket,draw_market_prob_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2018-09-02,FIN,Mariehamn,Ilves,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.351912,0.040006,3.12,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-13,FIN,Inter Turku,VPS,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.352186,0.034188,3.1,1.0,True,2.1,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-17,FIN,Mariehamn,SJK,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.351713,0.039385,3.12,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-17,FIN,Rovaniemi,KuPS,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.352373,0.034769,3.1,1.0,True,2.1,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-17,FIN,VPS,Ilves,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.346498,0.013275,3.09,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-21,FIN,SJK,Lahti,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.35522,0.083991,3.22,1.0,True,2.22,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-22,FIN,KuPS,Honka,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,low_draw_prob,0.320337,0.025984,3.4,1.0,True,2.4,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-23,FIN,Mariehamn,TPS,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.350383,0.051825,3.17,1.0,True,2.17,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-26,FIN,Inter Turku,Lahti,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.375063,0.094411,3.07,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-09-30,FIN,Rovaniemi,SJK,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.404558,0.154084,2.99,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=0.01|pure_delta=pure_disagrees",2018-09
2018-10-06,FIN,TPS,Rovaniemi,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,mid_draw_prob,0.345671,0.020595,3.12,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.01|market_shape=balanced",2018-10
2018-10-31,FIN,KPV Kokkola,TPS,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.532223,0.494767,2.91,1.0,True,1.91,"FIN|draw|[2.8,3.5)|ev>=-0.01|market_shape=balanced",2018-10
2019-04-15,FIN,HIFK,Lahti,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.40283,0.130335,2.94,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.01|market_shape=balanced",2019-04
2019-04-20,FIN,VPS,KPV Kokkola,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.344831,-0.014064,3.02,1.0,True,2.02,"FIN|draw|[2.8,3.5)|ev>=-0.02|market_shape=balanced",2019-04
2019-04-22,FIN,SJK,Ilves,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.391265,0.107523,2.97,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.01|market_shape=balanced",2019-04
2019-04-26,FIN,VPS,SJK,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.356873,0.005377,2.97,1.0,True,1.97,"FIN|draw|[2.8,3.5)|ev>=-0.01|market_shape=balanced",2019-04
2019-04-30,FIN,Lahti,VPS,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.3454,-0.015617,3.01,1.0,True,2.01,"FIN|draw|[2.8,3.5)|ev>=-0.02|market_shape=balanced",2019-04
2019-05-07,FIN,Ilves,Honka,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.529783,0.494287,2.92,1.0,True,1.92,"FIN|draw|[2.8,3.5)|ev>=-0.02|market_shape=balanced",2019-05
2019-05-11,FIN,KPV Kokkola,Lahti,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.531524,0.47883,2.88,1.0,True,1.88,"FIN|draw|[2.8,3.5)|ev>=-0.02|market_shape=balanced",2019-05
2019-05-12,FIN,Rovaniemi,Ilves,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.488364,0.354531,2.88,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.02|market_shape=balanced",2019-05
2019-05-12,FIN,Mariehamn,Inter Turku,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.332087,-0.007613,3.16,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.02|market_shape=balanced",2019-05
2019-05-18,FIN,SJK,Honka,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.426544,0.217341,2.98,1.0,False,-1.0,"FIN|draw|[2.8,3.5)|ev>=-0.02|market_shape=balanced",2019-05
