odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,234,0.92,0.39,35.65,8,4,4,2,1,2025-26,34,6.13,candidate_positive_but_unstable,False,"['roi<3%', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit']"
AVG_OPEN,lookback18,18,6,50,0.02,44,17.98,40.86,7.0,2,2,0,2,0,2025-26,34,6.13,not_enough_sample,False,"['bets<100', 'active_months<12']"
AVG_OPEN,stricter_selection,12,8,80,0.04,234,0.92,0.39,35.65,8,4,4,2,1,2025-26,34,6.13,candidate_positive_but_unstable,False,"['roi<3%', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit']"
AVG_CLOSE,default,12,6,50,0.02,261,13.79,5.28,21.86,10,7,3,2,1,2025-26,108,6.5,candidate_positive_but_unstable,False,"['active_months<12', 'drawdown>profit']"
AVG_CLOSE,lookback18,18,6,50,0.02,108,6.5,6.02,15.86,4,3,1,1,0,2025-26,108,6.5,candidate_positive_but_unstable,False,"['active_months<12', 'drawdown>profit']"
AVG_CLOSE,stricter_selection,12,8,80,0.04,261,13.79,5.28,21.86,10,7,3,2,1,2025-26,108,6.5,candidate_positive_but_unstable,False,"['active_months<12', 'drawdown>profit']"
MAX_OPEN,default,12,6,50,0.02,108,6.81,6.31,13.5,8,4,4,1,2,2025-26,18,-8.35,not_enough_recent_evidence,False,"['active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
MAX_OPEN,lookback18,18,6,50,0.02,84,-1.28,-1.52,11.44,7,3,4,1,1,2024-25,25,-5.91,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
MAX_OPEN,stricter_selection,12,8,80,0.04,108,6.81,6.31,13.5,8,4,4,1,2,2025-26,18,-8.35,not_enough_recent_evidence,False,"['active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,default,12,6,50,0.02,401,45.46,11.34,14.9,20,13,7,3,0,2025-26,110,11.06,candidate_positive_but_unstable,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,358,69.89,19.52,14.9,17,12,5,3,0,2025-26,110,11.06,candidate_positive_but_unstable,True,[]
MAX_CLOSE,stricter_selection,12,8,80,0.04,401,45.46,11.34,14.9,20,13,7,3,0,2025-26,110,11.06,candidate_positive_but_unstable,True,[]
B365_OPEN,default,12,6,50,0.02,315,11.63,3.69,25.65,14,8,6,2,2,2025-26,80,6.15,candidate_positive_but_unstable,False,"['drawdown>profit', 'positive_seasons<=negative_seasons']"
B365_OPEN,lookback18,18,6,50,0.02,387,54.87,14.18,18.65,18,12,6,3,1,2025-26,144,12.77,candidate_positive_but_unstable,True,[]
B365_OPEN,stricter_selection,12,8,80,0.04,315,11.63,3.69,25.65,14,8,6,2,2,2025-26,80,6.15,candidate_positive_but_unstable,False,"['drawdown>profit', 'positive_seasons<=negative_seasons']"
B365_CLOSE,default,12,6,50,0.02,342,31.9,9.33,15.65,15,11,4,4,0,2025-26,95,14.6,candidate_positive_but_unstable,True,[]
B365_CLOSE,lookback18,18,6,50,0.02,269,26.45,9.83,15.65,12,8,4,2,1,2025-26,56,-1.2,not_enough_recent_evidence,False,['latest_season_profit<0']
B365_CLOSE,stricter_selection,12,8,80,0.04,309,31.29,10.13,15.65,14,10,4,4,0,2025-26,95,14.6,candidate_positive_but_unstable,True,[]
PS_OPEN,default,12,6,50,0.02,222,24.59,11.08,22.05,10,6,4,1,1,2024-25,88,-16.65,not_enough_recent_evidence,False,"['active_months<12', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
PS_OPEN,lookback18,18,6,50,0.02,200,27.99,14.0,12.28,9,6,3,2,0,2024-25,107,1.64,candidate_positive_but_unstable,False,['active_months<12']
PS_OPEN,stricter_selection,12,8,80,0.04,222,24.59,11.08,22.05,10,6,4,1,1,2024-25,88,-16.65,not_enough_recent_evidence,False,"['active_months<12', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
PS_CLOSE,default,12,6,50,0.02,214,21.79,10.18,13.86,8,6,2,2,1,2025-26,53,10.91,candidate_positive_but_unstable,False,['active_months<12']
PS_CLOSE,lookback18,18,6,50,0.02,24,3.35,13.96,6.86,1,1,0,1,0,2025-26,24,3.35,not_enough_sample,False,"['bets<100', 'active_months<12', 'drawdown>profit']"
PS_CLOSE,stricter_selection,12,8,80,0.04,214,21.79,10.18,13.86,8,6,2,2,1,2025-26,53,10.91,candidate_positive_but_unstable,False,['active_months<12']
