month,date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit
2025-11,2025-11-08,SP1,Sevilla,Osasuna,draw,home,0.324098,0.014173,0.02275,3.3,1.0,False,-1.0
2025-11,2025-11-22,E2,Stevenage,Doncaster,draw,draw,0.339379,0.012214,0.079643,3.3,1.3,True,3.0
2025-11,2025-11-22,E2,Reading,Rotherham,draw,draw,0.289107,0.012214,0.038346,3.75,1.0,True,2.75
2025-11,2025-11-22,E2,Barnsley,Luton,draw,home,0.312388,0.012214,0.020592,3.4,1.0,False,-1.0
2025-12,2025-12-03,E0,Burnley,Crystal Palace,away,away,0.596849,0.014336,0.019398,1.75,1.48,True,1.11
2025-12,2025-12-09,E2,Wycombe,Plymouth,draw,away,0.272925,0.011865,0.018134,3.9,1.0,False,-1.0
2025-12,2025-12-21,SP1,Villarreal,Barcelona,draw,away,0.229711,0.01434,0.023012,4.75,1.0,False,-1.0
2025-12,2025-12-21,N1,For Sittard,AZ Alkmaar,away,home,0.577973,0.015595,0.012282,1.8,1.26,False,-1.26
2025-12,2025-12-27,I1,Parma,Fiorentina,draw,home,0.358682,0.014466,0.032649,3.0,1.0,False,-1.0
2025-12,2025-12-29,E1,Sheffield Weds,Blackburn,away,draw,0.602346,0.011698,0.010009,1.71,1.06,False,-1.06
