columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|odds_bucket,"home|[2.2,2.8)",693,53.55,7.73,124,70,54,2026-05,2.71,32.85
league|outcome|odds_bucket,"RUS|home|[2.2,2.8)",693,53.55,7.73,124,70,54,2026-05,2.71,32.85
outcome|odds_bucket|favorite_relation,"home|[2.2,2.8)|market_favorite",598,53.43,8.93,124,69,55,2026-05,0.96,28.9828
outcome|odds_bucket,"away|[1.0,1.8)",332,6.26,1.89,110,61,49,2026-05,0.42,24.2074
league|outcome|odds_bucket,"RUS|away|[1.0,1.8)",332,6.26,1.89,110,61,49,2026-05,0.42,24.2074
outcome|odds_bucket|favorite_relation,"away|[1.0,1.8)|market_favorite",332,6.26,1.89,110,61,49,2026-05,0.42,24.2074
odds_bucket|market_prob_bucket,"[1.0,1.8)|[0.42,0.55)",216,13.92,6.44,96,53,43,2026-04,0.48,20.7089
league|odds_bucket|market_prob_bucket,"RUS|[1.0,1.8)|[0.42,0.55)",216,13.92,6.44,96,53,43,2026-04,0.48,20.7089
odds_bucket|market_prob_bucket|favorite_relation,"[1.0,1.8)|[0.42,0.55)|market_favorite",216,13.92,6.44,96,53,43,2026-04,0.48,20.7089
outcome|market_prob_bucket,"away|[0.55,1.00]",255,1.45,0.57,103,56,47,2026-05,0.42,18.0625
league|outcome|market_prob_bucket,"RUS|away|[0.55,1.00]",255,1.45,0.57,103,56,47,2026-05,0.42,18.0625
outcome|odds_bucket|market_prob_bucket,"away|[1.0,1.8)|[0.55,1.00]",255,1.45,0.57,103,56,47,2026-05,0.42,18.0625
outcome|market_prob_bucket|favorite_relation,"away|[0.55,1.00]|market_favorite",255,1.45,0.57,103,56,47,2026-05,0.42,18.0625
outcome|market_prob_bucket|favorite_relation,"home|[0.34,0.42)|market_favorite",525,28.65,5.46,123,62,61,2026-05,-0.75,2.6003
