month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2017-01,ABSTAIN,no_candidates,,,,,
2017-02,ABSTAIN,no_candidates,,,,,
2017-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,2439.0,105.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2160, 'validation_rows': 279, 'market': {'matches': 93, 'log_loss': 0.998039, 'brier': 0.596917}, 'model': {'matches': 93, 'log_loss': 1.000338, 'brier': 0.597495}, 'log_loss_improvement': -0.002299, 'brier_improvement': -0.000578, 'selected_tail': {'bets': 22, 'profit_units': -2.37, 'hit_rate': 0.363636, 'average_market_probability': 0.414224, 'edge_vs_market_probability': -0.050588, 'passed': False}}",,
2017-04,ABSTAIN,model_did_not_beat_market_on_prior_validation,2412.0,165.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2154, 'validation_rows': 258, 'market': {'matches': 86, 'log_loss': 0.95031, 'brier': 0.563701}, 'model': {'matches': 86, 'log_loss': 0.950807, 'brier': 0.563206}, 'log_loss_improvement': -0.000497, 'brier_improvement': 0.000495, 'selected_tail': {'bets': 19, 'profit_units': -3.39, 'hit_rate': 0.315789, 'average_market_probability': 0.386854, 'edge_vs_market_probability': -0.071065, 'passed': False}}",,
2017-05,INVEST,,2451.0,156.0,"{'passed': True, 'reason': None, 'fit_rows': 2154, 'validation_rows': 297, 'market': {'matches': 99, 'log_loss': 1.005354, 'brier': 0.605431}, 'model': {'matches': 99, 'log_loss': 1.001788, 'brier': 0.603235}, 'log_loss_improvement': 0.003566, 'brier_improvement': 0.002196, 'selected_tail': {'bets': 21, 'profit_units': 3.63, 'hit_rate': 0.47619, 'average_market_probability': 0.409905, 'edge_vs_market_probability': 0.066285, 'passed': True}}",12.0,0.0535
2017-06,INVEST,,2574.0,135.0,"{'passed': True, 'reason': None, 'fit_rows': 2142, 'validation_rows': 432, 'market': {'matches': 144, 'log_loss': 0.996451, 'brier': 0.597686}, 'model': {'matches': 144, 'log_loss': 0.992691, 'brier': 0.594487}, 'log_loss_improvement': 0.00376, 'brier_improvement': 0.003199, 'selected_tail': {'bets': 30, 'profit_units': 8.73, 'hit_rate': 0.533333, 'average_market_probability': 0.413385, 'edge_vs_market_probability': 0.119949, 'passed': True}}",11.0,0.0632
2017-07,INVEST,,2703.0,150.0,"{'passed': True, 'reason': None, 'fit_rows': 2142, 'validation_rows': 561, 'market': {'matches': 187, 'log_loss': 0.971029, 'brier': 0.578502}, 'model': {'matches': 187, 'log_loss': 0.966123, 'brier': 0.574664}, 'log_loss_improvement': 0.004906, 'brier_improvement': 0.003838, 'selected_tail': {'bets': 41, 'profit_units': 9.5, 'hit_rate': 0.512195, 'average_market_probability': 0.413338, 'edge_vs_market_probability': 0.098857, 'passed': True}}",10.0,0.0714
2017-08,INVEST,,2853.0,147.0,"{'passed': True, 'reason': None, 'fit_rows': 2142, 'validation_rows': 711, 'market': {'matches': 237, 'log_loss': 0.97335, 'brier': 0.579991}, 'model': {'matches': 237, 'log_loss': 0.97101, 'brier': 0.578018}, 'log_loss_improvement': 0.00234, 'brier_improvement': 0.001973, 'selected_tail': {'bets': 51, 'profit_units': 9.28, 'hit_rate': 0.490196, 'average_market_probability': 0.404451, 'edge_vs_market_probability': 0.085745, 'passed': True}}",11.0,0.0627
2017-09,INVEST,,3000.0,153.0,"{'passed': True, 'reason': None, 'fit_rows': 2142, 'validation_rows': 858, 'market': {'matches': 286, 'log_loss': 0.969413, 'brier': 0.576855}, 'model': {'matches': 286, 'log_loss': 0.96703, 'brier': 0.574902}, 'log_loss_improvement': 0.002383, 'brier_improvement': 0.001953, 'selected_tail': {'bets': 62, 'profit_units': 5.89, 'hit_rate': 0.451613, 'average_market_probability': 0.403593, 'edge_vs_market_probability': 0.04802, 'passed': True}}",9.0,0.065
2017-10,INVEST,,3045.0,132.0,"{'passed': True, 'reason': None, 'fit_rows': 2139, 'validation_rows': 906, 'market': {'matches': 302, 'log_loss': 0.975657, 'brier': 0.580248}, 'model': {'matches': 302, 'log_loss': 0.971477, 'brier': 0.57735}, 'log_loss_improvement': 0.00418, 'brier_improvement': 0.002898, 'selected_tail': {'bets': 64, 'profit_units': 12.77, 'hit_rate': 0.484375, 'average_market_probability': 0.403089, 'edge_vs_market_probability': 0.081286, 'passed': True}}",10.0,0.0701
