outcome,probability,raw_probability,market_probability,model_market_gap,odds,ev,date,league,home_team,away_team,source_file,lower_bound_ev,stake,actual_result,won,profit
away,0.25376430657633336,0.27893830857393087,0.2160033035799371,0.06293500499399377,4.33,0.09879944747552338,2025-04-04,SP2,Castellon,Albacete,SP2.csv,0.08517401889432397,20.0,draw,False,-20.0
away,0.2324422470734773,0.2559483460614293,0.1971830985915493,0.05876524746987999,4.75,0.10410067359901709,2025-04-05,SC0,Kilmarnock,Motherwell,SC0.csv,0.09014392732492071,20.0,home,False,-20.0
away,0.2604687150358374,0.28664109196495563,0.22121014964216004,0.06543094232279559,4.2,0.09396860315051714,2025-04-05,E3,Carlisle,Newport County,E3.csv,0.08022810526273005,20.0,home,False,-20.0
away,0.2573288745602148,0.27772791742533814,0.22673031026252982,0.05099760716280832,4.2,0.08078127315290229,2025-04-05,I1,Milan,Fiorentina,I1.csv,0.07007177564871259,20.0,draw,False,-20.0
away,0.22642895706446736,0.2450000246986202,0.19857235561323813,0.04642766908538207,4.75,0.07553754605621998,2025-04-05,T1,Buyuksehyr,Konyaspor,T1.csv,0.0645109746484418,20.0,home,False,-20.0
away,0.21949277037650863,0.23453345261039896,0.19693174702567312,0.037601705584725836,4.75,0.04259065928841599,2025-04-05,E2,Stevenage,Crawley Town,E2.csv,0.03366025421204366,20.0,home,False,-20.0
away,0.25013980351909404,0.2701640445264696,0.22010344200803078,0.0500606025184388,4.33,0.0831053492376772,2025-04-06,F1,Rennes,Auxerre,F1.csv,0.0722672287924353,20.0,away,True,66.6
away,0.27171721753566996,0.29378755344882085,0.2386117136659436,0.05517583978287724,3.9,0.059697148389112886,2025-04-06,SP2,Burgos,Huesca,SP2.csv,0.04893785963145181,20.0,home,False,-20.0
away,0.23492011719322242,0.25183142285157,0.20955315870570107,0.04227826414586894,4.5,0.057140527369500926,2025-04-06,SC0,Hearts,Dundee United,SC0.csv,0.04762791793668031,20.0,away,True,70.0
away,0.3176679726741673,0.340844735104752,0.2829028290282903,0.05794190607646171,3.3,0.04830430982475198,2025-04-06,SP2,Zaragoza,Mirandes,SP2.csv,0.038743895322135735,20.0,home,False,-20.0
away,0.20933672650735594,0.22207868238073258,0.19022379269729095,0.031854889683441634,5.0,0.04668363253677965,2025-04-06,I1,Atalanta,Lazio,I1.csv,0.03871991011591924,20.0,away,True,80.0
away,0.23149025829342637,0.2536499445803948,0.19825072886297374,0.05539921571742107,4.75,0.09957872689377534,2025-04-07,T1,Goztep,Gaziantep,T1.csv,0.0864214131608878,20.0,draw,False,-20.0
away,0.21198141616240562,0.23017748203182936,0.18468731735827001,0.04549016467355935,5.0,0.05990708081202811,2025-04-09,E1,Swansea,Plymouth,E1.csv,0.0485345396436383,20.0,home,False,-20.0
away,0.20915169482008128,0.22605109528961137,0.18380259411578614,0.042248501173825226,5.0,0.045758474100406454,2025-04-10,E3,Crewe,Cheltenham,E3.csv,0.03519634880695022,20.0,away,True,80.0
away,0.23340796128065602,0.2500105365606562,0.20850409836065575,0.04150643820000044,4.5,0.050335825762952036,2025-04-11,F2,Troyes,Ajaccio,F2.csv,0.040996877167952084,20.0,draw,False,-20.0
away,0.22027095842095465,0.2346278710759558,0.19873558943845293,0.03589228163750288,4.75,0.04628705249953469,2025-04-11,N1,Nijmegen,Waalwijk,N1.csv,0.03776263561062754,20.0,home,False,-20.0
away,0.22219166595440337,0.24517894119664205,0.18771075309104535,0.0574681881055967,5.0,0.11095832977201692,2025-04-12,SC0,St Mirren,Ross County,SC0.csv,0.09659128274561768,20.0,home,False,-20.0
away,0.2511180560063019,0.27404449309115897,0.21672840037901628,0.05731609271214269,4.33,0.08734118250728717,2025-04-12,E1,Luton,Blackburn,E1.csv,0.07493224843510826,20.0,away,True,66.6
away,0.26402321420544955,0.2875274483384891,0.2287668630058902,0.0587605853325989,4.1,0.08249517824234309,2025-04-12,SP2,Tenerife,Burgos,SP2.csv,0.07044925824916026,20.0,draw,False,-20.0
away,0.21384462485418412,0.2301226542549154,0.1894275807530872,0.040695073501828216,5.0,0.0692231242709207,2025-04-12,I1,Venezia,Monza,I1.csv,0.05904935589546367,20.0,home,False,-20.0
away,0.22299302924921507,0.23910241131152798,0.1988289561557457,0.04027345515578229,4.75,0.05921688893377164,2025-04-12,E1,West Brom,Watford,E1.csv,0.04965194333427325,20.0,home,False,-20.0
away,0.21869612268219893,0.23820848396827343,0.1894275807530872,0.048780903215186244,5.0,0.09348061341099467,2025-04-13,G1,Aris,Atromitos,G1.csv,0.08128538760719795,20.0,home,False,-20.0
away,0.2615754061247493,0.2815674538209319,0.2315873345804753,0.04998011924045659,4.1,0.07245916511147188,2025-04-13,I1,Como,Torino,I1.csv,0.06221324066717826,20.0,home,False,-20.0
away,0.24692542044954197,0.26793736636191157,0.21540750158098754,0.05252986478092403,4.33,0.06918707054651674,2025-04-13,B1,Club Brugge,Genk,B1.csv,0.0578143548214467,20.0,home,False,-20.0
away,0.23412984767762118,0.2518283814906347,0.20758204695810092,0.044246334532533765,4.5,0.05358431454929535,2025-04-13,B1,Mechelen,Oud-Heverlee Leuven,B1.csv,0.04362888927947517,20.0,draw,False,-20.0
away,0.23278426046165132,0.24810972597313644,0.20979606219442362,0.038313663778712814,4.5,0.0475291720774309,2025-04-13,D1,Stuttgart,Werder Bremen,D1.csv,0.03890859772722055,20.0,away,True,70.0
away,0.21755694623905922,0.23623807310250328,0.18953525594389314,0.04670281715861013,5.0,0.08778473119529617,2025-04-16,E0,Newcastle,Crystal Palace,E0.csv,0.07610902690564347,20.0,home,False,-20.0
away,0.22891349713421116,0.2575856786987764,0.18590522478736332,0.07168045391141309,5.0,0.1445674856710557,2025-04-18,E3,Milton Keynes Dons,Newport County,E3.csv,0.12664737219320266,20.0,draw,False,-20.0
away,0.24741707843476235,0.27415041527744943,0.2073170731707317,0.06683334210671774,4.5,0.11337685295643052,2025-04-18,E3,Grimsby,Swindon,E3.csv,0.09833935098241908,20.0,away,True,70.0
away,0.22475216539501994,0.24114770483496173,0.20015885623510724,0.040988848599854494,4.75,0.06757278562634461,2025-04-18,F1,Rennes,Nantes,F1.csv,0.05783793408387927,20.0,home,False,-20.0
away,0.22418680229877813,0.24202526360950086,0.19742911033269403,0.04459615327680683,4.75,0.06488731091919608,2025-04-18,F2,Dunkerque,Grenoble,F2.csv,0.054295724515954547,20.0,home,False,-20.0
away,0.22315371820640328,0.23954129326851337,0.19857235561323813,0.040968937655275234,4.75,0.05998016148041563,2025-04-18,P1,Farense,Boavista,P1.csv,0.05025003878728773,20.0,away,True,75.0
away,0.23146954709665507,0.2531252062933267,0.19898605830164767,0.054139147991679015,4.75,0.0994803487091116,2025-04-19,F1,Monaco,Strasbourg,F1.csv,0.08662230106108781,20.0,draw,False,-20.0
away,0.21035161036345146,0.2251691455868907,0.18812530752829262,0.037043838058598066,5.0,0.051758051817257344,2025-04-19,SP1,Mallorca,Leganes,SP1.csv,0.042497092302607786,20.0,draw,False,-20.0
away,0.20763844402947979,0.2201003205037239,0.18894562931811357,0.031154691185610345,5.0,0.03819222014739898,2025-04-20,SP1,Villarreal,Sociedad,SP1.csv,0.030403547350996263,20.0,draw,False,-20.0
away,0.24125517908099642,0.26369461223613055,0.2075960293482952,0.05609858288783534,4.5,0.08564830586448391,2025-04-21,E1,Cardiff,Oxford,E1.csv,0.07302612471472103,20.0,draw,False,-20.0
away,0.22643434115548586,0.2461125974338489,0.19691695673794132,0.049195640695907566,4.75,0.07556312048855784,2025-04-21,SP2,Eibar,Malaga,SP2.csv,0.06387915582327985,20.0,draw,False,-20.0
away,0.25733045800890136,0.2754506202866525,0.23015021459227467,0.04530040569437785,4.1,0.05505487783649543,2025-04-22,SP1,Valencia,Espanol,SP1.csv,0.045768294669148224,20.0,draw,False,-20.0
away,0.242679755875422,0.2593119790448689,0.21773142112125163,0.041580557923617284,4.33,0.05080334294057742,2025-04-22,B1,Mechelen,Westerlo,B1.csv,0.04180115215011426,20.0,away,True,66.6
away,0.2673969487664917,0.29696005157275485,0.2230522945570971,0.07390775701565774,4.2,0.12306718481926526,2025-04-23,G1,Athens Kallithea,Levadeiakos,G1.csv,0.10754655584597717,20.0,away,True,64.0
away,0.2597844216301474,0.2790538821300918,0.2308802308802309,0.048173651249860894,4.1,0.06511612868360439,2025-04-23,N1,Groningen,Heracles,N1.csv,0.05524053017738284,20.0,home,False,-20.0
away,0.22196156282947926,0.24365088421374068,0.1894275807530872,0.05422330346065349,5.0,0.10980781414739638,2025-04-25,I2,Salernitana,Cosenza,I2.csv,0.0962519882822328,20.0,home,False,-20.0
away,0.2197888227667385,0.2412380645131315,0.187614960147149,0.0536231043659825,5.0,0.09894411383369262,2025-04-26,E1,Blackburn,Watford,E1.csv,0.08553833774219699,20.0,home,False,-20.0
away,0.22245690809600926,0.23832162385992348,0.19865983445013796,0.039661789409785514,4.75,0.05667031345604401,2025-04-26,E1,Preston,Plymouth,E1.csv,0.04725063847121991,20.0,away,True,75.0
away,0.21078116760211932,0.2263742421284599,0.18739155581260844,0.03898268631585147,5.0,0.05390583801059656,2025-04-26,B1,Charleroi,Dender,B1.csv,0.044160166431633785,20.0,home,False,-20.0
away,0.2191197582080185,0.23120335097149752,0.20099436906279997,0.030208981908697558,4.75,0.04081885148808784,2025-04-26,E0,Brighton,West Ham,E0.csv,0.03364421828477204,20.0,home,False,-20.0
away,0.24718150495110025,0.260806384220826,0.22674418604651161,0.03406219817431441,4.2,0.03816232079462112,2025-04-26,D2,Fortuna Dusseldorf,Nurnberg,D2.csv,0.031009259178015114,20.0,draw,False,-20.0
away,0.24979698054148153,0.28697088805072624,0.19403611927761447,0.09293476877311177,4.75,0.18653565757203716,2025-04-27,SP2,Zaragoza,Huesca,SP2.csv,0.1644636499884231,20.0,draw,False,-20.0
away,0.22796661103232174,0.24566100104138056,0.2014250260187335,0.04423597502264706,4.75,0.08284140240352822,2025-04-27,I1,Como,Genoa,I1.csv,0.07233535833564964,20.0,home,False,-20.0
