month,date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit
2024-10,2024-10-01,E1,Coventry,Blackburn,draw,home,0.318346,0.012965,-0.007512,3.25,1.0,False,-1.0
2024-10,2024-10-04,SP1,Leganes,Valencia,draw,draw,0.392475,0.015245,0.086424,2.88,1.0,True,1.88
2024-10,2024-10-04,SP2,Huesca,Cadiz,draw,home,0.397815,0.014083,0.074449,2.8,1.0,False,-1.0
2024-10,2024-10-11,SP2,Tenerife,Zaragoza,draw,away,0.411967,0.014083,0.074286,2.7,1.0,False,-1.0
2024-10,2024-10-12,SP2,Cartagena,Ferrol,draw,away,0.395962,0.014083,0.09981,2.88,1.0,False,-1.0
2024-10,2024-10-13,SP2,Elche,La Coruna,draw,draw,0.397378,0.014083,0.073226,2.8,1.0,True,1.8
2024-10,2024-10-13,SP2,Huesca,Albacete,draw,draw,0.355825,0.014083,-0.008949,2.9,1.0,True,1.9
2024-10,2024-10-19,I2,Sudtirol,Pisa,draw,away,0.462663,0.01543,0.176221,2.63,1.33,False,-1.33
2024-10,2024-10-19,SP2,Mirandes,Eibar,draw,home,0.394357,0.014083,0.095187,2.88,1.0,False,-1.0
2024-10,2024-10-20,SP2,Ferrol,Huesca,draw,draw,0.396495,0.014083,0.070754,2.8,1.0,True,1.8
2024-10,2024-10-26,D1,Werder Bremen,Leverkusen,away,draw,0.680288,0.017136,-0.005273,1.5,1.0,False,-1.0
2024-10,2024-10-27,I2,Catanzaro,Sudtirol,draw,home,0.392524,0.01543,0.074716,2.85,1.0,False,-1.0
2024-10,2024-10-28,SP2,Ferrol,Tenerife,draw,draw,0.398087,0.014083,0.05601,2.75,1.0,True,1.75
2024-10,2024-10-29,I2,Modena,Cremonese,draw,draw,0.397725,0.01543,0.070423,2.8,1.0,True,1.8
2024-11,2024-11-02,SP2,Zaragoza,Granada,draw,home,0.382072,0.013424,0.013782,2.75,1.0,False,-1.0
2024-11,2024-11-02,E1,Oxford,Swansea,draw,away,0.32568,0.012401,0.002492,3.2,1.0,False,-1.0
2024-11,2024-11-02,E1,Middlesbrough,Coventry,home,away,0.598688,0.013134,-0.004559,1.7,1.0,False,-1.0
2024-11,2024-11-03,T1,Bodrumspor,Alanyaspor,draw,draw,0.402952,0.015091,0.08601,2.8,1.0,True,1.8
2024-11,2024-11-04,SP1,Celta,Getafe,draw,home,0.324164,0.01478,-0.009971,3.2,1.0,False,-1.0
