date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit,month
2023-09-01,F1,Nantes,Marseille,away,draw,0.619052,0.018764,0.02049,1.7,1.0,False,-1.0,2023-09
2023-09-02,E3,Notts County,Accrington,home,home,0.665822,0.016698,0.038598,1.6,1.09,True,0.65,2023-09
2023-09-02,E1,Plymouth,Blackburn,away,home,0.424154,0.01574,0.021036,2.5,1.0,False,-1.0,2023-09
2023-09-02,E1,Ipswich,Cardiff,home,home,0.635635,0.016986,0.002212,1.62,1.0,True,0.62,2023-09
2023-09-03,I2,Brescia,Cosenza,draw,home,0.399327,0.018847,0.209927,3.18,1.24,False,-1.24,2023-09
2023-09-03,F1,Lyon,Paris SG,away,away,0.710475,0.018764,0.037566,1.5,1.31,True,0.66,2023-09
2023-09-03,I1,Empoli,Juventus,away,away,0.621326,0.018982,0.005916,1.67,1.0,True,0.67,2023-09
2023-09-15,E3,Salford,Notts County,away,away,0.470535,0.015473,0.001135,2.2,1.0,True,1.2,2023-09
2023-09-16,D1,Mainz,Stuttgart,draw,away,0.341897,0.021203,0.09036,3.4,1.0,False,-1.0,2023-09
2023-09-16,SP1,Celta,Mallorca,draw,away,0.348655,0.018704,0.022846,3.1,1.0,False,-1.0,2023-09
2023-09-16,I1,Genoa,Napoli,away,draw,0.62309,0.018982,0.008861,1.67,1.0,False,-1.0,2023-09
2023-09-16,N1,For Sittard,Volendam,home,home,0.645393,0.022683,0.008791,1.62,1.0,True,0.62,2023-09
2023-09-16,N1,Vitesse,Waalwijk,home,away,0.691664,0.022683,0.003472,1.5,1.0,False,-1.0,2023-09
2023-09-17,F1,Marseille,Toulouse,home,draw,0.696973,0.02025,0.015085,1.5,1.0,False,-1.0,2023-09
2023-09-17,I1,Frosinone,Sassuolo,away,home,0.420121,0.018982,0.002849,2.5,1.0,False,-1.0,2023-09
2023-09-17,E0,Everton,Arsenal,away,away,0.686654,0.018658,0.001994,1.5,1.0,True,0.5,2023-09
2023-09-19,E1,Sheffield Weds,Middlesbrough,away,draw,0.481258,0.01574,0.000864,2.15,1.0,False,-1.0,2023-09
2023-09-20,E1,Norwich,Leicester,away,away,0.424062,0.01574,0.020805,2.5,1.0,True,1.5,2023-09
2023-09-23,E3,Notts County,Forest Green,home,home,0.699136,0.016698,0.04413,1.53,1.31,True,0.7,2023-09
2023-09-23,E1,Ipswich,Blackburn,home,home,0.607764,0.016986,0.004324,1.7,1.0,True,0.7,2023-09
2023-09-24,SP2,Mirandes,Leganes,draw,away,0.364765,0.01708,0.043054,3.0,1.0,False,-1.0,2023-09
2023-09-24,I1,Torino,Roma,draw,draw,0.376429,0.019011,0.036514,2.9,1.0,True,1.9,2023-09
2023-09-26,I1,Juventus,Lecce,home,home,0.692661,0.020484,0.008266,1.5,1.0,True,0.5,2023-09
2023-09-26,SP1,Mallorca,Barcelona,away,draw,0.689528,0.018676,0.006279,1.5,1.0,False,-1.0,2023-09
2023-09-30,E0,Bournemouth,Arsenal,away,away,0.687477,0.018658,0.023293,1.53,1.0,True,0.53,2023-09
2023-09-30,E1,Hull,Plymouth,home,draw,0.565434,0.016986,0.003661,1.83,1.0,False,-1.0,2023-09
2023-09-30,E2,Lincoln,Cheltenham,home,home,0.634294,0.016907,0.000168,1.62,1.0,True,0.62,2023-09
2023-10-01,I1,Udinese,Genoa,draw,draw,0.373899,0.0188,0.100809,3.1,1.89,True,3.98,2023-10
2023-10-21,SP2,Zaragoza,Eibar,draw,away,0.394955,0.017036,0.088408,2.88,1.83,False,-1.83,2023-10
2023-10-24,E3,Harrogate,Mansfield,away,away,0.676947,0.015647,0.071306,1.62,3.9,True,2.42,2023-10
2023-10-30,SP2,Burgos,Zaragoza,draw,draw,0.382635,0.017036,0.052924,2.88,1.36,True,2.55,2023-10
2023-11-07,E1,Rotherham,Ipswich,away,draw,0.70908,0.015877,0.039805,1.5,3.18,False,-3.18,2023-11
2023-11-11,E3,Swindon,Stockport,away,away,0.540388,0.015644,0.049488,2.0,2.02,True,2.02,2023-11
2023-12-02,SP2,Zaragoza,Leganes,draw,home,0.373271,0.017,0.068814,3.0,1.0,False,-1.0,2023-12
