config_id,key_columns,lookback_months,min_samples,min_roi,min_edge,min_conservative_edge,cold_start,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
rule_label_odds_source_market_prob_bucket_lb3_n20_roineg0p02_edge0p0_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,-0.02,0.0,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roineg0p02_edge0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,-0.02,0.01,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p0_edgeneg0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.0,-0.01,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p0_edge0p0_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.0,0.0,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p0_edge0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.0,0.01,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p02_edgeneg0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.02,-0.01,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p02_edge0p0_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.02,0.0,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p02_edge0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.02,0.01,0.0,enabled,188,164.52,8.89,209.3,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roineg0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,-0.02,-0.01,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roineg0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,-0.02,0.0,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roineg0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,-0.02,0.01,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p0_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.0,-0.01,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p0_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.0,0.0,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p0_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.0,0.01,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.02,-0.01,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.02,0.0,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n20_roi0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,20,0.02,0.01,-0.02,enabled,210,129.42,6.25,237.0,10,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roineg0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,-0.02,-0.01,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roineg0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,-0.02,0.0,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roineg0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,-0.02,0.01,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roi0p0_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,0.0,-0.01,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roi0p0_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,0.0,0.0,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roi0p0_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,0.0,0.01,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roi0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,0.02,-0.01,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roi0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,0.02,0.0,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n20_roi0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,20,0.02,0.01,-0.02,enabled,239,76.58,3.33,234.0,8,7,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roineg0p02_edgeneg0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,-0.02,-0.01,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roineg0p02_edge0p0_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,-0.02,0.0,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roineg0p02_edge0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,-0.02,0.01,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p0_edgeneg0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.0,-0.01,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p0_edge0p0_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.0,0.0,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p0_edge0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.0,0.01,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p02_edgeneg0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.02,-0.01,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p02_edge0p0_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.02,0.0,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p02_edge0p01_cedge0p0_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.02,0.01,0.0,enabled,318,85.34,2.86,382.25,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roineg0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,-0.02,-0.01,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roineg0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,-0.02,0.0,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roineg0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,-0.02,0.01,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roi0p0_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,0.0,-0.01,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roi0p0_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,0.0,0.0,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roi0p0_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,0.0,0.01,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roi0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,0.02,-0.01,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roi0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,0.02,0.0,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n40_roi0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,40,0.02,0.01,-0.02,enabled,357,78.9,2.38,382.25,10,9,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roineg0p02_edgeneg0p01_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,-0.02,-0.01,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roineg0p02_edge0p0_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,-0.02,0.0,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roineg0p02_edge0p01_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,-0.02,0.01,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roi0p0_edgeneg0p01_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,0.0,-0.01,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roi0p0_edge0p0_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,0.0,0.0,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roi0p0_edge0p01_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,0.0,0.01,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roi0p02_edgeneg0p01_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,0.02,-0.01,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roi0p02_edge0p0_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,0.02,0.0,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb3_n60_roi0p02_edge0p01_cedge0p0_enabled,rule_label|market_prob_bucket,3,60,0.02,0.01,0.0,enabled,325,68.24,2.24,382.25,12,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roineg0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,-0.02,-0.01,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roineg0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,-0.02,0.0,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roineg0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,-0.02,0.01,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p0_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.0,-0.01,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p0_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.0,0.0,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p0_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.0,0.01,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.02,-0.01,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.02,0.0,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
