config_id,key_columns,lookback_months,min_samples,min_roi,min_edge,min_conservative_edge,cold_start,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
rule_label_odds_source_market_prob_bucket_lb3_n40_roi0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,3,40,0.02,0.01,-0.02,enabled,340,50.24,1.57,414.18,12,9,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roineg0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,-0.02,-0.01,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roineg0p02_edge0p0_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,-0.02,0.0,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roineg0p02_edge0p01_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,-0.02,0.01,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p0_edgeneg0p01_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,0.0,-0.01,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p0_edge0p0_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,0.0,0.0,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p0_edge0p01_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,0.0,0.01,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,0.02,-0.01,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p02_edge0p0_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,0.02,0.0,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p02_edge0p01_cedgeneg0p02_enabled,rule_label|market_prob_bucket,6,60,0.02,0.01,-0.02,enabled,463,65.47,1.53,382.25,8,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roineg0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,-0.02,-0.01,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roineg0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,-0.02,0.0,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roineg0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,-0.02,0.01,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roi0p0_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,0.0,-0.01,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roi0p0_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,0.0,0.0,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roi0p0_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,0.0,0.01,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roi0p02_edgeneg0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,0.02,-0.01,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roi0p02_edge0p0_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,0.02,0.0,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_odds_source_market_prob_bucket_lb6_n60_roi0p02_edge0p01_cedgeneg0p02_enabled,rule_label|odds_source|market_prob_bucket,6,60,0.02,0.01,-0.02,enabled,420,59.5,1.51,437.88,11,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roineg0p02_edgeneg0p01_cedgeneg0p05_enabled,rule_label|market_prob_bucket,6,60,-0.02,-0.01,-0.05,enabled,687,39.79,0.65,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roineg0p02_edge0p0_cedgeneg0p05_enabled,rule_label|market_prob_bucket,6,60,-0.02,0.0,-0.05,enabled,687,39.79,0.65,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p0_edgeneg0p01_cedgeneg0p05_enabled,rule_label|market_prob_bucket,6,60,0.0,-0.01,-0.05,enabled,687,39.79,0.65,382.25,8,10,6,1,5,1,0.2
rule_label_market_prob_bucket_lb6_n60_roi0p0_edge0p0_cedgeneg0p05_enabled,rule_label|market_prob_bucket,6,60,0.0,0.0,-0.05,enabled,687,39.79,0.65,382.25,8,10,6,1,5,1,0.2
