month,date,rule_label,odds_source,key,selected,samples,wins,roi,edge,conservative_edge,reason,hit_rate,wilson_lower,avg_implied_probability,profit
2023-10,2023-10-01,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-01,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-01,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-01,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.20,0.28)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-01,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-01,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-01,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.20,0.28)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-06,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-06,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.20,0.28)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-08,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-08,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-08,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-08,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-20,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-20,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.20,0.28)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-21,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-22,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-22,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.20,0.28)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-22,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.28,0.34)",True,0,0,0.0,0.0,0.0,cold_start,,,,
2023-10,2023-10-22,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)|[0.20,0.28)",True,0,0,0.0,0.0,0.0,cold_start,,,,
