league,bets,winning_bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,candidate_count,decision
P1,9,4,3.45,38.33,5.0,6,4,2,31,TOO_FEW_BETS
I2,42,16,6.01,14.31,7.62,11,5,6,93,REJECT_MONTH_BALANCE
SP2,14,6,0.75,5.36,3.3,11,5,6,238,TOO_FEW_BETS
B1,0,0,0.0,0.0,0.0,0,0,0,22,TOO_FEW_BETS
D1,0,0,0.0,0.0,0.0,0,0,0,39,TOO_FEW_BETS
F2,0,0,0.0,0.0,0.0,0,0,0,39,TOO_FEW_BETS
N1,0,0,0.0,0.0,0.0,0,0,0,54,TOO_FEW_BETS
SC0,0,0,0.0,0.0,0.0,0,0,0,17,TOO_FEW_BETS
T1,0,0,0.0,0.0,0.0,0,0,0,52,TOO_FEW_BETS
SP1,50,17,-0.84,-1.68,9.07,22,9,12,110,REJECT_NEGATIVE
E3,57,19,-3.57,-6.26,18.37,21,9,12,176,REJECT_NEGATIVE
G1,7,2,-1.12,-16.0,2.0,6,2,4,19,TOO_FEW_BETS
I1,23,5,-9.6,-41.74,13.4,10,2,8,104,REJECT_NEGATIVE
D2,4,1,-1.7,-42.5,3.0,3,1,2,40,TOO_FEW_BETS
E0,7,2,-3.35,-47.86,4.2,6,1,5,102,TOO_FEW_BETS
E2,21,5,-10.6,-50.48,10.95,11,2,9,211,REJECT_NEGATIVE
F1,1,0,-1.0,-100.0,1.0,1,0,1,55,TOO_FEW_BETS
E1,4,0,-4.0,-100.0,4.0,3,0,3,207,TOO_FEW_BETS
